Table A-100:  CO Emissions from Mobile Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gasoline On-Road,"98,328","93,596","88,865","84,135","79,404","74,673","69,941","67,509","65,246","61,210","60,657","56,716","46,115","43,498","40,882","38,265","35,781","33,298","29,626","24,515","25,235","24,442","23,573","22,704","21,834","20,864","17,995","17,435","15,898","15,070"
Passenger Cars,"60,757","57,019","53,280","49,542","45,804","42,065","38,327","36,825","35,686","32,921","32,867","31,600","25,693","24,235","22,777","21,319","19,936","18,552","16,506","13,659","14,060","13,618","13,134","12,649","12,165","11,625","10,026","9,714","8,858","8,396"
Light-Duty Trucks,"29,237","28,799","28,361","27,924","27,486","27,048","26,610","25,748","24,754","23,343","24,532","22,574","18,355","17,313","16,272","15,230","14,242","13,253","11,792","9,758","10,044","9,729","9,383","9,037","8,690","8,304","7,162","6,940","6,328","5,998"
Medium- and Heavy-Duty Trucks and Buses,"8,093","7,555","7,017","6,480","5,942","5,404","4,867","4,787","4,642","4,782","3,104","2,411","1,960","1,849","1,738","1,627","1,521","1,416","1,259","1,042","1,073","1,039","1,002",965,928,887,765,741,676,641
Motorcycles,240,223,206,189,172,155,138,150,163,164,154,131,107,101,95,89,83,77,69,57,58,57,55,53,51,48,42,40,37,35
Diesel On-Road,"1,696","1,642","1,587","1,533","1,479","1,424","1,370","1,301","1,202","1,122","1,088",869,707,667,626,586,548,510,454,376,387,375,361,348,335,320,276,267,244,231
Passenger Cars,35,31,28,25,21,18,15,13,10,10,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
Light-Duty Trucks,22,21,20,18,17,16,14,13,12,9,6,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1
Medium- and Heavy-Duty Trucks and Buses,"1,639","1,589","1,539","1,490","1,440","1,391","1,341","1,276","1,179","1,103","1,075",858,698,658,618,579,541,504,448,371,382,370,357,343,330,316,272,264,241,228
Alternative Fuel On-Road a,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Non-Road,"19,337","19,778","20,216","20,655","21,094","21,533","21,972","21,351","21,375","21,050","21,814","22,266","20,414","20,197","19,980","19,763","18,382","17,001","16,137","14,365","13,853","13,488","12,981","12,474","11,966","11,451","10,518","10,421","10,448","10,448"
Ships and Boats,"1,559","1,603","1,648","1,692","1,736","1,781","1,825","1,827","1,828","2,019","1,825","1,831","1,679","1,661","1,643","1,626","1,512","1,398","1,327","1,182","1,140","1,109","1,068","1,026",984,942,865,857,859,859
Rail,85,86,88,90,91,93,94,89,83,98,90,90,82,81,81,80,74,69,65,58,56,54,52,50,48,46,42,42,42,42
Aircraft b,217,218,220,221,222,224,225,250,274,285,245,233,214,212,210,207,193,178,169,151,145,141,136,131,125,120,110,109,110,110
Agricultural Equipment c,581,591,600,610,619,628,638,636,633,630,626,621,569,563,557,551,513,474,450,401,386,376,362,348,334,319,293,291,291,291
Construction/Mining Equipment d,"1,090","1,098","1,107","1,115","1,123","1,132","1,140","1,097","1,081","1,074","1,047","1,041",955,944,934,924,860,795,755,672,648,631,607,583,560,535,492,487,489,489
Other e,"15,805","16,181","16,554","16,928","17,302","17,676","18,049","17,451","17,476","16,943","17,981","18,449","16,914","16,735","16,555","16,375","15,231","14,087","13,371","11,903","11,479","11,176","10,756","10,335","9,915","9,488","8,715","8,635","8,657","8,657"
Total,"119,360","115,015","110,669","106,323","101,977","97,630","93,283","90,161","87,823","83,382","83,559","79,851","67,235","64,362","61,488","58,615","54,712","50,809","46,217","39,256","39,475","38,305","36,915","35,525","34,135","32,635","28,789","28,124","26,590","25,749"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: The source of this data is the National Emissions Inventory. Updates to estimates from MOVES2014b is a change that affects the emissions time series. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE (Included Elsewhere),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a CO emissions from alternative fuel on-road vehicles are included under gasoline and diesel on-road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Aircraft estimates include only emissions related to LTO cycles, and therefore do not include cruise altitude emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e “Other"" includes snowmobiles and other recreational equipment, logging equipment, lawn and garden equipment, railroad equipment, airport equipment, commercial equipment, and industrial equipment, as well as fuel consumption from trucks that are used off-road for commercial/industrial purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
