Table A-101:  NMVOCs Emissions from Mobile Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gasoline On-Road,"8,110","7,652","7,193","6,735","6,277","5,819","5,360","5,167","5,067","4,924","4,615","4,285","3,473","3,308","3,144","2,979","2,997","3,015","2,641","2,384","2,393","2,485","2,342","2,200","2,058","1,929","1,626","1,570","1,395","1,295"
Passenger Cars,"5,120","4,774","4,429","4,084","3,739","3,394","3,049","2,928","2,895","2,810","2,610","2,393","1,939","1,847","1,756","1,664","1,674","1,684","1,475","1,332","1,336","1,388","1,308","1,229","1,149","1,077",908,877,779,723
Light-Duty Trucks,"2,374","2,303","2,232","2,161","2,090","2,019","1,947","1,882","1,812","1,734","1,750","1,664","1,348","1,285","1,221","1,157","1,164","1,171","1,025",926,929,965,910,854,799,749,631,610,542,503
Medium- and Heavy-Duty Trucks and Buses,575,536,498,459,421,382,343,336,335,351,232,206,167,159,151,143,144,145,127,115,115,120,113,106,99,93,78,76,67,62
Motorcycles,42,38,35,31,28,24,21,22,25,28,23,22,18,17,16,15,15,15,14,12,12,13,12,11,11,10,8,8,7,7
Diesel On-Road,406,386,365,345,324,304,283,263,249,230,216,207,168,160,152,144,145,146,128,115,116,120,113,106,100,93,79,76,68,63
Passenger Cars,16,15,13,12,10,8,7,6,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Light-Duty Trucks,14,13,12,11,10,9,9,8,7,6,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1
Medium- and Heavy-Duty Trucks and Buses,377,358,340,322,304,286,268,249,237,219,209,201,163,155,147,140,140,141,124,112,112,116,110,103,96,90,76,74,65,61
Alternative Fuel On-Road a,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Non-Road,"2,415","2,458","2,498","2,539","2,581","2,622","2,663","2,496","2,425","2,432","2,398","2,379","2,800","2,733","2,667","2,600","2,491","2,383","2,310","2,150","2,082","1,957","1,837","1,717","1,597","1,435","1,168","1,112","1,080","1,080"
Ships and Boats,608,634,660,687,713,739,765,765,762,769,744,730,859,839,818,798,764,731,709,660,639,600,564,527,490,440,358,341,331,331
Rail,33,34,35,35,36,36,37,35,33,38,35,35,42,41,40,39,37,35,34,32,31,29,27,26,24,21,17,17,16,16
Aircraft b,28,28,28,28,28,28,28,32,35,38,24,19,23,22,22,21,20,19,19,17,17,16,15,14,13,12,9,9,9,9
Agricultural Equipment c,85,85,85,86,86,86,86,83,81,81,76,72,85,83,81,79,76,73,70,65,63,60,56,52,49,44,36,34,33,33
Construction/Mining Equipment d,149,150,150,151,152,152,153,142,137,141,130,125,147,144,140,137,131,125,121,113,109,103,96,90,84,75,61,58,57,57
Other e,"1,512","1,527","1,540","1,553","1,567","1,580","1,593","1,440","1,377","1,366","1,390","1,397","1,644","1,605","1,566","1,527","1,463","1,399","1,356","1,263","1,223","1,149","1,079","1,008",938,843,686,653,634,634
Total,"10,932","10,495","10,057","9,619","9,183","8,745","8,306","7,926","7,741","7,586","7,230","6,872","6,440","6,201","5,962","5,724","5,634","5,544","5,078","4,650","4,591","4,562","4,293","4,023","3,754","3,458","2,873","2,758","2,543","2,437"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: The source of this data is the National Emissions Inventory. Updates to estimates from MOVES2014b is a change that affects the emissions time series. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE (Included Elsewhere),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a NMVOC emissions from alternative fuel on-road vehicles are included under gasoline and diesel on-road.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Aircraft estimates include only emissions related to LTO cycles, and therefore do not include cruise altitude emissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c Includes equipment, such as tractors and combines, as well as fuel consumption from trucks that are used off-road in agriculture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d Includes equipment, such as cranes, dumpers, and excavators, as well as fuel consumption from trucks that are used off-road in construction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e “Other"" includes snowmobiles and other recreational equipment, logging equipment, lawn and garden equipment, railroad equipment, airport equipment, commercial equipment, and industrial equipment, as well as fuel consumption from trucks that are used off-road for commercial/industrial purposes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
