Table A-103:  HFC Emissions from Transportation Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mobile AC,0,0,1.2,5.1,12.3,19.4,28.1,37.0,43.2,49.4,55.2,60.9,63.2,64.7,66.5,67.4,68.3,68.8,69.2,68.2,64.7,58.6,52.7,46.7,43.4,40.5,36.9,33.3,31.0,28.8
Passenger Cars,0,0,1.2,3.6,7.5,11.2,15.7,20.3,22.9,25.5,28.0,30.7,31.5,31.6,31.9,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.2,15.8,14.7,13.2,11.4,10.4,9.3
Light-Duty Trucks,0,0,0.0,1.4,4.6,7.8,11.7,15.8,19.2,22.6,25.6,28.4,29.8,31.1,32.4,33.3,34.0,34.5,35.1,35.2,34.1,31.6,29.2,26.5,24.7,23.0,21.1,19.2,18.1,16.9
Heavy-Duty Vehicles,0,0,0.0,0.1,0.3,0.5,0.7,0.9,1.1,1.4,1.6,1.8,1.9,2.0,2.2,2.4,2.6,2.8,2.9,3.0,3.1,3.0,2.9,2.9,2.9,2.8,2.7,2.6,2.6,2.6
Comfort Cooling for Trains and Buses,0,0,0.0,0.0,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
School and Tour Buses,0,0,0.0,0.0,+,+,+,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Transit Buses,0,0,0.0,0.0,0.0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1
Rail,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1
Refrigerated Transport,0,0,0.0,+,0.1,0.2,0.3,0.4,0.5,0.7,0.8,1.0,1.1,1.3,1.4,1.6,1.7,2.0,2.2,2.4,2.9,3.4,3.9,4.4,4.9,5.4,5.9,6.4,6.9,7.4
Medium- and Heavy-Duty Trucks,0,0,0.0,+,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,2.7,2.9,3.1,3.3,3.5
Rail,0,0,0.0,0.0,0.0,0.0,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ships and Boats,0,0,0.0,+,+,+,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.3,3.6,3.9
Total,0,0,1.2,5.1,12.4,19.6,28.4,37.4,43.8,50.2,56.2,62.0,64.5,66.2,68.2,69.3,70.3,71.2,71.9,71.1,68.1,62.4,57.1,51.6,48.8,46.3,43.3,40.1,38.5,36.7
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
