Table A-104:  Total U.S. Greenhouse Gas Emissions from Transportation and Mobile Sources (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode / Vehicle Type / Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Percent Change 1990-2019
Transportation Total a,"1,529.8","1,483.6","1,543.1","1,580.2","1,635.2","1,670.3","1,726.5","1,753.1","1,795.6","1,866.7","1,917.2","1,889.3","1,929.6","1,937.8","1,970.6","1,980.4","1,980.5","1,979.6","1,875.6","1,800.8","1,806.8","1,773.5","1,753.5","1,756.3","1,790.5","1,798.4","1,834.3","1,851.8","1,883.0","1,880.5",23%
On-Road Vehicles,"1,206.8","1,188.3","1,234.1","1,269.9","1,309.2","1,342.0","1,387.7","1,424.8","1,475.4","1,530.9","1,557.8","1,559.9","1,598.6","1,625.8","1,647.2","1,647.4","1,650.0","1,643.9","1,559.2","1,517.5","1,515.2","1,483.9","1,473.1","1,466.2","1,514.3","1,510.5","1,534.6","1,540.7","1,563.9","1,555.7",29%
Passenger Cars,639.6,598.4,607.7,615.7,625.2,629.9,643.5,647.2,669.2,682.9,685.8,687.9,700.5,687.7,677.4,691.7,668.7,824.3,778.5,774.0,762.7,753.3,746.2,739.2,753.0,752.5,763.5,760.6,770.3,762.3,19%
Gasoline b,631.7,591.4,599.2,603.8,609.2,610.8,621.0,620.8,640.8,653.1,654.1,653.4,665.2,651.9,641.1,655.7,632.8,788.7,743.5,740.4,731.4,725.3,721.4,717.7,732.6,733.0,745.4,744.0,754.3,747.0,18%
Diesel b,7.9,7.0,7.3,8.3,8.5,7.9,6.7,6.1,5.6,4.4,3.7,3.7,3.8,4.3,4.4,4.3,4.2,4.1,3.7,3.6,3.8,4.1,4.1,4.1,4.2,4.3,4.3,4.4,4.4,4.6,-41%
AFVs c,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.2,0.4,0.5,0.7,0.8,1.2,1.4,NA
HFCs from Mobile AC,0.0,0.0,1.2,3.6,7.5,11.2,15.7,20.3,22.9,25.5,28.0,30.7,31.5,31.6,31.9,31.7,31.7,31.5,31.2,29.9,27.5,23.9,20.6,17.2,15.8,14.7,13.2,11.4,10.4,9.3,NA
Light-Duty Trucks,326.7,354.9,380.8,395.3,407.7,425.2,444.8,463.6,478.3,500.8,506.7,509.6,521.9,563.6,579.4,537.7,553.3,359.4,338.4,343.5,339.6,322.6,316.1,312.1,331.9,320.9,330.2,324.3,325.7,323.1,-1%
Gasoline b,315.1,343.3,368.1,380.3,388.8,402.4,417.3,431.3,441.7,459.2,460.7,460.0,469.8,504.8,517.4,478.0,491.9,310.8,290.6,295.7,292.7,277.9,273.8,272.6,293.2,283.8,294.8,290.7,293.0,290.9,-8%
Diesel b,11.5,11.4,12.6,13.5,14.0,14.9,15.7,16.3,17.3,19.0,20.3,21.0,22.1,27.5,29.3,26.1,27.0,13.7,12.2,12.1,12.6,13.0,13.0,12.8,13.9,13.9,14.2,14.2,14.3,15.0,31%
AFVs c,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.4,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,60%
HFCs from Mobile AC,0.0,0.0,0.0,1.4,4.6,7.8,11.7,15.8,19.2,22.6,25.6,28.4,29.8,31.1,32.4,33.3,34.0,34.5,35.1,35.2,34.1,31.6,29.2,26.5,24.7,23.0,21.1,19.2,18.1,16.9,NA
Medium- and Heavy-Duty Trucks,230.3,225.5,235.7,248.2,265.2,275.9,288.1,302.5,316.0,333.9,352.3,350.4,364.6,362.1,373.5,404.1,413.6,438.0,420.5,379.7,393.3,387.8,389.0,393.3,406.4,413.9,417.9,431.4,442.1,444.4,93%
Gasoline b,38.5,38.1,37.3,36.0,36.2,35.8,35.0,34.4,35.0,35.5,36.4,35.3,35.7,31.3,31.2,34.8,35.4,46.0,45.8,42.3,42.0,38.5,38.1,38.8,39.9,39.3,40.4,41.2,42.2,40.3,5%
Diesel b,190.7,186.3,197.4,211.0,227.0,238.6,251.4,266.2,278.8,296.0,313.2,312.2,325.6,327.0,338.3,364.5,373.4,387.2,369.0,331.9,346.4,344.1,345.5,348.9,360.8,368.7,371.5,384.0,393.5,397.5,108%
AFVs c,1.2,1.1,1.0,1.0,1.7,0.9,0.8,0.7,0.9,0.7,0.6,0.7,0.7,0.9,0.9,1.3,1.1,0.8,1.5,1.0,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,-58%
HFCs from Refrigerated Transport and Mobile AC e,0.0,0.0,0.0,0.1,0.3,0.6,0.8,1.1,1.4,1.7,2.0,2.3,2.5,2.8,3.1,3.4,3.7,4.0,4.2,4.4,4.7,4.8,5.0,5.2,5.3,5.5,5.5,5.7,5.9,6.1,NA
Buses,8.5,7.8,8.1,8.8,9.3,9.2,9.6,9.8,10.1,11.3,11.1,10.3,10.0,10.8,15.3,12.3,12.6,18.0,17.5,16.2,16.0,16.7,17.8,17.8,19.2,19.6,19.1,20.6,22.0,22.2,162%
