Table A-111: Annual Coal Production (Thousand Short Tons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basin,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Underground Coal Production,"423,556","406,344","406,335","351,056","399,102","396,249","409,850","420,657","417,729","391,791","372,766","380,627","357,385","352,785","367,557","368,612","359,022","351,790","357,079","332,062","337,155","345,606","342,387","341,685","354,704","306,821","252,106","273,129","275,361","267,373"
N. Appalachia,"103,865","103,450","105,220","77,032","100,122","98,103","106,729","112,135","116,718","107,575","105,374","107,025","98,642","98,369","106,915","111,151","107,827","106,023","105,234","99,629","103,109","105,751","103,409","104,131","116,699","103,579","94,685","97,741","97,070","97,905"
Cent. Appalachia,"198,412","181,873","177,777","164,845","170,893","166,495","171,845","177,720","171,279","157,058","150,584","152,457","137,225","130,724","128,559","123,082","117,739","110,103","114,997","98,690","96,354","94,034","78,067","70,443","64,219","53,230","39,800","46,053","45,306","39,957"
Warrior,"17,531","17,062","15,944","15,557","14,471","17,605","18,217","18,505","17,316","14,799","15,895","15,172","14,916","15,375","16,114","13,295","10,737","11,462","12,281","11,505","12,513","10,879","12,570","13,515","12,516","9,897","7,434","10,491","12,199","11,980"
Illinois,"69,167","69,947","73,154","55,967","69,050","69,009","67,046","64,728","64,463","63,529","53,720","54,364","54,016","51,779","56,319","59,180","61,727","61,924","64,609","67,186","72,178","81,089","92,499","98,331","105,212","96,361","76,578","80,855","85,416","81,061"
S. West/Rockies,"32,754","31,568","31,670","35,409","41,681","42,994","43,088","44,503","45,983","46,957","45,742","51,193","52,122","56,112","59,040","60,866","59,670","58,814","55,781","50,416","44,368","45,139","45,052","41,641","44,302","33,762","26,413","30,047","25,387","27,257"
N. Great Plains,"1,722","2,418","2,511","2,146","2,738","2,018","2,788","2,854","1,723","1,673","1,210",0,0,32,201,572,840,"2,869","3,669","4,247","8,208","8,179","10,344","13,126","11,272","9,510","6,776","7,600","9,777","9,213"
West Interior,105,26,59,100,147,25,137,212,247,200,241,416,464,394,410,465,482,595,508,388,425,535,446,498,485,482,420,343,206,0
Northwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surface Coal Production,"602,753","587,143","588,944","594,372","634,401","636,726","654,007","669,271","699,806","708,639","700,608","745,308","735,910","717,979","743,552","762,190","802,976","793,690","813,322","740,174","745,357","748,372","672,748","641,191","643,721","588,736","475,407","500,782","480,080","438,445"
N. Appalachia,"60,761","51,124","50,512","48,641","44,960","39,372","39,788","40,179","41,043","33,928","34,908","35,335","30,088","27,354","28,174","28,873","28,376","26,121","30,413","26,551","26,082","26,382","21,411","19,305","17,299","13,200","8,739","9,396","9,219","8,476"
Cent. Appalachia,"94,343","91,785","95,163","94,433","106,129","106,250","108,869","113,275","108,345","107,507","110,479","116,984","111,340","99,508","103,966","112,222","118,388","116,227","118,962","97,777","89,788","90,779","69,722","57,172","52,399","37,530","26,759","31,796","33,799","32,742"
Warrior,"11,413","10,104","9,775","9,211","8,795","7,036","6,420","5,963","5,697","4,723","4,252","4,796","6,321","8,438","9,743","11,599","11,890","11,411","11,172","10,731","11,405","10,939","9,704","8,680","7,584","6,437","5,079","4,974","5,523","4,841"
Illinois,"72,000","63,483","58,814","50,535","51,868","40,376","44,754","46,862","45,715","40,474","33,631","40,894","39,380","36,712","34,016","33,703","33,362","33,736","34,267","34,837","32,911","34,943","34,771","33,797","31,969","27,359","21,707","22,427","21,405","18,591"
S. West/Rockies,"43,863","42,985","46,052","48,765","49,119","46,643","43,814","48,374","49,635","50,349","49,587","52,180","50,005","41,237","42,557","42,756","36,798","34,310","34,282","32,167","28,889","31,432","30,475","29,143","27,654","26,019","18,951","19,390","19,599","18,394"
N. Great Plains,"249,356","259,194","258,281","275,873","308,279","331,367","343,404","349,612","385,438","407,683","407,670","438,367","441,346","444,008","466,224","474,056","518,136","523,695","538,388","496,290","507,995","500,734","455,320","444,669","458,113","436,929","350,898","372,874","362,664","329,164"
West Interior,"64,310","61,889","63,562","60,574","58,791","59,116","60,912","59,061","57,951","58,309","54,170","50,613","50,458","53,411","51,707","52,262","52,021","46,868","44,361","39,960","46,135","51,013","49,293","46,793","47,201","40,084","42,342","38,966","26,969","25,261"
Northwest,"6,707","6,579","6,785","6,340","6,460","6,566","6,046","5,945","5,982","5,666","5,911","6,138","6,973","7,313","7,165","6,720","4,005","1,324","1,477","1,860","2,151","2,149","2,052","1,632","1,502","1,177",932,959,902,975
Total Coal Production,"1,026,309","993,487","995,279","945,428","1,033,503","1,032,975","1,063,857","1,089,928","1,117,535","1,100,430","1,073,374","1,125,935","1,093,295","1,070,764","1,111,109","1,130,802","1,161,997","1,145,478","1,170,401","1,072,236","1,082,511","1,093,977","1,015,135","982,876","998,425","895,557","727,514","773,911","755,442","705,818"
N. Appalachia,"164,626","154,574","155,732","125,673","145,082","137,475","146,517","152,314","157,761","141,503","140,282","142,360","128,730","125,722","135,089","140,023","136,203","132,143","135,647","126,180","129,191","132,133","124,819","123,437","133,998","116,779","103,424","107,137","106,289","106,381"
Cent. Appalachia,"292,755","273,658","272,940","259,278","277,022","272,745","280,714","290,995","279,624","264,565","261,063","269,442","248,565","230,231","232,525","235,305","236,127","226,328","233,959","196,467","186,142","184,813","147,789","127,615","116,617","90,760","66,558","77,848","79,105","72,700"
Warrior,"28,944","27,166","25,719","24,768","23,266","24,641","24,637","24,468","23,013","19,522","20,147","19,968","21,237","23,813","25,857","24,894","22,627","22,872","23,453","22,236","23,918","21,818","22,274","22,195","20,100","16,334","12,513","15,464","17,723","16,822"
Illinois,"141,167","133,430","131,968","106,502","120,918","109,385","111,800","111,590","110,178","104,003","87,351","95,258","93,395","88,491","90,336","92,883","95,089","95,660","98,875","102,023","105,089","116,032","127,270","132,128","137,181","123,720","98,285","103,282","106,821","99,652"
S. West/Rockies,"76,617","74,553","77,722","84,174","90,800","89,637","86,902","92,877","95,618","97,306","95,329","103,373","102,127","97,348","101,597","103,622","96,468","93,125","90,063","82,583","73,256","76,571","75,528","70,784","71,956","59,781","45,364","49,437","44,987","45,652"
N. Great Plains,"251,078","261,612","260,792","278,019","311,017","333,385","346,192","352,466","387,161","409,356","408,880","438,367","441,346","444,040","466,424","474,629","518,976","526,564","542,057","500,538","516,203","508,913","465,664","457,794","469,384","446,438","357,675","380,474","372,441","338,376"
West Interior,"64,415","61,915","63,621","60,674","58,938","59,141","61,049","59,273","58,198","58,509","54,411","51,029","50,922","53,805","52,117","52,727","52,503","47,462","44,869","40,349","46,560","51,548","49,739","47,291","47,686","40,566","42,763","39,309","27,175","25,261"
Northwest,"6,707","6,579","6,785","6,340","6,460","6,566","6,046","5,945","5,982","5,666","5,911","6,138","6,973","7,313","7,165","6,720","4,005","1,324","1,477","1,860","2,151","2,149","2,052","1,632","1,502","1,177",932,959,902,975
Notes: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
