Table A-115: Total Coal Mining CH4 Emissions by State (Million Cubic Feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,"32,097",NA,NA,"25,680","29,483","33,627","29,457","26,334","26,352","25,605","23,289","21,832","18,624","19,215","18,152","15,789","14,575","17,038","20,992","22,119","21,377","18,530","18,129","17,495","16,301","12,675","10,752","11,044","12,119","9,494"
Alaska,50,NA,NA,47,46,50,43,42,39,46,48,44,33,32,44,42,42,39,43,54,63,63,60,48,44,34,27,28,26,28
Arizona,151,NA,NA,162,174,159,139,156,151,157,175,179,171,161,170,161,109,106,107,100,103,108,100,101,107,91,72,83,87,51
Arkansas,5,NA,NA,6,6,4,3,2,3,3,2,2,2,1,1,+,3,144,237,119,130,348,391,214,176,559,247,770,71,0
California,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,"10,187",NA,NA,"7,075","9,043","7,441","5,818","9,029","9,017","9,233","10,656","10,954","11,921","13,073","12,412","13,441","12,942","13,034","12,871","13,999","16,470","11,187","9,305","4,838","4,038","3,248","2,272","1,940","1,616","1,730"
Illinois,"10,180",NA,NA,"8,546","10,422","11,442","10,744","8,426","7,770","7,747","8,477","7,172","5,863","4,647","5,713","6,488","6,857","4,396","7,658","7,231","8,622","7,579","9,763","8,920","9,217","10,547","11,034","8,513","6,530","5,661"
Indiana,"2,232",NA,NA,"1,875","2,021","1,640","1,734","2,194","2,306","2,128","1,815","2,866","3,026","3,363","3,102","3,303","3,612","3,928","5,047","5,763","5,938","6,203","7,374","6,427","7,159","6,891","6,713","6,036","6,729","6,807"
Iowa,24,NA,NA,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,45,NA,NA,21,18,18,15,23,21,26,13,11,13,10,4,11,27,26,14,12,8,2,1,1,4,12,2,0,0,0
