Table A-116:  2019 Plastics in the Municipal Solid Waste Stream by Resin (kt),,,,,,,,
,,,,,,,,
Waste Pathway,PET,HDPE,PVC,LDPE/LLDPE,PP,PS,Other,Total
Generation,"4,799","5,715",762,"7,793","7,394","2,050","3,856","32,369"
Recovery,826,508,0,336,45,18,"1,007","2,740"
Discard,"3,974","5,207",762,"7,457","7,348","2,032","2,849","29,629"
  Landfill,"3,672","4,812",704,"6,890","6,790","1,878","2,632","27,377"
  Combustion,302,396,58,567,558,154,216,"2,252"
Recovery a,17%,9%,0%,4%,1%,1%,26%,8%
Discard a,83%,91%,100%,96%,99%,99%,74%,92%
  Landfill a,77%,84%,92%,88%,92%,92%,68%,85%
  Combustion a,6%,7%,8%,7%,8%,8%,6%,7%
"Note: Totals may not sum due to independent rounding. Abbreviations: PET (polyethylene terephthalate), HDPE (high density polyethylene), PVC (polyvinyl chloride), LDPE/LLDPE (linear low density polyethylene), PP (polypropylene), PS (polystyrene).",,,,,,,,
a As a percent of waste generation.,,,,,,,,
