Table A-123:  Transportation Fuels from Domestic Fuel Deliveries a (Million Gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Fuel,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aviation,"4,598.40","4,562.84","3,734.49","3,610.85","3,246.23","3,099.93","2,941.91","2,685.60","2,741.40","2,635.25","2,664.45","2,900.58","2,609.75","2,614.99","2,703.12","2,338.14","2,092.01","2,081.02","2,067.80","1,814.46","1,663.95","1,405.00","1,449.70","1,336.40","1,679.50","1,663.70","1,558.00","1,537.70","1,482.20","1,487.60"
Total Jet Fuels,"4,598.40","4,562.81","3,734.46","3,610.83","3,246.21","3,099.91","2,941.90","2,685.59","2,741.38","2,635.24","2,664.44","2,900.55","2,609.64","2,614.92","2,703.08","2,338.01","2,091.88","2,080.86","2,067.66","1,814.26","1,663.70","1,404.80","1,449.50","1,336.20","1,679.20","1,663.50","1,557.70","1,537.50","1,481.90","1,487.40"
JP8,285.7,283.5,234.5,989.4,1598.1,2182.8,2253.1,2072.0,2122.5,2066.5,2122.7,2326.2,2091.4,2094.3,2126.2,1838.8,1709.3,1618.5,1616.2,1358.2,1100.1,882.8,865.2,718,546.6,126.6,-9.5,-11.4,1.9,4.7
JP5,1025.4,1017.4,832.7,805.1,723.8,691.2,615.8,552.8,515.6,505.5,472.1,503.2,442.2,409.1,433.7,421.6,325.5,376.1,362.2,361.2,399.3,372.3,362.5,316.4,311,316.4,320.4,316.3,304.1,314.4
Other Jet Fuels,3287.3,3261.9,2667.3,1816.3,924.3,225.9,72.9,60.9,103.3,63.3,69.6,71.2,76.1,111.4,143.2,77.6,57.0,86.3,89.2,94.8,164.3,149.7,221.8,301.7,821.6,"1,220.50","1,246.90","1,232.70","1,175.90","1,168.20"
Aviation Gasoline,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,+ ,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2
Marine,686.8,632.6,646.2,589.4,478.6,438.9,493.3,639.8,674.2,598.9,454.4,418.4,455.8,609.1,704.5,604.9,531.6,572.8,563.4,485.8,578.8,489.9,490.4,390.4,427.9,421.7,412.4,395.2,370.9,365.4
Middle Distillate (MGO),0.0,0.0,0.0,0.0,0.0,0.0,38.5,47.5,51.1,49.2,48.3,33.0,41.2,88.1,71.2,54.0,45.8,45.7,55.2,56.8,48.4,37.3,52.9,40.9,62,56,23.1,24.4,19.9,23.2
Naval Distillate (F76),686.8,632.6,646.2,589.4,478.6,438.9,449.0,583.4,608.4,542.9,398.0,369.1,395.1,460.9,583.5,525.9,453.6,516.0,483.4,399.0,513.7,440,428.4,345.7,362.7,363.3,389.1,370.8,351,342.2
Intermediate Fuel Oil (IFO) b,0.0,0.0,0.0,0.0,0.0,0.0,5.9,9.0,14.7,6.7,8.1,16.3,19.5,60.2,49.9,25.0,32.2,11.1,24.9,30.0,16.7,12.5,9.1,3.8,3.2,2.4,0.1,0,0,0
Other c,717.1,590.4,491.7,415.1,356.1,310.9,276.9,263.3,256.8,256.0,248.2,109.8,211.1,221.2,170.9,205.6,107.3,169.0,173.6,206.8,224.0,208.6,193.8,180.6,190.7,181.1,178.3,165.8,170.4,161.4
