Table A-124:  Total U.S. Military Aviation Bunker Fuel (Million Gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Service,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jet Fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 JP8,56.7,56.3,46.4,145.3,224.0,300.4,308.8,292.0,306.4,301.4,307.6,341.2,309.5,305.1,309.8,285.6,262.5,249.1,229.4,211.4,182.5,143.4,141.2,122.0,88.0,17.2,2.4,2.5,2.9,1.2
    Navy,56.7,56.3,46.1,44.6,40.1,38.3,39.8,46.9,53.8,55.5,53.4,73.8,86.6,76.3,79.2,70.9,64.7,62.7,59.2,55.4,60.8,47.1,50.4,48.9,31.2,0.8,5.5,6.4,4.8,2.5
    Air Force,+,+,0.3,100.8,183.9,262.2,269.0,245.1,252.6,245.9,254.2,267.4,222.9,228.7,230.6,214.7,197.8,186.5,170.3,156.0,121.7,96.2,90.8,73.0,56.7,16.4,-3.1,-3.9,-1.9,-1.3
 JP5,370.5,367.7,300.9,291.0,261.6,249.8,219.4,194.2,184.4,175.4,160.3,169.7,158.3,146.1,157.9,160.6,125.0,144.5,139.2,137.0,152.5,144.9,141.2,124.9,121.9,124.1,126.1,124.7,120.1,123.9
    Navy,365.3,362.5,296.7,286.8,257.9,246.3,216.1,191.2,181.4,170.6,155.6,163.7,153.0,141.3,153.8,156.9,122.8,141.8,136.5,133.5,149.7,143.0,139.5,123.6,120.2,122.6,124.7,123.4,118.9,122.5
    Air Force,5.3,5.2,4.3,4.1,3.7,3.5,3.3,3.0,3.0,4.8,4.7,6.1,5.3,4.9,4.1,3.7,2.3,2.7,2.6,3.5,2.8,1.8,1.7,1.3,1.6,1.5,1.4,1.3,1.2,1.4
 JP4,420.8,417.5,341.4,229.6,113.1,21.5,1.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.0,0.0,+,0.0,0.0,0.0,0.0,0.0,0.0
    Navy,+,+,+,+,+,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+,0.0,0.0,0.0,+,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
    Air Force,420.8,417.5,341.4,229.6,113.1,21.5,1.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.0,0.0,+,0.0,0.0,0.0,0.0,0.0,0.0
 JAA,13.7,13.6,11.1,10.8,9.7,9.2,10.3,9.4,10.8,10.8,12.5,12.6,13.7,21.7,30.0,15.5,11.7,15.6,16.8,18.1,31.4,31.1,38.6,46.5,128.0,199.8,203.7,198.9,191.8,192.5
    Navy,8.5,8.4,6.9,6.6,6.0,5.7,6.6,5.9,6.6,6.3,7.9,8.0,9.8,15.5,21.5,11.6,9.1,11.7,12.5,12.3,13.7,14.6,14.8,13.4,36.1,71.7,72.9,67.8,68.1,71.2
    Air Force,5.3,5.2,4.3,4.1,3.7,3.5,3.7,3.5,4.2,4.5,4.5,4.6,3.8,6.2,8.6,3.9,2.6,3.9,4.3,5.9,17.7,16.5,23.8,33.1,91.9,128.1,130.8,131.1,123.7,121.4
 JA1,+,+,+,+,+,+,+,+,+,0.0,+,0.1,0.6,0.2,0.5,0.5,0.4,1.1,1.0,0.6,0.3,-0.5,-0.3,0.6,1.1,0.3,0.5,0.2,0.5,0.3
    Navy,+,+,+,+,+,+,+,+,+,0.0,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,-0.5,-0.3,0.6,0.7,+,0.1,(+),+,+
    Air Force,+,+,+,+,+,+,+,+,+,0.0,+,0.1,0.6,0.2,0.5,0.5,0.4,1.0,0.8,0.5,0.1,-0.1,(+),+,0.5,0.3,0.5,0.2,0.5,0.3
 JAB,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
