Table A-130: Refrigeration and Air-Conditioning Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,
,Name of Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Name of  Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Growth Rate 7
Centrifugal Chillers,,,,,,,,,,,,,
CFC-11,HCFC-123,1993,1993,45%,HCFO-1233zd(E),2016,2016,1%,None,,,,1.60%
,,,,,R-514A,2017,2017,1%,None,,,,
,,,,,HCFO-1233zd(E),2017,2020,49%,None,,,,
,,,,,R-514A,2018,2020,49%,None,,,,
,HCFC-22,1991,1993,16%,HFC-134a,2000,2010,100%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,HFC-134a,1992,1993,39%,R-450A,2017,2017,1%,None,,,,
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
CFC-12,HFC-134a,1992,1994,53%,R-450A,2017,2017,1%,None,,,,1.50%
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
,HCFC-22,1991,1994,16%,HFC-134a,2000,2010,100%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,HCFC-123,1993,1994,31%,HCFO-1233zd(E),2016,2016,1%,None,,,,
,,,,,R-514A,2017,2017,1%,None,,,,
,,,,,HCFO-1233zd(E),2017,2020,49%,None,,,,
,,,,,R-514A,2018,2020,49%,None,,,,
R-500,HFC-134a,1992,1994,53%,R-450A,2017,2017,1%,None,,,,1.50%
,,,,,R-513A,2017,2017,1%,None,,,,
,,,,,R-450A,2018,2024,49%,None,,,,
,,,,,R-513A,2018,2024,49%,None,,,,
,HCFC-22,1991,1994,16%,HFC-134a,2000,2010,100%,R-450A,2017,2017,1%,
,,,,,,,,,R-513A,2017,2017,1%,
,,,,,,,,,R-450A,2018,2024,49%,
,,,,,,,,,R-513A,2018,2024,49%,
,HCFC-123,1993,1994,31%,HCFO-1233zd(E),2016,2016,1%,None,,,,
,,,,,R-514A,2017,2017,1%,None,,,,
,,,,,HCFO-1233zd(E),2017,2020,49%,None,,,,
,,,,,R-514A,2018,2020,49%,None,,,,
CFC-114,HFC-236fa,1993,1996,100%,HFC-134a,1998,2009,100%,None.,,,,1.40%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cold Storage,,,,,,,,,,,,,
CFC-12,HCFC-22,1990,1993,65%,R-404A,1996,2010,75%,R-407F,2017,2023,100%,3.10%
,,,,,R-507,1996,2010,25%,R-407F,2017,2023,100%,
,R-404A,1994,1996,26%,R-407F,2017,2023,100%,None,,,,
,R-507,1994,1996,9%,R-407F,2017,2023,100%,None ,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-404A,1996,2009,8%,R-407F,2017,2023,100%,3.00%
,,,,,R-507,1996,2009,3%,R-407F,2017,2023,100%,
,,,,,R-404A,2009,2010,68%,R-407F,2017,2023,100%,
,,,,,R-507,2009,2010,23%,R-407F,2017,2023,100%,
R-502,HCFC-22,1990,1993,40%,R-404A,1996,2010,38%,R-407F,2017,2023,100%,2.60%
,,,,,R-507,1996,2010,12%,R-407F,2017,2023,100%,
,,,,,Non-ODP/GWP ,1996,2010,50%,None,,,,
,R-404A,1993,1996,45%,R-407F,2017,2023,100%,None,,,,
,R-507,1994,1996,15%,R-407F,2017,2023,100%,None,,,,
Commercial Unitary Air Conditioners (Large),,,,,,,,,,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-410A,2001,2005,5%,None,,,,1.30%
,,,,,R-407C,2006,2009,1%,None,,,,
,,,,,R-410A,2006,2009,9%,None,,,,
,,,,,R-407C,2009,2010,5%,None,,,,
,,,,,R-410A,2009,2010,81%,None,,,,
Commercial Unitary Air Conditioners (Small),,,,,,,,,,,,,
HCFC-22,HCFC-22,1992,1993,100%,R-410A,1996,2000,3%,None,,,,1.30%
,,,,,R-410A,2001,2005,18%,None,,,,
,,,,,R-410A,2006,2009,8%,None,,,,
,,,,,R-410A,2009,2010,71%,None,,,,
Dehumidifiers,,,,,,,,,,,,,
HCFC-22,HFC-134a,1997,1997,89%,None,,,,,,,,1.30%
,R-410A,2007,2010,11%,None,,,,,,,,
Ice Makers,,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1995,27%,None,,,,,,,,2.10%
,R-404A,1993,1995,73%,R-410A,2013,2019,32%,None,,,,
Industrial Process Refrigeration,,,,,,,,,,,,,
CFC-11,HCFC-123,1992,1994,70%,HCFO-1233zd(E),2016,2016,2%,None,,,,3.20%
,,,,,HCFO-1233zd(E),2017,2020,98%,None,,,,
,HFC-134a,1992,1994,15%,None,,,,,,,,
,HCFC-22,1991,1994,15%,HFC-134a,1995,2010,100%,None,,,,
CFC-12,HCFC-22,1991,1994,10%,HFC-134a,1995,2010,15%,None,,,,3.10%
,,,,,R-404A,1995,2010,50%,None,,,,
,,,,,R-410A,1999,2010,20%,None,,,,
,,,,,R-507,1995,2010,15%,None,,,,
,HCFC-123,1992,1994,35%,HCFO-1233zd(E),2016,2016,2%,None,,,,
,,,,,HCFO-1233zd(E),2017,2020,98%,None,,,,
,HFC-134a,1992,1994,50%,None,,,,,,,,
,R-401A,1995,1996,5%,HFC-134a,1997,2000,100%,None,,,,
HCFC-22,HFC-134a,1995,2009,2%,None,,,,,,,,3.00%
,R-404A,1995,2009,5%,None,,,,,,,,
,R-410A,1999,2009,2%,None,,,,,,,,
,R-507,1995,2009,2%,None,,,,,,,,
,HFC-134a,2009,2010,14%,None,,,,,,,,
,R-404A,2009,2010,45%,None,,,,,,,,
,R-410A,2009,2010,18%,None,,,,,,,,
,R-507,2009,2010,14%,None,,,,,,,,
Mobile Air Conditioners (Passenger Cars),,,,,,,,,,,,,
CFC-12,HFC-134a,1992,1994,100%,HFO-1234yf,2012,2015,1%,None,,,,0.30%
,,,,,HFO-1234yf,2016,2021,99%,None,,,,
Mobile Air Conditioners (Light Duty Trucks),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1994,100%,HFO-1234yf,2012,2015,1%,None,,,,1.40%
,,,,,HFO-1234yf,2016,2021,99%,None,,,,
Mobile Air Conditioners (Heavy Duty Vehicles),,,,,,,,,,,,,
CFC-12,HFC-134a,1993,1994,100%,None,,,,,,,,0.80%
Mobile Air Conditioners (School and Tour Buses),,,,,,,,,,,,,
CFC-12,HCFC-22,1994,1995,0.50%,HFC-134a,2006,2007,100%,None,,,,0.30%
,HFC-134a,1994,1997,99.50%,None,,,,,,,,
Mobile Air Conditioners (Transit Buses),,,,,,,,,,,,,
HCFC-22,HFC-134a,1995,2009,100%,None,,,,,,,,0.30%
Mobile Air Conditioners (Trains),,,,,,,,,,,,,
