Table A-135: Foam Blowing Market Transition Assumptions,,,,,,,,,,,,,
Initial Market Segment,Primary Substitute,,,,Secondary Substitute,,,,Tertiary Substitute,,,,
,Name of Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Name of Substitute,Start Date,Date of Full Penetration in New Equipment 1,Maximum Market Penetration,Growth Rate 3
Vending Machine Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1993,1995,100%,HFC-245fa,2001,2004,100%,Non-ODP/GWP,2004,2006,45%,-0.03%
,,,,,,,,,Non-ODP/GWP,2007,2009,5%,
,,,,,,,,,Non-ODP/GWP,2007,2009,25%,
,,,,,,,,,Non-ODP/GWP,2010,2010,10%,
,,,,,,,,,Non-ODP/GWP,2017,2017,2%,
,,,,,,,,,Non-ODP/GWP,2017,2017,8%,
Stand-alone Equipment Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1990,1995,40%,HFC-245fa,2003,2005,80%,HCFO-1233zd(E),2019,2020,25%,2.20%
,,,,,HFC-134a,2003,2005,40%,None,,,,
,,,,,Non-ODP/GWP,2003,2005,40%,None,,,,
,HCFC-22,1990,1995,56%,HFC-134a,2004,2008,46%,Non-ODP/GWP,2010,2018,32%,
,,,,,,,,,HCFO-1233zd(E),2019,2020,36%,
,,,,,Non-ODP/GWP,2004,2008,54%,None,,,,
Ice Machine Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,40%,CO2,2002,2003,69%,None,,,,2.10%
,,,,,HFC-134a,2002,2003,31%,CO2,2017,2020,47%,
,,,,,,,,,HCFO-1233zd(E),2017,2020,20%,
,HCFC-142b,1989,1996,8%,CO2,2002,2003,69%,None,,,,
,,,,,HFC-134a,2002,2003,31%,CO2,2017,2020,47%,
,,,,,,,,,HCFO-1233zd(E),2017,2020,20%,
,HCFC-22,1989,1996,52%,CO2,2002,2003,69%,None,,,,
,,,,,HFC-134a,2002,2003,31%,CO2,2017,2020,47%,
,,,,,,,,,HCFO-1233zd(E),2017,2020,20%,
Refrigerated Food Processing and Dispensing Equipment Foam,,,,,,,,,,,,,
 CFC-11,HCFC-22,1989,1997,100%,HFC-134a,2004,2008,75%,Non-ODP/GWP,2015,2021,30%,2.10%
,,,,,,2009,2010,20%,HCFO-1233zd(E),2020,2021,3%,
,,,,,,,,,HFO-1234ze,2020,2021,3%,
,,,,,Non-ODP/GWP,2004,2008,25%,None,,,,
Small Walk-in Cooler Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1990,1995,50%,HFC-245fa,2001,2003,100%,None,,,,1.60%
,HCFC-22,1990,1995,50%,HFC-134a,2000,2001,10%,None,,,,
,,,,,HFC-245fa,2009,2010,50%,HCFO-1233zd(E),2020,2020,20%,
,,,,,HFC-134a,2009,2010,40%,None,,,,
Large Walk-in Cooler Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1990,1995,50%,HFC-245fa,2001,2003,100%,None,,,,1.50%
,HCFC-22,1990,1995,50%,HFC-134a,2000,2001,10%,None, ,,,
, ,,,,HFC-245fa,2009,2010,50%,HCFO-1233zd(E),2020,2020,20%,
,,,,,HFC-134a,2009,2010,40%,None,,,,
Display Case Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1991,1992,50%,HFC-245fa,2003,2003,100%,None,,,,1.70%
 ,HCFC-142b,1991,1992,50%,HFC-245fa,2004,2004,100%,None, ,,,
CFC-12 ,HCFC-22,1991,1993,100%,HFC-134a,2003,2007,100%,HCFO-1233zd(E),2015,2020,60%,
Road Transport Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,19%,HCFC-22,1999,2001,37%,HFC-245fa,2005,2007,100%,5.50%
,,,,,CO2,1999,2001,11%,None,,,,
,,,,,Non-ODP/GWP,1999,2001,53%,None,,,,
,HCFC-22,1989,1996,81%,HFC-134a,2005,2007,37%,None,,,,
,,,,,HFC-245fa,2005,2007,63%,HCFO-1233zd,2020,2020,76%,
Intermodal Container Foam,,,,,,,,,,,,,
CFC-11,HCFC-141b,1989,1996,19%,HCFC-22,1999,2001,37%,HFC-245fa,2005,2007,100%,7.30%
 ,,,,,CO2,1999,2001,11%,None,,,,
,,,,,Non-ODP/GWP,1999,2001,53%,None,,,,
,HCFC-22,1989,1996,81%,HFC-134a,2005,2007,37%,None,,,,
,,,,,HFC-245fa,2005,2007,63%,HCFO-1233zd,2020,2020,76%,
Flexible PU Foam: Integral Skin Foam,,,,,,,,,,,,,
HCFC-141b4,HFC-134a,1996,2000,50%,HFC-245fa,2003,2010,96%,HCFO-1233zd(E),2017,2017,83%,2.00%
,,,,,,,,,Non-ODP/GWP,2017,2017,6%,
,,,,,,,,,HFO-1336mzz(Z),2017,2017,10%,
,,,,,Non-ODP/GWP,2003,2010,4%,None,,,,
, CO2,1996,2000,50%,None,,,,,,,,
"Flexible PU Foam: Slabstock Foam, Moulded Foam",,,,,,,,,,,,,
