Table A-146: Weight Gains that Vary by Year (lbs),,,,,
Year/Cattle Type,Steer Stockers to 12 months(lbs/day),Steer Stockers to 24 months (lbs/day),Heifer Stockers to 12 months(lbs/day),Heifer Stockers to 24 months(lbs/day),
1990,1.53,1.23,1.23,1.08,
1991,1.56,1.29,1.29,1.15,
1992,1.59,1.35,1.35,1.23,
1993,1.62,1.41,1.41,1.3,
1994,1.65,1.47,1.47,1.38,
1995,1.68,1.53,1.53,1.45,
1996,1.71,1.59,1.59,1.53,
1997,1.74,1.65,1.65,1.6,
1998,1.77,1.71,1.71,1.68,
1999,1.8,1.77,1.77,1.75,
2000–onwards,1.83,1.83,1.83,1.83,
"Sources: Enns (2008), Johnson (1999), Lippke et al. (2000), NRC (1999), Pinchack et al. (2004), Platter et al. (2003), Skogerboe et al. (2000).",,,,,
