Table A-149: Dairy Lactation Rates by State (lbs/ year/cow) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,"12,214","12,707","12,268","13,205","13,514","14,176","13,563","13,484","13,786","13,926","13,920","14,286","13,850","14,000","14,412","14,000","14,500","15,154","15,333","14,909","14,182","14,300","13,000","13,000","13,625","12,625","13,143","14,833"
Alaska,"13,300","13,300","17,429","17,000","18,000","17,000","16,875","16,667","15,922","13,580","14,500","13,055","13,600","12,846","12,167","12,273","12,250","14,667","12,000","10,000","11,833","13,800","14,250","10,667","11,667","11,667","11,667","9,667"
Arizona,"17,500","18,032","18,235","18,392","19,578","19,735","20,446","20,976","20,458","21,873","21,820","22,036","23,333","22,916","22,788","22,679","22,855","23,260","23,392","23,062","23,452","23,473","23,979","23,626","24,368","24,402","24,679","24,680"
Arkansas,"11,841","11,687","12,108","12,206","12,344","12,150","12,054","11,981","12,000","12,381","12,436","12,343","12,281","12,207","13,458","13,545","12,900","12,941","12,400","12,692","12,750","11,917","13,300","11,667","13,714","13,000","13,333","13,167"
California,"18,456","18,534","18,722","18,852","20,203","19,573","19,161","19,829","19,451","20,781","21,130","20,904","21,277","20,993","21,139","21,404","21,815","22,440","22,344","22,000","23,025","23,438","23,457","23,178","23,786","23,028","22,968","22,755"
Colorado,"17,182","17,338","17,700","18,175","19,173","18,687","19,440","19,988","20,349","20,819","21,618","21,413","21,590","21,530","21,412","22,577","23,155","22,932","22,930","23,065","23,664","23,430","24,158","24,292","24,951","25,733","25,993","26,181"
Connecticut,"15,606","15,848","15,912","15,971","16,061","16,438","16,633","16,967","17,633","17,931","17,778","18,240","18,625","18,773","19,600","19,200","19,316","19,211","19,158","18,579","19,158","19,000","19,889","20,556","20,158","20,842","21,526","22,105"
Delaware,"13,667","14,130","14,396","14,660","14,300","14,500","14,433","14,800","14,624","14,500","14,747","16,667","16,667","15,663","16,667","16,622","16,286","16,618","16,923","17,000","16,981","18,300","19,542","19,521","20,104","19,700","19,100","18,560"
Florida,"14,033","13,933","14,249","14,371","14,903","14,698","15,391","15,475","14,606","15,177","15,688","15,758","15,387","15,218","16,326","16,591","16,447","16,832","17,175","18,087","18,711","19,067","19,024","19,374","20,390","20,656","20,285","20,129"
Georgia,"12,973","13,523","14,882","15,198","15,637","15,550","15,320","15,340","15,452","16,100","16,284","16,663","17,294","16,988","16,857","17,259","18,234","18,169","17,829","18,182","17,658","18,354","19,138","19,600","20,877","21,651","21,786","21,905"
Hawaii,"13,604","13,056","13,182","13,028","12,991","13,654","13,723","13,516","14,494","13,919","14,358","14,107","14,667","14,154","13,197","12,889","13,256","12,241","10,882","14,200","13,316","14,421","14,200","13,409","13,591","15,909","14,542","16,913"
Idaho,"16,475","16,399","17,148","17,085","18,048","18,147","18,496","19,092","19,743","20,292","20,816","21,194","21,018","21,718","21,446","22,332","22,346","22,513","22,432","22,091","22,647","22,926","23,376","23,440","24,127","24,126","24,647","24,378"
Illinois,"14,707","14,936","14,941","15,329","15,519","15,887","16,050","16,564","16,570","16,496","17,450","17,414","17,835","18,441","18,486","18,827","19,252","18,612","18,255","18,255","18,400","18,510","19,061","19,063","19,681","20,149","20,340","20,742"
Indiana,"14,590","15,439","15,896","15,660","15,566","15,375","15,471","15,978","16,103","16,066","16,568","16,778","17,603","19,725","20,046","20,295","19,861","20,307","19,683","20,137","20,094","20,657","21,440","21,761","21,865","22,115","22,571","22,802"
