Table A-150: Regions used for Characterizing the Diets of Dairy Cattle (all years) and Foraging Cattle from 1990–2006,,,,,,
West,California,Northern Great Plains,Midwestern,Northeast,Southcentral,Southeast
,,,,,,
Alaska,California,Colorado,Illinois,Connecticut,Arkansas,Alabama
Arizona,,Kansas,Indiana,Delaware,Louisiana,Florida
Hawaii,,Montana,Iowa,Maine,Oklahoma,Georgia
Idaho,,Nebraska,Michigan,Maryland,Texas,Kentucky
Nevada,,North Dakota,Minnesota,Massachusetts,,Mississippi
New Mexico,,South Dakota,Missouri,New Hampshire,,North Carolina
Oregon,,Wyoming,Ohio,New Jersey,,South Carolina
Utah,,,Wisconsin,New York,,Tennessee
Washington,,,,Pennsylvania,,Virginia
,,,,Rhode Island,,
,,,,Vermont,,
,,,,West Virginia,,
Source: USDA (1996).,,,,,,
