Table A-155: Foraging Animal DE (% of GE) and Ym Values for Each Region and Animal Type for 2007–2017 [1],,,,,
Animal Type,Data,West a,Central,Northeast,Southeast
Beef Repl. Heifers ,DE b,61.9,65.6,64.5,64.6
,Ym c,6.50%,6.50%,6.50%,6.50%
Beef Calves (4–6 mo),DE,61.9,65.6,64.5,64.6
,Ym,6.50%,6.50%,6.50%,6.50%
Steer Stockers,DE,61.9,65.6,64.5,64.6
,Ym,6.50%,6.50%,6.50%,6.50%
Heifer Stockers,DE,61.9,65.6,64.5,64.6
,Ym,6.50%,6.50%,6.50%,6.50%
Beef Cows,DE,59.9,63.6,62.5,62.6
,Ym,6.50%,6.50%,6.50%,6.50%
Bulls,DE,59.9,63.6,62.5,62.6
,Ym,6.50%,6.50%,6.50%,6.50%
"a Note that emissions are currently calculated on a state-by-state basis, but diets are applied by the regions shown in the table above. To see the regional designation per state, please see",,,,,
Table A-151.,,,,,
b DE is the digestible energy in units of percent of GE (MJ/Day).,,,,,
"c Ym is the methane conversion rate, the fraction of GE in feed converted to methane.",,,,,
,,,,,
,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,
