Table A-156: Regional DE (% of GE) and Ym Rates for Dairy and Feedlot Cattle by Animal Type for 2017 [1],,,,,,,,
Animal Type,Data,California a,West,Northern Great Plains,Southcentral,Northeast,Midwest,Southeast
Dairy Repl. Heifers,DE b,63.7,63.7,63.7,63.7,63.7,63.7,63.7
,Ym c,6.00%,6.00%,5.70%,6.50%,6.40%,5.70%,7.00%
Dairy Calves (4–6 mo),DE,63.7,63.7,63.7,63.7,63.7,63.7,63.7
,Ym,6.50%,6.50%,6.50%,6.50%,6.50%,6.50%,6.50%
Dairy Cows,DE,66.7,66.7,66.7,66.7,66.7,66.7,66.7
,Ym,5.90%,5.90%,5.60%,6.40%,6.30%,5.60%,6.90%
Steer Feedlot,DE,82.5,82.5,82.5,82.5,82.5,82.5,82.5
,Ym,3.90%,3.90%,3.90%,3.90%,3.90%,3.90%,3.90%
Heifer Feedlot,DE,82.5,82.5,82.5,82.5,82.5,82.5,82.5
,Ym,3.90%,3.90%,3.90%,3.90%,3.90%,3.90%,3.90%
"a Note that emissions are currently calculated on a state-by-state basis, but diets are applied in Table A-150 by the regions shown in the table above. To see the regional designation for foraging cattle per state, please see Table A-150.",,,,,,,,
b DE is the digestible energy in units of percent of GE (MJ/Day).,,,,,,,,
"c Ym is the methane conversion rate, the fraction of GE in feed converted to methane.",,,,,,,,
,,,,,,,,
,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,,,
