"Table A-159: Emission Factors for Cattle by Animal Type and State, for 2017 (kg CH4/head/year) [1] ",,,,,,,,,,,,
State,Dairy Calves,Dairy Cows,Dairy Replacement Heifers 7-11 Months,Dairy Replacement Heifers 12-23 Months,Bulls,Beef Calves,Beef Cows,Beef Replacement Heifers 7-11 Months,Beef Replacement Heifers 12-23 Months,Steer Stockers,Heifer Stockers,Feedlot
Alabama,12,138,53,80,97,10,94,60,69,58,60,35
Alaska,12,95,46,69,104,11,100,65,74,62,65,35
Arizona,12,154,46,69,104,11,100,65,74,62,65,34
Arkansas,12,118,49,74,97,10,94,60,69,58,60,34
California,12,146,46,69,104,11,100,65,74,62,65,34
Colorado,12,151,43,65,104,11,100,65,74,62,65,35
Conn.,12,153,48,73,98,11,94,60,69,58,60,35
Delaware,12,138,48,73,98,11,94,60,69,58,60,35
Florida,12,162,53,80,97,10,94,60,69,58,60,36
Georgia,12,170,53,80,97,10,94,60,69,58,60,37
Hawaii,12,124,46,69,104,11,100,65,74,62,65,35
Idaho,12,153,46,69,104,11,100,65,74,62,65,35
Illinois,12,131,43,65,95,10,92,58,68,56,59,35
Indiana,12,139,43,65,95,10,92,58,68,56,59,34
Iowa,12,142,43,65,95,10,92,58,68,56,59,34
Kansas,12,140,43,65,95,10,92,58,68,56,59,35
Kentucky,12,155,53,80,97,10,94,60,69,58,60,35
Louisiana,12,118,49,74,97,10,94,60,69,58,60,35
Maine,12,148,48,73,98,11,94,60,69,58,60,36
Maryland,12,143,48,73,98,11,94,60,69,58,60,35
Mass.,12,134,48,73,98,11,94,60,69,58,60,35
Michigan,12,152,43,65,95,10,92,58,68,56,59,33
Minn.,12,134,43,65,95,10,92,58,68,56,59,34
Miss.,12,140,53,80,97,10,94,60,69,58,60,35
Missouri,12,109,43,65,95,10,92,58,68,56,59,35
Montana,12,137,43,65,104,11,100,65,74,62,65,34
Nebraska,12,144,43,65,95,10,92,58,68,56,59,34
Nevada,12,144,46,69,104,11,100,65,74,62,65,37
N. Hamp.,12,148,48,73,98,11,94,60,69,58,60,35
N. Jersey,12,143,48,73,98,11,94,60,69,58,60,36
N. Mexico,12,155,46,69,104,11,100,65,74,62,65,36
New York,12,160,48,73,98,11,94,60,69,58,60,36
N. Car.,12,167,53,80,97,10,94,60,69,58,60,36
N. Dakota,12,134,43,65,95,10,92,58,68,56,59,34
Ohio,12,133,43,65,95,10,92,58,68,56,59,34
Oklahoma,12,141,49,74,97,10,94,60,69,58,60,35
Oregon,12,137,46,69,104,11,100,65,74,62,65,35
Penn.,12,147,48,73,98,11,94,60,69,58,60,35
R. Island,12,128,48,73,98,11,94,60,69,58,60,35
S. Car.,12,145,53,80,97,10,94,60,69,58,60,33
S. Dakota,12,137,43,65,95,10,92,58,68,56,59,34
Tenn.,12,149,53,80,97,10,94,60,69,58,60,35
Texas,12,161,49,74,97,10,94,60,69,58,60,35
Utah,12,149,46,69,104,11,100,65,74,62,65,32
Vermont,12,149,48,73,98,11,94,60,69,58,60,36
Virginia,12,161,53,80,97,10,94,60,69,58,60,34
Wash.,12,151,46,69,104,11,100,65,74,62,65,34
W. Virg.,12,127,48,73,98,11,94,60,69,58,60,35
Wisconsin,12,142,43,65,95,10,92,58,68,56,59,34
Wyoming,12,140,43,65,104,11,100,65,74,62,65,35
"Note: To convert to a daily emission factor, the yearly emission factor can be divided by 365 (the number of days in a year).",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,,,,,,,
