"Table A-167:  Livestock Population (1,000 Head) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dairy Cattle,"19,512","19,411","19,077","18,991","18,714","18,681","18,556","18,367","18,137","18,072","17,793","17,927","17,833","17,919","17,642","17,793","18,078","18,190","18,422","18,560","18,297","18,442","18,587","18,505","18,527","18,803","18,853","18,893","19,008","18,909"
  Dairy Cows,"10,015","9,966","9,728","9,658","9,507","9,482","9,420","9,318","9,199","9,128","9,004","9,172","9,106","9,142","8,988","9,004","9,104","9,145","9,257","9,333","9,087","9,156","9,236","9,221","9,208","9,307","9,310","9,346","9,432","9,353"
  Dairy Heifer,"4,129","4,093","4,133","4,150","4,114","4,108","4,073","4,022","3,993","4,034","4,162","4,045","4,060","4,073","4,033","4,162","4,294","4,343","4,401","4,437","4,545","4,577","4,581","4,525","4,579","4,725","4,785","4,762","4,776","4,709"
  Dairy Calves,"5,369","16,949","17,270","17,584","18,065","5,091","5,063","5,027","4,945","4,910","4,628","4,710","4,668","4,704","4,621","4,628","4,680","4,703","4,765","4,791","4,666","4,709","4,770","4,758","4,740","4,771","4,758","4,785","4,800","4,846"
Swine a,"53,941","56,478","58,532","58,016","59,951","58,899","56,220","58,728","61,989","60,238","61,073","58,913","60,028","59,827","60,735","61,073","61,887","65,417","67,183","65,842","64,723","65,572","66,363","65,437","64,195","68,178","70,065","72,125","73,793","76,907"
  Market <50 lb.,"18,359","19,212","19,851","19,434","20,157","19,656","18,851","19,886","20,692","19,928","20,228","19,659","19,863","19,929","20,222","20,228","20,514","21,812","19,933","19,411","19,067","19,285","19,472","19,002","18,939","19,843","20,572","20,973","21,494","22,402"
  Market 50-119 lb.,"11,734","12,374","12,839","12,656","13,017","12,836","12,157","12,754","13,551","13,255","13,519","12,900","13,284","13,138","13,400","13,519","13,727","14,557","17,163","16,942","16,645","16,904","17,140","16,834","16,559","17,577","18,175","18,767","19,133","20,097"
  Market 120-179 lb.,"9,440","9,840","10,253","10,334","10,671","10,545","10,110","10,480","11,234","11,041","11,336","10,708","11,013","11,050","11,227","11,336","11,443","12,185","12,825","12,517","12,377","12,514","12,714","12,674","12,281","13,225","13,575","13,982","14,365","14,843"
  Market >180 lb.,"7,510","7,822","8,333","8,435","8,824","8,937","8,463","8,768","9,671","9,641","9,997","9,465","9,738","9,701","9,922","9,997","10,113","10,673","11,161","11,067","10,856","11,078","11,199","11,116","10,525","11,555","11,714","12,282","12,497","13,151"
  Breeding,"6,899","7,231","7,255","7,157","7,282","6,926","6,639","6,840","6,841","6,373","5,993","6,181","6,129","6,011","5,963","5,993","6,090","6,190","6,102","5,905","5,778","5,791","5,839","5,812","5,892","5,978","6,030","6,122","6,303","6,415"
Beef Cattle b,"81,576","81,733","84,271","85,522","87,830","90,361","89,592","87,343","86,127","86,185","82,193","84,237","84,260","83,361","81,672","82,193","83,263","82,801","81,532","80,993","80,484","78,937","76,858","76,075","75,245","76,080","79,374","81,560","83,061","83,766"
