"Table A-169:  Estimated Volatile Solids (VS) and Total Nitrogen Excreted (Nex) Production Rates by year for Swine, Poultry, Sheep, Goats, Horses, Mules and Asses, and Cattle Calves (kg/day/1000 kg animal mass) [1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
VS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market ",8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
   <50 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market",5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
   50-119 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market  ",5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
   120-179 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market",5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
    >180 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Breeding",2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
NOF Cattle Calves,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.5,6.6,6.7,6.8,6.9,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7
Sheep,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.1,9,8.9,8.8,8.8,8.7,8.6,8.5,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3
Goats,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Hens >1yr.,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Pullets,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2
Chickens,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.9,10.9,10.9,10.9,10.9,10.9,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Broilers,15,15,15,15,15,15,15,15.2,15.3,15.5,15.7,15.8,16,16.2,16.3,16.5,16.7,16.8,17,17,17,17,17,17,17,17,17,17,17
Turkeys,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.6,9.5,9.4,9.3,9.2,9.1,9,8.9,8.8,8.7,8.6,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Horses,10,10,10,10,10,10,10,10,10,9.6,9.2,8.8,8.4,8.1,7.7,7.3,6.9,6.5,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
Mules and Asses,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Nex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market ",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.63,0.65,0.68,0.71,0.73,0.76,0.79,0.81,0.84,0.87,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
   <50 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market",0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
   50-119 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market  ",0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
   120-179 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Market",0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
    >180 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swine, Breeding",0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
