Table A-175:  Methane Conversion Factors by State for Liquid Systems for 2018 (Percent) [1],,,,,,
State,Dairy,,Swine,,Beef,Poultry
,Anaerobic Lagoon,Liquid/Slurry and Deep Pit,Anaerobic Lagoon,Liquid/Slurry and Pit Storage,Liquid/Slurry,Anaerobic Lagoon
Alabama,77,42,77,42,44,77
Alaska,49,15,49,15,15,49
Arizona,78,60,76,48,46,75
Arkansas,75,38,76,40,39,75
California,74,33,74,33,45,74
Colorado,66,22,69,25,25,65
Connecticut,71,27,71,27,27,71
Delaware,75,34,75,34,33,75
Florida,79,58,79,56,53,79
Georgia,78,44,77,42,49,77
Hawaii,77,59,77,59,59,77
Idaho,68,24,64,21,22,64
Illinois,73,31,73,31,30,74
Indiana,72,29,72,29,30,72
Iowa,70,27,71,27,27,71
Kansas,74,34,74,33,33,74
Kentucky,75,34,75,35,34,75
Louisiana,78,50,78,49,52,78
Maine,65,22,65,22,21,65
Maryland,74,32,75,33,32,74
Massachusetts,69,25,70,26,26,70
Michigan,69,25,70,26,26,69
Minnesota,68,25,69,25,25,67
Mississippi,77,45,77,44,46,78
Missouri,74,34,74,34,34,74
Montana,59,19,61,20,20,61
Nebraska,71,28,71,28,27,71
Nevada,71,27,71,27,24,73
New Hampshire,66,23,67,23,22,67
New Jersey,73,30,73,31,29,73
New Mexico,73,33,70,28,31,71
New York,68,24,69,25,25,69
North Carolina,76,36,78,41,36,76
North Dakota,65,23,65,23,23,65
Ohio,72,29,72,29,29,72
Oklahoma,76,40,75,37,37,76
Oregon,65,22,64,21,22,64
Pennsylvania,72,28,72,28,28,73
Rhode Island,71,27,71,27,27,71
South Carolina,77,43,78,44,41,77
South Dakota,69,25,69,26,26,69
Tennessee,75,35,76,38,36,75
Texas,75,42,76,44,41,77
Utah,68,23,67,23,24,68
Vermont,65,22,65,22,22,65
Virginia,73,30,76,35,31,74
Washington,64,21,64,21,23,65
West Virginia,72,29,72,29,29,72
Wisconsin,68,24,69,25,25,69
Wyoming,61,20,62,20,21,62
"Note: MCFs developed using Tier 2 methods described in 2006 IPCC Guidelines, Section 10.4.2.",,,,,,
,,,,,,
,,,,,,
[1] This table has not been updated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.,,,,,,
