Table A-177:  Indirect Nitrous Oxide Loss Factors (Percent),,,,,,,
Animal Type,Waste Management System,Volatilization Nitrogen Loss,Runoff/Leaching Nitrogen Loss a,,,,
,,,Central,Pacific,Mid-Atlantic,Midwest,South
Beef Cattle,Dry Lot,23,1.1,3.9,3.6,1.9,4.3
Beef Cattle,Liquid/Slurry,26,0,0,0,0,0
Beef Cattle,Pasture,0,0,0,0,0,0
Dairy Cattle,Anaerobic Lagoon,43,0.2,0.8,0.7,0.4,0.9
Dairy Cattle,Daily Spread,10,0,0,0,0,0
Dairy Cattle,Deep Pit,24,0,0,0,0,0
Dairy Cattle,Dry Lot,15,0.6,2,1.8,0.9,2.2
Dairy Cattle,Liquid/Slurry,26,0.2,0.8,0.7,0.4,0.9
Dairy Cattle,Pasture,0,0,0,0,0,0
Dairy Cattle,Solid Storage,27,0.2,0,0,0,0
American Bison,Pasture,0,0,0,0,0,0
Goats,Dry Lot,23,1.1,3.9,3.6,1.9,4.3
Goats,Pasture,0,0,0,0,0,0
Horses,Dry Lot,23,0,0,0,0,0
Horses,Pasture,0,0,0,0,0,0
Mules and Asses,Dry Lot,23,0,0,0,0,0
Mules and Asses,Pasture,0,0,0,0,0,0
Poultry,Anaerobic Lagoon,54,0.2,0.8,0.7,0.4,0.9
Poultry,Liquid/Slurry,26,0.2,0.8,0.7,0.4,0.9
Poultry,Pasture,0,0,0,0,0,0
Poultry,Poultry with bedding,26,0,0,0,0,0
Poultry,Poultry without bedding,34,0,0,0,0,0
Poultry,Solid Storage,8,0,0,0,0,0
Sheep,Dry Lot,23,1.1,3.9,3.6,1.9,4.3
Sheep,Pasture,0,0,0,0,0,0
Swine,Anaerobic Lagoon,58,0.2,0.8,0.7,0.4,0.9
Swine,Deep Pit,34,0,0,0,0,0
Swine,Liquid/Slurry,26,0.2,0.8,0.7,0.4,0.9
Swine,Pasture,0,0,0,0,0,0
Swine,Solid Storage,45,0,0,0,0,0
"a Data for nitrogen losses due to leaching were not available, so the values represent only nitrogen losses due to runoff. Source: EPA (2002b, 2005).",,,,,,,
