"Table A-178:  Total Methane Emissions from Livestock Manure Management (kt) a,b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dairy Cattle,589,607,591,614,655,684,695,725,761,819,853,903,923,963,912,970,990,"1,105","1,106","1,112","1,124","1,144","1,188","1,167","1,190","1,233","1,259","1,270","1,292","1,281"
Dairy Cows,581,598,582,606,647,676,686,717,753,811,844,894,915,954,903,962,981,"1,095","1,096","1,102","1,115","1,134","1,177","1,157","1,180","1,222","1,248","1,259","1,281","1,270"
Dairy Heifer,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,7,8,8,8,8,8,9,8,8,9,9,9,9,9
Dairy Calves,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Swine,622,674,637,678,740,763,722,767,865,813,790,797,810,781,770,812,789,851,786,740,797,791,821,756,719,808,846,840,888,924
Market Swine,483,522,499,532,584,607,575,612,698,662,642,648,662,638,630,665,643,698,645,608,657,653,678,623,585,665,699,697,736,770
Market <50 lbs.,102,110,103,108,119,121,115,123,137,128,125,126,128,124,123,128,125,136,94,88,95,94,98,88,86,95,101,100,106,110
Market 50-119 lbs.,101,110,104,110,119,123,116,124,140,132,128,128,131,126,125,131,127,138,143,134,144,142,149,136,130,145,155,153,161,170
Market 120-179 lbs.,136,147,139,150,164,170,162,171,195,184,178,178,182,177,174,184,177,193,185,173,188,185,193,179,169,192,203,200,213,220
Market >180 lbs.,144,156,152,164,182,193,183,194,227,218,212,216,220,211,209,222,214,232,223,214,229,231,238,220,201,232,241,244,256,270
Breeding Swine,139,151,138,146,156,155,147,154,167,151,148,149,148,143,139,147,146,152,140,132,140,138,143,133,133,143,146,143,152,155
Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,122,120,126,132,136,135,136
Feedlot Steers,14,14,14,13,14,14,14,13,13,14,15,15,15,16,15,15,16,16,16,16,16,17,16,16,16,16,17,18,20,20
Feedlot Heifers,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10
NOF Bulls,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Beef Calves,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7
NOF Heifers,12,12,13,14,14,15,15,14,15,14,13,13,13,13,12,13,13,13,13,13,13,12,12,12,12,13,14,14,13,13
NOF Steers,12,12,13,14,13,14,14,13,13,12,11,11,11,10,10,10,11,10,10,11,10,10,9,9,9,9,10,10,10,10
NOF Cows,69,69,70,71,74,76,75,74,76,76,71,73,71,71,71,73,75,73,70,70,71,71,69,65,63,67,69,71,70,70
Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,129,132,136,136,137,141,142
Hens >1 yr.,73,72,70,73,72,69,68,67,70,66,66,70,67,68,66,66,66,67,64,64,64,64,63,65,67,69,69,70,71,b
Total Pullets,25,26,23,23,23,22,21,23,23,21,22,22,22,22,23,22,23,25,23,23,24,23,23,24,24,27,26,26,28,b
Chickens,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,b
Broilers,19,20,20,21,22,23,24,25,26,27,28,28,29,29,30,31,32,32,33,31,31,31,32,31,31,32,32,32,33,b
Turkeys,10,10,10,10,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,b
Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,8,8,8,7,7,7
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Disaggregated poultry values (e.g., Broilers, Turkeys, etc.) have not been estimated for the current (1990 through 2019) Inventory. It will be updated for the next (1990 through 2020) Inventory submission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
