Table A-181:  Total (Direct and Indirect) Nitrous Oxide Emissions by State from Livestock Manure Management for 2019 (kt) a,,,,,,,,,,,
State,Beef Cattle a,Dairy Cow,Dairy Heifer,Swine a,Poultry a,Sheep,Goats,Horses,Mules and Asses,American Bison,Total
Alabama,0.0131,0.0042,0.0036,0.005,0.439,0.0049,0.0015,0.005,0.0004,NA,0.4767
Alaska,0.0002,0.0002,0.0002,0.0001,0.0088,0.0016,+,0.0002,+,NA,0.0112
Arizona,0.6041,0.3673,0.2451,0.015,0.0092,0.0137,0.0017,0.008,0.0001,NA,1.2642
Arkansas,0.027,0.0034,0.002,0.0125,0.5371,0.0042,0.0011,0.0045,0.0003,NA,0.5921
California,1.0464,2.4317,1.5716,0.0098,0.1223,0.0705,0.0039,0.0097,0.0002,NA,5.2661
Colorado,2.2211,0.2955,0.2273,0.0803,0.0289,0.0487,0.0015,0.0101,0.0002,NA,2.9136
Connecticut,0.0005,0.0201,0.0118,0.0001,0.0085,0.0031,0.0002,0.0011,+,NA,0.0453
Delaware,0.0004,0.0051,0.0027,0.0004,0.0941,0.0049,+,0.0004,+,NA,0.108
Florida,0.0088,0.0738,0.0507,0.0007,0.0599,0.0049,0.0019,0.009,0.0004,NA,0.2101
Georgia,0.0125,0.0537,0.03,0.0065,0.5695,0.0049,0.0021,0.0051,0.0004,NA,0.6847
Hawaii,0.0021,0.003,0.0023,0.0006,0.0088,0.0016,0.0005,0.0005,+,NA,0.0194
Idaho,0.6321,0.8598,0.7097,0.0025,0.0092,0.0257,0.0009,0.0049,0.0001,NA,2.2449
Illinois,0.6103,0.0919,0.1053,0.502,0.0464,0.0179,0.0011,0.0042,0.0002,NA,1.3793
Indiana,0.2652,0.1924,0.1469,0.3908,0.2384,0.0186,0.0012,0.0079,0.0002,NA,1.2617
Iowa,2.806,0.2304,0.2621,2.1552,0.3172,0.0538,0.0025,0.0052,0.0001,NA,5.8325
Kansas,5.4547,0.1609,0.2134,0.2194,0.0084,0.0218,0.0015,0.0052,0.0002,NA,6.0856
Kentucky,0.0428,0.0355,0.0233,0.0277,0.133,0.022,0.0017,0.0122,0.0005,NA,0.2988
Louisiana,0.0068,0.0067,0.0025,0.0003,0.0332,0.0042,0.0006,0.0043,0.0003,NA,0.0587
Maine,0.001,0.0297,0.0175,0.0001,0.0085,0.0031,0.0002,0.0008,+,NA,0.061
Maryland,0.0216,0.0445,0.0344,0.0013,0.1118,0.0049,0.0004,0.0029,0.0001,NA,0.222
Massachusetts,0.0005,0.0098,0.0081,0.0003,0.0033,0.0031,0.0002,0.0014,+,NA,0.0267
Michigan,0.3592,0.5314,0.3579,0.1164,0.1058,0.0261,0.0009,0.0063,0.0002,NA,1.5041
Minnesota,0.911,0.493,0.5771,0.738,0.1938,0.0424,0.0011,0.0046,0.0001,NA,2.9611
Mississippi,0.0112,0.0052,0.004,0.0566,0.2868,0.0049,0.0009,0.0039,0.0003,NA,0.3741
Missouri,0.2574,0.0697,0.0811,0.3173,0.2178,0.0326,0.0021,0.0084,0.0004,NA,0.9868
Montana,0.1097,0.0148,0.0194,0.018,0.0078,0.0246,0.0004,0.008,0.0001,NA,0.2029
Nebraska,5.9232,0.0659,0.0524,0.3281,0.0585,0.0261,0.0009,0.0048,0.0001,NA,6.4601
Nevada,0.0066,0.032,0.0253,0.0007,0.0084,0.0067,0.0003,0.0013,+,NA,0.0814
New Hampshire,0.0004,0.0131,0.0071,0.0001,0.0085,0.0031,0.0001,0.0007,+,NA,0.0332
New Jersey,0.0005,0.0056,0.0042,0.0004,0.0085,0.0049,0.0003,0.0024,0.0001,NA,0.0269
New Mexico,0.0309,0.6138,0.2303,0.0001,0.0092,0.0105,0.0011,0.0045,0.0001,NA,0.9004
New York,0.046,0.6766,0.4145,0.003,0.0457,0.0322,0.0009,0.0068,0.0001,NA,1.2258
North Carolina,0.01,0.0296,0.016,0.912,0.4671,0.0102,0.0017,0.0051,0.0004,NA,1.4521
North Dakota,0.122,0.0166,0.0173,0.0134,0.0084,0.0228,0.0002,0.0028,+,NA,0.2036
Ohio,0.3633,0.2603,0.2196,0.2584,0.213,0.0448,0.0018,0.01,0.0003,NA,1.3715
Oklahoma,0.722,0.0539,0.0434,0.2135,0.0854,0.0176,0.0029,0.0126,0.0007,NA,1.152
Oregon,0.1995,0.1547,0.1209,0.0005,0.0329,0.0204,0.0014,0.0067,0.0002,NA,0.5371
Pennsylvania,0.2231,0.461,0.3403,0.1241,0.2096,0.0363,0.0016,0.0087,0.0004,NA,1.4052
Rhode Island,0.0001,0.0006,0.0005,0.0001,0.0085,0.0031,+,0.0002,+,NA,0.0131
South Carolina,0.003,0.0092,0.0051,0.0232,0.1039,0.0049,0.0012,0.0043,0.0002,NA,0.1551
South Dakota,0.936,0.1236,0.0914,0.1651,0.025,0.0815,0.0005,0.0053,0.0001,NA,1.4284
Tennessee,0.0344,0.0254,0.022,0.0224,0.0709,0.0174,0.0029,0.009,0.0007,NA,0.2051
Texas,5.7874,0.8862,0.5554,0.1188,0.3261,0.0821,0.0244,0.0338,0.0035,NA,7.8178
Utah,0.0512,0.158,0.1244,0.058,0.0269,0.0301,0.0006,0.0055,0.0001,NA,0.4548
Vermont,0.0015,0.1335,0.0664,0.0001,0.0034,0.0031,0.0003,0.0008,+,NA,0.2092
Virginia,0.0491,0.0567,0.0252,0.0338,0.1555,0.0284,0.0014,0.0065,0.0003,NA,0.3569
Washington,0.4604,0.3785,0.2331,0.0011,0.0516,0.0056,0.0009,0.0054,0.0001,NA,1.1366
