Table A-183: Total Land Areas by Land-Use and Management System for the Tier 2 Mineral Soil Organic C Approach (Million Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
,Land Areas (million hectares),,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use/Management System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cropland Systems ,33.47,33.18,32.87,32.36,31.86,31.39,30.96,30.49,29.69,29.17,28.78,28.44,28.13,27.88,27.55,27.39,27.16,26.99,26.83,26.62,26.51,26.33,26.29,26.24,26.16,25.96
Conservation Reserve Program,2.74,3.15,3.08,2.91,2.67,2.59,2.46,2.45,1.96,2.12,1.86,1.99,1.73,1.6,1.5,1.52,1.42,1.38,1.3,1.35,1.26,1.89,0.92,1.43,0.9,0.73
"High Input Cropping Systems, Full Tillage",2.41,2.21,2.2,2.11,2.28,2.26,2.1,1.99,1.94,1.93,1.97,1.78,1.58,1.59,1.59,1.6,1.37,1.34,1.37,1.42,1.44,1.3,1.24,1.18,1.14,1.06
"High Input Cropping Systems, Reduced Tillage",0.57,0.5,0.5,0.5,0.54,0.52,0.5,0.48,0.49,0.49,0.5,0.49,0.45,0.47,0.47,0.47,0.49,0.49,0.52,0.53,0.53,0.57,0.55,0.52,0.52,0.5
"High Input Cropping Systems, No Tillage",0.41,0.37,0.37,0.37,0.38,0.36,0.45,0.43,0.44,0.45,0.45,0.52,0.51,0.48,0.5,0.5,0.59,0.61,0.63,0.65,0.63,0.72,0.73,0.71,0.71,0.67
"High Input Cropping Systems with Manure, Full Tillage",0.67,0.64,0.61,0.59,0.55,0.52,0.51,0.49,0.47,0.43,0.4,0.34,0.32,0.3,0.29,0.29,0.24,0.26,0.27,0.26,0.27,0.25,0.26,0.28,0.27,0.26
"High Input Cropping Systems with Manure, Reduced Tillage",0.18,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.13,0.14,0.13,0.14,0.14,0.17,0.18,0.19,0.18,0.18
"High Input Cropping Systems with Manure, No Tillage",0.22,0.2,0.19,0.19,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.17,0.17,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.2
"Medium Input Cropping Systems, Full Tillage",7.03,7.02,6.78,6.57,6.49,6.26,6.32,5.97,5.65,5.47,5.54,4.29,4.03,3.98,3.99,3.82,3.5,3.58,3.55,3.49,3.49,3.16,3.39,3.19,3.41,3.26
"Medium Input Cropping Systems, Reduced Tillage",1.71,1.66,1.62,1.58,1.58,1.53,1.53,1.49,1.4,1.37,1.42,1.68,1.69,1.72,1.75,1.71,1.83,1.85,1.85,1.78,1.78,1.87,2.04,1.93,2.1,2.07
