Table A-184: Total Land Areas for Drained Organic Soils by Land Management Category and Climate Region (Million Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,
IPCC Land-Use Category for Organic Soils ,Land Areas (million ha),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,Cold Temperate,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.59,0.58,0.59,0.59,0.59,0.59,0.59,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.59,0.6,0.6,0.6
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.34,0.34,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.35,0.35,0.35,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.38
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0.04,0.05,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01
Total,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1
,Warm Temperate,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0
Total,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28
,Sub-Tropical,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivated Cropland,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.17,0.17,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.25
(high drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Managed Pasture,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
(low drainage),,,,,,,,,,,,,,,,,,,,,,,,,,
Undrained,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.03,0.01,0.01
Total,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.36,0.35
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In the current Inventory, NRI data only provide land use and management statistics through 2012. Additional data will be incorporated in the future to extend the time series for the land use and management data.",,,,,,,,,,,,,,,,,,,,,,,,,,
