Table A-185:  Total Rice Harvested Area Estimated with Tier 1 and 3 Inventory Approaches (Million Hectares),,,
,Land Areas (Million Hectares),,
Year,Tier 1,Tier 3,Total
1990,0.21,1.5,1.71
1991,0.21,1.54,1.74
1992,0.22,1.65,1.87
1993,0.22,1.58,1.8
1994,0.23,1.51,1.74
1995,0.21,1.53,1.74
1996,0.22,1.52,1.74
1997,0.2,1.47,1.67
1998,0.25,1.46,1.7
1999,0.38,1.43,1.81
2000,0.42,1.48,1.9
2001,0.24,1.39,1.63
2002,0.23,1.57,1.8
2003,0.21,1.42,1.63
2004,0.21,1.5,1.71
2005,0.21,1.58,1.79
2006,0.17,1.27,1.44
2007,0.18,1.38,1.56
2008,0.15,1.28,1.44
2009,0.21,1.52,1.73
2010,0.2,1.57,1.77
2011,0.17,1.24,1.41
2012,0.22,1.18,1.4
2013,0.16,1.26,1.42
2014,0.24,1.39,1.63
2015,0.17,1.45,1.62
"Note: In the current Inventory, NRI data only provide land use and management statistics through 2015. ",,,
Additional data will be incorporated in the future to extend the time series of the land use and management data.,,,
