Table A-192: Annual Change in Soil Organic Carbon Stocks in Croplands (MMT CO2 Eq./yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use Change Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total Cropland Soil Organic C Stock Change,-55.8,-60.3,-56.4,-43.4,-51,-39.6,-55.9,-44.5,-38.6,-40.9,-47,-56.6,-63.6,-55.8,-58.6,-61.1,-58.3,-61.3,-52.7,-43,-46.5,-62.7,-56.2,-43.5,-40.3,-39.9,-51,-51.7,-46.3,-44.4
Cropland Remaining Cropland (CRC),-58.2,-63.3,-60,-45.8,-53.5,-46.1,-61.4,-53.1,-43.5,-46,-51.6,-60.7,-65.4,-57.8,-59.9,-62.4,-58.5,-61.8,-55.4,-46.2,-51,-64.1,-58.7,-46.6,-44.7,-44.9,-54.3,-55.1,-49.4,-47.4
Tier 2,-0.6,-1.5,-1.6,-1.4,-0.4,-0.6,-0.5,-1.8,-0.7,-1.9,-0.9,-3.9,-5.6,-5.1,-4.9,-5,-4.5,-4.9,-4.7,-5.1,-4.6,-5.2,-3.6,-5.6,-5.5,-6.2,-5.7,-5.4,-5.9,-5.9
Tier 3,-57.6,-61.7,-58.4,-44.4,-53.1,-45.5,-60.8,-51.3,-42.9,-44.1,-50.7,-56.8,-59.8,-52.7,-55,-57.4,-53.9,-56.9,-50.7,-41.1,-46.4,-58.9,-55.1,-41,-39.2,-38.8,-48.6,-49.6,-43.5,-41.5
Grassland Converted to Cropland (GCC),4.1,4.9,5.8,4.7,4.8,8.9,8,11.3,7.6,7.9,7.8,7.4,4.9,4.8,4,4,2.8,2.9,5,5.3,6.7,3.7,4.5,5.2,6.2,6.9,5.2,5.4,5.1,5.1
Tier 2,3.9,4.2,4,4,4.3,4.7,5,5,5.1,5,5.2,5.2,5,4.6,4.8,4.8,4.7,4.7,4.5,4.5,4.5,4.6,4.7,4.4,4.3,4.2,4.2,4.3,4.3,4.3
Tier 3,0.2,0.7,1.8,0.7,0.6,4.2,2.9,6.3,2.5,2.9,2.6,2.2,-0.1,0.2,-0.7,-0.8,-1.9,-1.8,0.4,0.8,2.2,-0.9,-0.1,0.8,1.9,2.7,1,1.1,0.9,0.8
Forest Converted to Cropland (FCC) (Tier 2 Only),0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other Lands Converted to Cropland (OCC) (Tier 2 Only),-2.3,-2.4,-2.5,-2.7,-2.9,-2.9,-3,-3.1,-3.1,-3.2,-3.6,-3.6,-3.4,-3.2,-3.1,-2.9,-2.9,-2.7,-2.5,-2.4,-2.4,-2.4,-2.3,-2.3,-2,-2,-2.1,-2.2,-2.2,-2.3
Settlements Converted to Cropland (SCC) (Tier 2 Only),-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Wetlands Converted to Cropland (WCC) (Tier 2 Only),0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
