Table A-193: Annual Change in Soil Organic Carbon Stocks in Grasslands (MMT CO2 Eq./yr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use Change Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Total Grassland Soil Organic C Stock Change,-25.6,-25.4,-23.5,-23.9,-42.7,-37,-41.7,-39.4,-52,-52,-69.9,-61.9,-63.7,-64.8,-58.7,-57.4,-71.2,-55.9,-59.9,-58.6,-43,-45,-58.1,-41.8,-32.5,-36.8,-40,-38.9,-38.2,-34.3
Grassland Remaining Grassland (GRG),-2.2,-2.1,-0.5,2.3,-10.7,-2.5,-3.5,0.5,-5.5,-1.3,-13.9,-2.5,-4,-5.7,0,0.8,-12,2.2,-5,-3.9,10.6,7.9,-6.3,6.4,10,4,0.7,2.2,2.7,5.5
Tier 2,-0.2,-0.5,-1.1,-1.4,-1.5,-1.4,-0.7,-0.7,-1.5,-1.3,-1.4,-1.5,-2.6,-2.6,-0.9,-1.1,-1.3,-1.4,-1.4,-1.6,-1.6,-1.5,-0.6,-0.2,1.1,0.1,-0.2,-0.1,0,0
Tier 3,-1.4,-0.9,1.3,4.4,-8.5,-0.4,-2,2.1,-3.1,0.9,-11.5,0,-0.4,-2,1.9,3,-9.6,4.8,-2.3,-1,13.5,10.8,-4.3,8,10.3,5.4,2.3,2.5,2.9,5.7
Treated Sewage Sludge Additions,-0.6,-0.6,-0.7,-0.7,-0.7,-0.8,-0.8,-0.9,-0.9,-0.9,-1,-1,-1,-1,-1.1,-1.1,-1.2,-1.2,-1.2,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.5,-1.5,-0.2,-0.2,-0.2
Cropland Converted to Grassland (CCG),-18.9,-18.7,-18.3,-18.5,-19.8,-19.8,-20.5,-20.1,-24,-24.7,-26.4,-26.4,-26.8,-26.1,-25.7,-25,-26,-24.9,-21.7,-21.5,-20.3,-19.4,-18.3,-17.5,-15.9,-16.9,-21.3,-21.6,-21.6,-21.1
Tier 2,-4,-3.9,-3.9,-4.3,-4.9,-4.8,-4.8,-4.8,-5.6,-5.9,-6.1,-6.3,-6.2,-5.9,-5.8,-5.6,-5.4,-5.2,-5,-4.7,-4.6,-4.6,-4.5,-4.1,-3.5,-3.4,-5.7,-5.8,-6,-6.1
Tier 3,-15,-14.8,-14.4,-14.2,-15,-14.9,-15.7,-15.3,-18.3,-18.8,-20.3,-20.2,-20.6,-20.1,-19.9,-19.4,-20.6,-19.8,-16.7,-16.8,-15.7,-14.8,-13.8,-13.3,-12.4,-13.4,-15.6,-15.8,-15.6,-15
Forest Converted to Grassland (FCG) (Tier 2 Only),-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.2,-0.2,-0.2
Other Lands Converted to Grassland (OCG) (Tier 2 Only),-4.2,-4.3,-4.5,-7.2,-11.4,-14,-16.7,-18.8,-21.4,-24.7,-28.3,-31.4,-31.4,-31.6,-31.5,-31.7,-31.6,-31.7,-31.7,-31.8,-31.8,-32.1,-32,-29.5,-25.6,-22.9,-18.4,-18.4,-18.2,-17.7
Settlements Converted to Grassland (SCG) (Tier 2 Only),-0.2,-0.2,-0.2,-0.3,-0.5,-0.7,-0.8,-0.9,-1,-1.2,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.3,-1.1,-1,-0.9,-0.9,-0.9,-0.8
Wetlands Converted to Grassland (WCG) (Tier 2 Only),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
