Table A-20:  2010 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Adjusted Consumption (TBtu) a,,,,,,,Emissions b (MMT CO2 Eq.) from Energy Use,,,,,,
Fuel Type,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total,Res.,Comm.,Ind.,Trans.,Elec. ,Terr.,Total
Total Coal,NO,69.7,993.0,NO,"19,133.5",36.9,"20,233.0",NO,6.6,94.2,NO,"1,827.2",3.4,"1,931.4"
Residential Coal,NO,,,,,,NO,NO,,,,,,NO
Commercial Coal,,69.7,,,,,69.7,,6.6,,,,,6.6
Industrial Other Coal,,,993.0,,,,993.0,,,94.2,,,,94.2
Transportation Coal,,,,NO,,,NO,,,,NO,,,NO
Electric Power Coal,,,,,"19,133.5",,"19,133.5",,,,,"1,827.2",,"1,827.2"
U.S. Territory Coal (bit),,,,,,36.9,36.9,,,,,,3.4,3.4
Natural Gas ,"4,878.1","3,164.7","7,685.4",719.0,"7,527.6",27.8,"24,002.6",258.9,168.0,407.9,38.2,399.5,1.5,"1,274.0"
Total Petroleum,"1,103.3",697.9,"3,918.8","23,032.1",370.3,409.6,"29,532.0",75.8,49.9,294.7,"1,658.7",31.4,29.9,"2,140.6"
Asphalt & Road Oil,,,,,,,,,,,,,,
Aviation Gasoline,,,,27.0,,,27.0,,,,1.9,,,1.9
Distillate Fuel Oil,544.4,379.2,"1,108.5","5,729.1",79.7,66.4,"7,907.3",40.4,28.1,82.3,425.2,5.9,4.9,586.8
Jet Fuel,,,,"2,097.5",NA,36.6,"2,134.0",,,,151.5,NA,2.6,154.1
Kerosene,29.1,4.8,7.3,,,7.5,48.7,2.1,0.4,0.5,,,0.5,3.6
LPG (Propane),529.8,140.0,,7.5,,,677.3,33.3,8.8,,0.5,,,42.6
HGL,,,148.0,,,17.6,165.5,,,9.5,,,1.1,10.6
Lubricants,,,,,,,,,,,,,,
Motor Gasoline,,111.8,559.7,"14,898.8",,112.9,"15,683.2",,7.9,39.8,"1,059.3",,8.0,"1,115.0"
Residual Fuel,,61.7,32.2,272.2,154.1,168.7,688.8,,4.6,2.4,20.4,11.6,12.7,51.7
Other Petroleum,,,,,,,,,,,,,,
AvGas Blend Components,,,-0.2,,,,-0.2,,,(+),,,,(+)
Crude Oil,,,,,,,,,,,,,,
MoGas Blend Components,,,,,,,,,,,,,,
Misc. Products,,,,,,,,,,,,,,
Naphtha (<401 deg. F),,,,,,,,,,,,,,
Other Oil (>401 deg. F),,,,,,,,,,,,,,
Pentanes Plus,,,78.4,,,,78.4,,,5.2,,,,5.2
Petroleum Coke,,0.3,633.0,,136.6,,770.0,,+ ,64.6,,13.9,,78.6
Still Gas,,,"1,324.0",,,,"1,324.0",,,88.3,,,,88.3
Special Naphtha,,,,,,,,,,,,,,
Unfinished Oils,,,28.0,,,,28.0,,,2.1,,,,2.1
Waxes,,,,,,,,,,,,,,
Geothermal,,,,,51.9,,51.9,,,,,0.4,,0.4
Total (All Fuels),"5,981.4","3,932.2","12,597.2","23,751.0","27,083.3",474.3,"73,819.5",334.8,224.5,796.8,"1,696.9","2,258.6",34.8,"5,346.3"
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,
+ Does not exceed 0.05 TBtu or 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,
"a Expressed as gross calorific values (i.e., higher heating values). Adjustments include biofuels, conversion of fossil fuels, non-energy use (see Table A-25), and international bunker fuel consumption (see Table A-26).",,,,,,,,,,,,,,
b Consumption and/or emissions of select fuels are shown as negative due to differences in EIA energy balancing accounting. These are designated with parentheses. ,,,,,,,,,,,,,,
