Table A-202:  Specific annual forest inventories by state used in development of forest C stock and stock change estimate,,,,,
Remeasured Annual Plots,,,Split Annual Cycle Plots,,
State,Time 1 Year Range,Time 2 Year Range,State,Time 1 Year Range,Time 2 Year Range
Alabama,2006 - 2012,2013 - 2019,Oklahoma (West),2010 - 2012,2013 - 2018
Arizona,2001 - 2008,2009 - 2018,Wyoming,2000,2011 - 2019
Arkansas,2007 - 2014,2014 - 2019,,,
California,2001 - 2009,2011 - 2019,Alaska (Coastal)1,2004 - 2017,
Colorado,2002 - 2008,2009 - 2018,Alaska (Interior)1,"2014, 2016 - 2017",
Connecticut,2008 - 2013,2013 - 2019,,,
Delaware,2008 - 2013,2013 - 2019,,,
Florida,2002 - 2012,2012 - 2017,,,
Georgia,2005 - 2013,2014 - 2018,,,
Idaho,2004 - 2008,2009 - 2018,,,
Indiana,2007 - 2013,2012 - 2019,,,
Iowa,2008 - 2013,2013 - 2019,,,
Kansas,2008 - 2013,2013 - 2019,,,
Kentucky,2008 - 2013,2013 - 2019,,,
Louisiana,2005 - 2012,2012 - 2017,,,
Maine,2001 - 2011,2009 - 2017,,,
Maryland,2010 - 2014,2015 - 2019,,,
Massachusetts,2008 - 2013,2013 - 2019,,,
Michigan,2008 - 2013,2013 - 2019,,,
Minnesota,2008 - 2013,2013 - 2019,,,
Mississippi,2010 - 2014,2015 - 2019,,,
Missouri,2006 - 2015,2014 - 2019,,,
Montana,2008 - 2013,2013 - 2019,,,
Nebraska,2003 - 2008,2009 - 2018,,,
Nevada,2008 - 2013,2013 - 2019,,,
New Hampshire,2004 - 2008,2009 - 2018,,,
New Jersey,2008 - 2013,2013 - 2019,,,
New Mexico,2009 - 2014,2015 - 2019,,,
New York,2005 - 2008,2009 - 2018,,,
North Carolina,2008 - 2013,2013 - 2019,,,
North Dakota,2003 - 2013,2011 - 2019,,,
Ohio,2008 - 2013,2013 - 2019,,,
Oklahoma (East),2008 - 2013,2013 - 2019,,,
Oregon,2008 - 2013,2014 - 2018,,,
Pennsylvania,2001 - 2009,2011 - 2019,,,
Rhode Island,2008 - 2013,2013 - 2019,,,
South Carolina,2008 - 2013,2013 - 2019,,,
South Dakota,2007 - 2014,2014 - 2018,,,
Tennessee,2008 - 2013,2013 - 2019,,,
Texas (East),2005 - 2012,2012 - 2017,,,
Texas (West),2009 - 2014,2015 - 2019,,,
Utah,2004 - 2012,2014 - 2017,,,
Vermont,2000 - 2008,2009 - 2018,,,
Virginia,2008 - 2013,2013 - 2019,,,
Washington,2008 - 2014,2014 - 2018,,,
West Virginia,2002 - 2009,2012 - 2019,,,
Wisconsin,2008 - 2013,2013 - 2019,,,
1 Plots in Alaska have not been split but are included in this column to conserve space in the Table.,,,,,
Note: Remeasured annual plots represent a complete inventory cycle between measurements of the same plots while spilt annual cycle plots represent a single inventory cycle of plots that are split where remeasurements have yet to occur. ,,,,,
