Table A-206:  Harvested Wood Products from Wood Harvested in the United States—Annual Additions of C to Stocks and Total Stocks under the Production Approach,,,,,,
Year,Net C additions per year (MMT C per year),,,Total C stocks (MMT C),,
,Total,Products in use,Products in SWDS,Total,,
,,Total,Total,,Products in use,Products in SWDS
1990.00 ,(33.80),(14.90),(18.80),1895,1249,646
1991.00 ,(33.80),(16.30),(17.40),1929,1264,665
1992.00 ,(32.90),(15.00),(17.90),1963,1280,683
1993.00 ,(33.40),(15.90),(17.50),1996,1295,701
1994.00 ,(32.30),(15.10),(17.20),2029,1311,718
1995.00 ,(30.60),(14.10),(16.50),2061,1326,735
1996.00 ,(32.00),(14.70),(17.30),2092,1340,752
1997.00 ,(31.10),(13.40),(17.70),2124,1355,769
1998.00 ,(32.50),(14.10),(18.40),2155,1368,787
1999.00 ,(30.80),(12.80),(18.00),2188,1382,805
2000.00 ,(25.50),(8.70),(16.80),2218,1395,823
2001.00 ,(26.80),(9.60),(17.20),2244,1404,840
2002.00 ,(25.60),(9.40),(16.20),2271,1413,857
2003.00 ,(28.40),(12.10),(16.30),2296,1423,873
2004.00 ,(28.70),(12.40),(16.40),2325,1435,890
2005.00 ,(28.90),(11.60),(17.30),2353,1447,906
2006.00 ,(27.30),(10.00),(17.40),2382,1459,923
2007.00 ,(20.80),(3.70),(17.10),2410,1469,941
2008.00 ,(14.90),1.80 ,(16.70),2430,1473,958
2009.00 ,(16.60),0.00 ,(16.60),2445,1471,974
2010.00 ,(18.80),(2.00),(16.80),2462,1471,991
2011.00 ,(19.40),(2.40),(17.00),2481,1473,1008
2012.00 ,(20.90),(3.70),(17.10),2500,1475,1025
2013.00 ,(22.50),(5.30),(17.30),2521,1479,1042
2014.00 ,(23.40),(6.10),(17.40),2543,1484,1059
2015.00 ,(24.20),(6.70),(17.50),2567,1490,1076
2016.00 ,(25.20),(7.60),(17.60),2591,1497,1094
2017.00 ,(26.10),(8.30),(17.90),2616,1505,1112
2018.00 ,(26.90),(8.60),(18.30),2642,1513,1129
2019.00 ,(29.60),(10.70),(18.90),2669,1521,1148
"Note: Parentheses indicate net C sequestration (i.e., a net removal of C from the atmosphere).",,,,,,
