Table A-207:  Comparison of Net Annual Change in Harvested Wood Products C Stocks Using Alternative Accounting Approaches (kt CO2 Eq./year),,,
HWP Contribution to LULUCF Emissions/ Removals (MMT CO2 Eq.),,,
Inventory Year,Stock-Change Approach,Atmospheric Flow Approach,Production Approach
1990,-116.6,-131.4,-123.8
1991,-120.2,-131.6,-123.8
1992,-127.1,-127.8,-120.7
1993,-130.3,-129.9,-122.5
1994,-126,-128,-118.4
1995,-122.3,-122.5,-112.2
1996,-131.3,-127.4,-117.3
1997,-137.2,-122.8,-114.2
1998,-147.1,-127.2,-119
1999,-141.2,-120.2,-112.9
2000,-125,-100.3,-93.4
2001,-130.7,-103.3,-98.2
2002,-125.8,-98.5,-93.7
2003,-143.2,-107.9,-104.1
2004,-142.1,-109.7,-105.4
2005,-136.6,-112,-106
2006,-113.6,-109.8,-100.3
2007,-72.6,-88.1,-76.1
2008,-41.8,-70,-54.5
2009,-48.2,-79.8,-60.8
2010,-51.4,-92.2,-69.1
2011,-59,-95.2,-71
2012,-72.4,-102.9,-76.5
2013,-85.7,-109.4,-82.6
2014,-92.8,-113.2,-86
2015,-99.4,-116.2,-88.7
2016,-103.2,-120.1,-92.4
2017,-132.1,-119.9,-95.7
2018,-135,-125.5,-98.8
2019,-152.7,-129.8,-108.5
" Note: Parentheses indicate net C sequestration (i.e., a net removal of C from the atmosphere).",,,
