Table A-212:  Net C Flux from Forest Pools in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Forest,-181.04,-179.38,-179.20,-177.83,-177.43,-176.49,-174.26,-174.75,-173.69,-171.87,-170.31,-169.67,-162.47,-165.88,-138.85,-151.50,-167.27,-166.25,-167.61,-159.50,-166.86,-162.89,-163.68,-161.17,-167.55,-158.92,-171.67,-153.82,-163.59,-159.09
Aboveground Biomass,-124.46,-123.53,-122.90,-122.01,-121.41,-120.63,-119.46,-119.04,-118.28,-117.17,-116.18,-115.12,-113.03,-113.18,-107.66,-109.45,-112.70,-112.65,-112.98,-111.93,-113.28,-112.59,-111.46,-112.84,-113.31,-112.97,-114.89,-107.74,-109.74,-107.44
Belowground Biomass,-28.28,-28.11,-27.94,-27.77,-27.61,-27.45,-27.25,-27.14,-26.99,-26.76,-26.53,-26.29,-25.88,-25.84,-24.69,-25.09,-25.68,-25.65,-25.70,-25.29,-25.68,-25.20,-25.81,-25.45,-25.55,-25.26,-25.91,-24.33,-24.80,-24.32
Dead Wood,-26.53,-26.49,-26.61,-26.60,-26.68,-26.70,-26.63,-26.81,-26.84,-26.78,-26.75,-26.82,-26.22,-26.69,-24.20,-25.49,-27.09,-27.04,-27.24,-26.36,-27.24,-27.35,-27.07,-26.83,-27.46,-26.92,-28.67,-26.48,-27.74,-27.08
Litter,-2.20,-1.61,-2.09,-1.78,-2.03,-1.96,-1.10,-1.89,-1.68,-1.19,-0.84,-1.38,2.76,-0.02,17.90,8.79,-1.45,-0.80,-1.35,4.56,0.20,-0.54,-0.57,2.40,-0.80,8.32,-0.88,0.06,-0.63,-0.13
Soil (Mineral),0.40,0.32,0.31,0.29,0.24,0.20,0.10,0.05,0.00,-0.06,-0.12,-0.17,-0.23,-0.29,-0.35,-0.40,-0.51,-0.28,-0.51,-0.66,-0.81,1.28,0.89,1.22,-0.67,-1.99,-1.86,3.90,-1.21,-0.65
Soil (Organic),-0.18,-0.17,-0.17,-0.16,-0.15,-0.14,-0.14,-0.13,-0.12,-0.11,-0.10,-0.09,-0.08,-0.07,-0.06,-0.06,-0.05,-0.04,-0.03,-0.02,-0.25,1.30,0.13,0.14,0.05,-0.30,0.34,0.58,0.33,0.33
Drained Organic Soil a,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
Harvested Wood,-33.75,-33.76,-32.92,-33.41,-32.29,-30.60,-32.00,-31.14,-32.47,-30.78,-25.49,-26.78,-25.56,-28.38,-28.74,-28.92,-27.35,-20.76,-14.86,-16.59,-18.83,-19.36,-20.86,-22.53,-23.44,-24.20,-25.20,-26.11,-26.94,-29.58
Products in Use,-14.94,-16.33,-14.97,-15.93,-15.06,-14.09,-14.74,-13.40,-14.11,-12.82,-8.71,-9.57,-9.40,-12.11,-12.38,-11.63,-9.97,-3.67,1.80,0.00,-2.01,-2.38,-3.72,-5.26,-6.07,-6.71,-7.59,-8.26,-8.60,-10.69
SWDS,-18.81,-17.43,-17.95,-17.48,-17.23,-16.51,-17.26,-17.74,-18.35,-17.96,-16.77,-17.21,-16.16,-16.27,-16.35,-17.29,-17.38,-17.09,-16.65,-16.59,-16.83,-16.98,-17.13,-17.27,-17.37,-17.49,-17.61,-17.85,-18.34,-18.89
Total Net Flux,-214.79,-213.15,-212.12,-211.23,-209.73,-207.09,-206.27,-205.89,-206.16,-202.65,-195.79,-196.45,-188.04,-194.26,-167.59,-180.42,-194.62,-187.01,-182.47,-176.09,-185.69,-182.25,-184.53,-183.70,-190.99,-183.11,-196.87,-179.93,-190.53,-188.67
Note: Parentheses indicate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a These estimates include C stock changes from drained organic soils from both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
