Table A-214: Forest Land Area Estimates and Differences Between Estimates in 6.1 Representation of the U.S. Land Base (CRF Category 4.1) and 6.2 Forest Land Remaining Forest Land  (CRF Category 4A1) (kha),,,
Year,Forest Land (managed) - 6.1 Representation of the U.S. Land Base,Forest Land (managed) - 6.2 Forest Land Remaining Forest Land,Difference between Forest Land Areas (managed) – 6.1 and Forest Land Remaining Forest Land – 6.2 area estimates
1990,280393,279661,733
1991,280412,279676,736
1992,280407,279701,706
1993,280449,279728,721
1994,280421,279745,676
1995,280414,279755,659
1996,280437,279766,670
1997,280442,279777,665
1998,280436,279788,649
1999,280501,279805,696
2000,280518,279795,723
2001,280113,279379,734
2002,280157,279404,754
2003,280180,279425,754
2004,280224,279446,778
2005,280207,279491,716
2006,280216,279489,727
2007,280236,279481,756
2008,280266,279484,782
2009,280313,279499,814
2010,280369,279537,833
2011,280384,279549,835
2012,280386,279556,830
2013,280394,279540,855
2014,280438,279526,912
2015,280528,279545,983
2016,280529,279533,996
2017,280380,279511,869
2018,280274,279483,791
2019,280274,279386,888
,280274,279289,986
