Table A-219:  Areas (Hectares) from Wildfire Statistics and Corresponding Estimates of C and CO2 (MMT/year) Emissions for Wildfires and Prescribed Fires a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019b
Conterminous 48 States - Wildfires,Forest area burned (1000 ha),83.5,256.8,82.2,63.2,257.4,101.2,236.2,45.2,162.4,254.1,508.3,238.0,930.3,723.9,264.7,402.1,477.3,1065.8,400.6,414.1,115.8,712.8,1243.4,280.1,521.1,954.1,501.5,1128.1,953.8,953.8
,C emitted (MMT/yr),1.7,3.1,1.1,0.4,2.6,1.1,2.4,0.4,2.0,3.6,5.0,3.0,27.1,20.4,3.8,5.6,5.4,28.5,5.8,6.4,2.1,6.5,29.9,3.5,16.5,31.7,9.2,37.4,31.5,31.5
,CO2 emitted (MMT/yr),6.2,11.4,4.0,1.5,9.6,3.9,8.7,1.5,7.2,13.2,18.3,10.9,99.4,74.9,14.0,20.5,19.7,104.4,21.3,23.6,7.8,24.0,109.7,12.9,60.3,116.4,33.7,137.2,115.5,115.5
Alaska - Wildfires,Forest area burned (1000 ha),82.5,39.0,2.7,19.2,11.0,1.4,0.0,0.2,12.2,39.9,59.6,21.2,282.2,101.4,1260.8,686.7,35.5,43.5,8.2,393.8,103.9,28.0,14.9,185.3,53.7,631.3,26.8,23.8,45.5,45.5
,C emitted (MMT/yr),1.4,0.7,0.0,0.3,0.2,0.0,0.0,0.0,0.2,0.7,1.0,0.4,4.9,1.8,22.2,12.0,0.6,0.8,0.1,6.9,1.8,0.5,0.3,3.3,0.9,11.1,0.5,0.4,0.8,0.8
,CO2 emitted (MMT/yr),5.3,2.5,0.2,1.2,0.7,0.1,0.0,0.0,0.8,2.6,3.8,1.4,18.1,6.6,81.3,44.1,2.3,2.8,0.5,25.4,6.7,1.8,1.0,11.9,3.4,40.7,1.7,1.5,2.9,2.9
Prescribed Fires (all 49 states),Forest area burned (1000 ha),5.0,3.5,2.9,1.5,4.5,10.6,10.4,4.6,14.6,33.2,15.4,19.6,7.2,7.6,21.4,43.5,57.1,82.6,156.1,208.7,496.3,166.7,71.1,232.2,237.1,150.8,249.9,222.7,206.6,206.6
,C emitted (MMT/yr),0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.4,0.6,1.0,2.1,2.2,6.2,1.7,0.8,2.6,2.8,1.7,2.7,2.3,2.2,2.2
,CO2 emitted (MMT/yr),0.2,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.3,0.8,0.8,0.5,0.2,0.4,0.9,1.5,2.1,3.6,7.6,8.2,22.9,6.3,2.9,9.6,10.4,6.1,9.7,8.4,8.0,8.0
Wildfires (all 49 states),CH4 emitted (kt/yr),34.3,41.6,12.5,8.2,30.7,12.0,26.0,4.5,23.9,47.4,66.2,36.8,352.0,243.6,285.3,193.5,65.9,321.0,65.4,146.6,43.6,77.4,331.5,74.4,190.7,471.0,106.3,415.1,354.5,354.5
,N2O emitted (kt/yr),1.9,2.3,0.7,0.5,1.7,0.7,1.4,0.2,1.3,2.6,3.7,2.0,19.5,13.5,15.8,10.7,3.6,17.7,3.6,8.1,2.4,4.3,18.3,4.1,10.6,26.0,5.9,23.0,19.6,19.6
,CO emitted (kt/yr),782.9,947.9,284.0,185.9,700.2,272.6,592.5,101.1,541.0,1078.4,1506.6,839.2,8022.7,5550.3,6496.2,4405.9,1500.8,7303.7,1488.2,3338.0,989.7,1763.7,7552.5,1692.2,4351.2,10718.5,2415.4,9462.2,8078.6,8078.6
,NOx emitted (kt/yr),21.9,26.6,8.0,5.2,19.6,7.7,16.6,2.8,15.2,30.2,42.3,23.5,225.0,155.7,182.1,123.5,42.1,205.0,41.8,93.6,27.7,49.4,211.7,47.4,121.8,300.2,67.9,265.3,226.7,226.7
Prescribed Fires (all 49 states),CH4 emitted (kt/yr),0.7,0.7,0.3,0.2,0.3,0.8,1.1,0.4,1.0,2.3,2.5,1.5,0.6,1.2,2.8,4.6,6.4,10.7,22.7,24.5,68.6,18.7,8.6,28.9,31.2,18.3,29.2,25.2,24.0,24.0
,N2O emitted (kt/yr),0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.3,0.4,0.6,1.3,1.4,3.8,1.0,0.5,1.6,1.7,1.0,1.6,1.4,1.3,1.3
,CO emitted (kt/yr),16.9,16.3,7.8,4.1,7.0,18.0,24.3,8.9,23.0,51.4,58.0,34.6,14.3,27.9,63.2,105.1,145.1,243.0,517.7,557.5,1562.1,426.3,196.9,658.1,710.0,417.5,664.5,573.7,547.6,547.6
,NOx emitted (kt/yr),0.5,0.5,0.2,0.1,0.2,0.5,0.7,0.3,0.6,1.4,1.6,1.0,0.4,0.8,1.8,2.9,4.1,6.8,14.5,15.6,43.8,11.9,5.5,18.4,19.9,11.7,18.6,16.1,15.4,15.4
"a These emissions have already been accounted for in the estimates of net annual changes in C stocks, which accounts for the amount sequestered minus any emissions, including the assumption that combusted wood may continue to decay through time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b The data for 2019 were unavailable when these estimates were summarized; therefore 2018, the most recent available estimate, is applied to 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
