Table A-235:  Fuel Consumption in the United States by Estimating Approach (TBtu)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sectoral,"69,634","69,089","70,713","72,266","73,751","74,687","77,218","78,215","78,698","79,911","82,536","81,119","81,936","82,334","83,976","83,934","82,687","83,919","81,081","76,254","78,685","77,196","75,382","77,320","78,030","77,116","76,286","75,751","79,032","78,199"
Coal,"18,098","18,034","18,206","18,969","19,048","19,210","20,091","20,551","20,846","20,852","21,755","21,146","21,218","21,651","21,916","22,213","21,864","22,106","21,792","19,271","20,307","19,110","16,866","17,489","17,403","15,080","13,816","13,407","12,802","10,884"
Natural Gas,"19,173","19,593","20,243","20,762","21,254","22,173","22,592","22,727","22,326","22,370","23,395","22,469","23,164","22,562","22,625","22,283","21,961","23,371","23,594","23,193","24,313","24,679","25,832","26,562","27,145","27,932","28,153","27,742","30,801","31,824"
Petroleum,"32,363","31,462","32,264","32,535","33,449","33,304","34,534","34,938","35,527","36,689","37,386","37,504","37,554","38,120","39,435","39,437","38,862","38,442","35,696","33,789","34,065","33,407","32,684","33,270","33,482","34,105","34,318","34,603","35,429","35,490"
Reference (Apparent),"68,869","68,317","69,860","71,629","73,254","74,141","76,575","78,074","77,713","79,336","81,982","81,098","81,894","82,142","84,055","83,947","82,463","84,379","80,720","76,779","78,162","76,802","75,826","76,449","77,188","76,377","75,507","75,368","78,368","77,265"
Coal,"17,598","17,403","17,725","18,254","18,722","18,591","19,448","20,127","20,003","20,051","20,964","20,736","20,824","21,108","21,759","22,013","21,565","21,616","21,431","19,283","19,662","18,796","16,682","17,134","17,245","14,836","13,580","13,139","12,567","10,704"
Natural Gas,"19,280","19,682","20,327","20,877","21,349","22,277","22,699","22,832","22,406","22,463","23,487","22,538","23,239","22,631","22,691","22,350","22,030","23,442","23,666","23,277","24,409","24,778","25,924","26,639","27,228","28,011","28,236","27,862","30,931","31,993"
Petroleum,"31,990","31,233","31,809","32,499","33,182","33,273","34,427","35,116","35,304","36,822","37,531","37,824","37,831","38,403","39,605","39,584","38,868","39,321","35,624","34,218","34,091","33,229","33,220","32,676","32,715","33,530","33,691","34,367","34,870","34,568"
Difference,-1.1%,-1.1%,-1.2%,-0.9%,-0.7%,-0.7%,-0.8%,-0.2%,-1.3%,-0.7%,-0.7%,0.0%,-0.1%,-0.2%,0.1%,0.0%,-0.3%,0.5%,-0.4%,0.7%,-0.7%,-0.5%,0.6%,-1.1%,-1.1%,-1.0%,-1.0%,-0.5%,-0.8%,-1.2%
Coal,-2.8%,-3.5%,-2.6%,-3.8%,-1.7%,-3.2%,-3.2%,-2.1%,-4.0%,-3.8%,-3.6%,-1.9%,-1.9%,-2.5%,-0.7%,-0.9%,-1.4%,-2.2%,-1.7%,0.1%,-3.2%,-1.6%,-1.1%,-2.0%,-0.9%,-1.6%,-1.7%,-2.0%,-1.8%,-1.7%
Natural Gas,0.6%,0.5%,0.4%,0.6%,0.4%,0.5%,0.5%,0.5%,0.4%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%,0.4%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%,0.4%,0.4%,0.5%
Petroleum,-1.2%,-0.7%,-1.4%,-0.1%,-0.8%,-0.1%,-0.3%,0.5%,-0.6%,0.4%,0.4%,0.9%,0.7%,0.7%,0.4%,0.4%,0.0%,2.3%,-0.2%,1.3%,0.1%,-0.5%,1.6%,-1.8%,-2.3%,-1.7%,-1.8%,-0.7%,-1.6%,-2.6%
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Includes U.S. Territories. Does not include international bunker fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
