Table A-236:  CO2 Emissions from Fossil Fuel Combustion by Estimating Approach (MMT CO2 Eq.)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approach,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sectoral,"4,844","4,798","4,904","5,006","5,088","5,144","5,332","5,404","5,455","5,529","5,737","5,653","5,693","5,763","5,858","5,882","5,794","5,870","5,667","5,276","5,443","5,300","5,096","5,225","5,264","5,116","5,011","4,968","5,121","4,985"
Coal,"1,720","1,716","1,733","1,799","1,806","1,824","1,908","1,951","1,981","1,983","2,070","2,012","2,022","2,066","2,091","2,121","2,084","2,108","2,078","1,838","1,937","1,823","1,609","1,668","1,660","1,439","1,319","1,280","1,222","1,039"
Natural Gas,"1,007","1,029","1,063","1,090","1,116","1,164","1,185","1,193","1,169","1,174","1,228","1,178","1,216","1,184","1,189","1,172","1,157","1,230","1,242","1,220","1,279","1,299","1,359","1,397","1,426","1,462","1,470","1,446","1,605","1,658"
Petroleum,"2,117","2,053","2,108","2,117","2,166","2,155","2,239","2,260","2,305","2,373","2,439","2,462","2,454","2,512","2,577","2,589","2,553","2,531","2,347","2,218","2,226","2,179","2,128","2,160","2,178","2,215","2,223","2,242","2,293","2,288"
Reference (Apparent),"4,811","4,764","4,869","4,997","5,104","5,148","5,328","5,443","5,421","5,520","5,718","5,690","5,733","5,775","5,921","5,929","5,819","5,929","5,684","5,366","5,444","5,320","5,185","5,216","5,262","5,127","5,022","5,004","5,150","5,003"
Coal,"1,655","1,640","1,669","1,722","1,767","1,756","1,838","1,902","1,894","1,903","1,987","1,968","1,976","2,002","2,064","2,089","2,050","2,055","2,039","1,835","1,871","1,791","1,589","1,629","1,641","1,414","1,291","1,245","1,197","1,021"
Natural Gas,"1,014","1,035","1,069","1,098","1,122","1,171","1,192","1,200","1,175","1,179","1,234","1,182","1,221","1,189","1,194","1,176","1,160","1,235","1,246","1,225","1,285","1,305","1,365","1,402","1,431","1,467","1,476","1,454","1,615","1,670"
Petroleum,"2,142","2,089","2,132","2,177","2,215","2,220","2,298","2,342","2,353","2,438","2,497","2,540","2,535","2,583","2,663","2,664","2,608","2,639","2,399","2,306","2,288","2,224","2,232","2,185","2,190","2,246","2,255","2,304","2,338","2,311"
Difference,-0.7%,-0.7%,-0.7%,-0.2%,0.3%,0.1%,-0.1%,0.7%,-0.6%,-0.2%,-0.3%,0.7%,0.7%,0.2%,1.1%,0.8%,0.4%,1.0%,0.3%,1.7%,0.0%,0.4%,1.8%,-0.2%,0.0%,0.2%,0.2%,0.7%,0.6%,0.4%
Coal,-3.8%,-4.5%,-3.7%,-4.2%,-2.2%,-3.7%,-3.7%,-2.5%,-4.4%,-4.1%,-4.0%,-2.2%,-2.3%,-3.1%,-1.3%,-1.5%,-1.6%,-2.5%,-1.9%,-0.2%,-3.4%,-1.7%,-1.3%,-2.3%,-1.2%,-1.8%,-2.1%,-2.8%,-2.1%,-1.7%
Natural Gas,0.7%,0.6%,0.5%,0.7%,0.6%,0.6%,0.6%,0.6%,0.4%,0.5%,0.5%,0.3%,0.4%,0.4%,0.4%,0.3%,0.3%,0.4%,0.3%,0.4%,0.5%,0.5%,0.4%,0.4%,0.3%,0.3%,0.4%,0.6%,0.6%,0.7%
Petroleum,1.2%,1.7%,1.1%,2.8%,2.2%,3.0%,2.6%,3.6%,2.1%,2.7%,2.4%,3.2%,3.3%,2.8%,3.3%,2.9%,2.2%,4.3%,2.2%,4.0%,2.8%,2.1%,4.9%,1.2%,0.6%,1.4%,1.5%,2.8%,2.0%,1.0%
Note: Totals may not sum due to independent rounding ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Includes U.S. Territories. Does not include international bunker fuels.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
