Table A-243:  Change in U.S. Greenhouse Gas Emissions Using AR5(a) without Climate-Carbon Feedbacks Relative to AR4 GWP Values (Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CO2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
CH4 ,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%,12.0%
N2O,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%,-11.1%
SF6,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%,3.1%
NF3,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%,-6.4%
HFCs,-16.1%,-15.9%,-15.8%,-15.1%,-14.1%,-12.9%,-12.1%,-11.5%,-11.6%,-10.8%,-10.4%,-9.6%,-9.5%,-8.7%,-8.9%,-8.6%,-8.2%,-8.3%,-7.8%,-7.0%,-6.8%,-6.7%,-6.3%,-6.0%,-6.0%,-5.9%,-5.8%,-6.0%,-5.9%,-6.0%
Substitution of Ozone Depleting Substances,11.3%,11.3%,-3.3%,-7.3%,-8.3%,-8.5%,-8.4%,-8.3%,-8.0%,-7.9%,-7.8%,-7.7%,-7.6%,-7.5%,-7.3%,-7.1%,-7.0%,-6.8%,-6.7%,-6.5%,-6.3%,-6.1%,-5.9%,-5.7%,-5.6%,-5.7%,-5.6%,-5.6%,-5.7%,-5.7%
HCFC-22 Production b,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%
Electronics Industry c,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.2%,-16.3%,-16.3%,-16.3%,-16.4%,-16.4%,-16.4%,-16.5%,-16.6%,-16.8%,-16.6%,-16.5%,-16.6%,-16.5%,-16.8%,-16.4%,-16.8%,-16.6%,-16.7%,-20.7%
Magnesium Production and Processing d,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%,-9.1%
PFCs,-10.0%,-10.0%,-10.0%,-10.0%,-9.9%,-9.9%,-9.9%,-9.9%,-9.8%,-9.8%,-9.8%,-9.6%,-9.7%,-9.6%,-9.6%,-9.6%,-9.6%,-9.7%,-9.5%,-9.5%,-9.4%,-9.5%,-9.6%,-9.6%,-9.6%,-9.5%,-9.5%,-9.5%,-9.6%,-9.7%
