Table A-244:  Change in U.S. Greenhouse Gas Emissions Using AR5 with Climate-Carbon Feedbacksa Relative to AR4 GWP Values (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CO2,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
CH4 ,279.7,281.4,281.0,277.5,279.7,276.4,273.9,268.8,263.4,256.8,254.7,251.9,249.4,249.4,247.3,247.0,248.7,249.8,252.3,248.3,249.2,239.8,236.9,235.6,234.4,234.6,231.3,233.4,236.1,237.5
N2O ,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
HFCs,-2.9,-2.5,-2.7,-2.1,-1.2,0.1,1.4,2.6,2.7,4.3,5.3,6.8,7.3,8.6,8.7,9.4,10.3,11.0,12.2,14.1,15.0,15.5,16.1,16.6,17.1,17.7,17.9,17.6,17.7,18.1
PFCs,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
SF6,4.2,4.0,4.0,3.9,3.8,3.6,3.5,3.3,2.9,2.8,2.4,2.2,2.0,2.0,1.8,1.7,1.5,1.3,1.2,1.1,1.1,1.2,1.0,0.9,0.9,0.8,0.9,0.8,0.8,0.9
NF3,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
"Unspecified Mix of HFCs, PFCs, SF6, and NF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total ,280.9,282.9,282.3,279.3,282.3,280.1,278.8,274.7,269.0,264.0,262.4,261.0,258.8,260.0,257.8,258.1,260.6,262.1,265.8,263.4,265.2,256.5,254.1,253.2,252.5,253.0,250.0,251.9,254.7,256.5
Notes: Total emissions presented without LULUCF. Totals may not sum due to independent rounding. Parentheses indicate negative values. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a The GWP values presented here from the AR5 report include climate-carbon feedbacks for the non-CO2 gases in order to be consistent with the approach used in calculating the CO2 lifetime. Additionally, for methane the AR5 reported separate values for fossil versus biogenic methane in order to account for the CO2 oxidation product and that is not shown on this table. See footnotes to Table A-238.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
