Table A-246: Emissions of Ozone Depleting Substances (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Class I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFC-11,31,32,16,16,15,14,13,13,12,13,13,13,13,13,13,12,13,12,11,9,12,12,12,11,11,11,11,12,11,9
CFC-12,136,136,136,131,105,83,76,68,61,55,49,43,38,33,28,23,19,14,9,5,6,6,6,6,5,4,3,2,1,1
CFC-113,59,61,60,60,47,32,30,29,27,26,25,23,22,20,19,17,15,13,11,9,7,5,2,0,0,0,0,0,0,0
CFC-114,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,+,+,+,+,+,0,0,0,0,0,0
CFC-115,8,7,7,7,6,6,5,5,4,4,4,3,3,3,2,2,2,1,1,+,+,+,+,+,+,+,+,+,+,+
Carbon Tetrachloride,4,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl Chloroform,223,227,209,190,148,72,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halon-1211,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Halon-1301,2,2,2,2,+,+,+,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Class II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCFC-22,31,32,33,35,40,43,46,50,54,58,62,65,68,70,72,74,75,77,78,76,72,70,67,65,61,58,54,51,47,43
HCFC-123,0,0,+,+,+,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HCFC-124,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,+,+,+,+,+
HCFC-141b,1,1,1,2,3,5,6,6,7,8,7,7,5,4,4,4,4,6,7,9,9,9,10,10,10,10,9,8,9,10
HCFC-142b,1,2,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,2,2,3,3,4,5
HCFC-225ca/cb,+,+,+,+,+,+,+,1,1,1,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,17
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
