Table A-247:  SO2 Emissions (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Energy,"19,628","19,109","18,844","18,583","18,223","15,772","15,725","16,102","16,193","14,932","13,796","13,404","12,786","12,582","12,366","12,364","11,120","9,875","8,674","7,591","6,396","5,273","4,031","3,872","3,742","3,096","2,439","1,803","1,724","1,457"
Stationary Sources,"18,407","17,958","17,683","17,459","17,134","14,724","14,744","15,103","15,189","13,915","12,848","12,461","11,613","11,525","11,426","11,541","10,473","9,406","8,303","7,228","6,120","5,008","3,784","3,644","3,532","2,901","2,269","1,638","1,569","1,304"
Oil and Gas Activities,390,343,377,347,344,335,304,312,311,283,286,289,233,215,198,180,165,150,135,126,117,108,104,99,94,92,89,86,86,86
Mobile Sources,793,769,745,720,697,672,648,658,664,704,632,624,917,818,718,619,459,299,218,220,144,142,124,106,88,78,57,58,47,45
Waste Combustion,38,39,39,56,48,42,29,29,30,30,29,30,23,23,24,25,22,20,18,17,16,15,19,23,27,26,24,22,22,22
Industrial Processes and Product Use,"1,307","1,188","1,187","1,160","1,136","1,117",953,985,991,984,"1,031","1,047",850,851,852,831,784,737,690,653,617,604,576,548,497,482,466,509,509,509
Miscellaneous a,11,11,9,9,14,9,14,5,6,61,63,40,122,127,132,114,118,122,126,136,146,179,172,165,136,137,139,198,198,198
Other Industrial Processes,362,359,359,356,361,366,350,371,376,347,372,389,295,306,317,327,295,262,229,210,190,171,164,158,151,145,139,132,132,132
Chemical and Allied Product Manufacturing,269,254,252,244,249,259,232,235,237,295,307,310,235,233,230,228,208,188,168,150,132,115,114,113,112,108,104,101,101,101
Metals Processing,659,555,558,547,510,481,353,369,367,275,284,301,193,182,170,158,159,160,161,151,141,131,119,107,95,89,83,77,77,77
Storage and Transport,6,9,8,5,2,2,5,5,5,5,6,6,4,4,3,2,4,5,6,7,7,8,7,5,3,2,2,1,1,1
Solvent Use,+,+,1,1,1,1,1,1,1,1,1,1,+,+,+,+,+,1,1,1,+,+,+,+,+,+,+,+,+,+
Degreasing,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Graphic Arts,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Dry Cleaning,NA,NA,+,NA,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Surface Coating,+,+,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Other Industrial,+,+,+,+,+,+,1,1,1,1,1,1,+,+,+,+,+,1,1,1,+,+,+,+,+,+,+,+,+,+
Nonindustrial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Burning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waste,+,1,1,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,1,1,1,1,1,1,1,1
Landfills,+,+,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,1,1,1,1,1,1,1,1
Wastewater Treatment,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Miscellaneous a,+,1,1,8,5,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Total,"20,935","20,298","20,033","19,752","19,365","16,891","16,680","17,090","17,186","15,917","14,829","14,452","13,637","13,433","13,219","13,196","11,904","10,613","9,365","8,245","7,014","5,877","4,608","4,421","4,240","3,578","2,906","2,313","2,233","1,966"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.5 kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Miscellaneous includes other combustion and fugitive dust categories.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Data taken from EPA (2019) and disaggregated based on EPA (2003).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
