Table A-25:  Unadjusted Non-Energy Fuel Consumption (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Industry,"4,644.2","4,692.9","4,926.9","4,897.5","5,216.2","5,153.6","5,243.0","5,507.9","5,604.9","6,023.7","5,575.9","5,263.0","5,424.9","5,342.1","5,847.0","5,482.5","5,469.1","5,243.4","4,808.0","4,566.8","4,735.1","4,663.1","4,599.2","4,829.2","4,724.8","5,022.6","5,106.3","5,378.9","5,789.2","5,897.1"
Industrial Coking Coal,0.0,0.0,0.0,1.0,8.9,37.8,24.1,0.0,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,62.9,2.3,29.2,6.4,64.8,60.8,132.5,119.9,49.3,122.4,89.6,113.0,124.8,132.1
Industrial Other Coal,7.6,7.8,8.8,9.3,10.1,10.5,10.6,10.4,9.7,10.3,11.5,10.5,11.3,11.1,11.1,11.0,11.0,11.0,11.0,11.0,9.6,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
"Natural Gas to Chemical Plants, Other Uses",305.9,301.1,318.9,335.8,354.0,371.0,388.7,406.4,426.6,413.5,401.7,391.8,380.7,345.3,306.6,270.4,233.4,252.6,272.2,291.1,310.0,314.0,319.3,324.6,330.6,431.8,532.0,631.1,730.8,730.8
Asphalt & Road Oil,"1,170.2","1,076.5","1,102.2","1,149.0","1,172.9","1,178.2","1,175.9","1,223.6","1,262.6","1,324.4","1,275.7","1,256.9","1,240.0","1,219.5","1,303.8","1,323.2","1,261.2","1,197.0","1,012.0",873.1,877.8,859.5,826.7,783.3,792.6,831.7,853.4,849.2,792.8,843.9
HGL,"1,302.2","1,439.0","1,525.6","1,465.8","1,685.0","1,651.6","1,744.8","1,803.0","1,717.5","2,001.5","1,759.3","1,642.3","1,766.3","1,701.6","1,768.5","1,659.5","1,734.6","1,726.7","1,596.6","1,748.0","1,899.9","1,954.4","1,983.7","2,155.2","2,142.8","2,216.8","2,257.1","2,329.7","2,677.4","2,758.8"
Lubricants ,186.3,166.7,170.0,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174.0,171.9,159.0,161.0,160.2,156.1,161.2,149.6,134.5,135.9,127.4,118.3,125.1,130.7,142.1,135.1,124.9,121.9,117.6
Pentanes Plus,125.2,147.0,161.3,166.1,169.4,169.0,177.5,164.5,147.0,182.5,171.6,131.6,111.9,110.4,111.2,98.1,70.1,89.7,76.5,63.8,77.7,27.3,42.2,47.1,44.2,80.2,56.1,86.4,111.8,166.6
Naphtha (<401 deg. F),347.8,298.9,377.1,350.6,398.3,373.0,479.3,536.4,584.0,502.1,613.5,493.7,582.6,613.0,749.4,698.7,628.9,562.5,477.2,471.9,490.6,487.3,453.9,517.8,442.6,428.1,420.0,436.2,447.1,396.7
Other Oil (>401 deg. F),753.9,827.3,814.5,844.1,838.6,801.0,729.6,861.2,818.7,811.1,722.2,662.5,632.1,699.4,779.5,708.0,790.6,744.1,647.8,424.8,452.5,388.5,287.2,223.9,247.2,229.0,222.5,262.9,239.1,234.1
