Table A-255: Quantitative Assessment of Trend Uncertainty (MMT CO2 Eq. and Percent) ,,,,,
Gas/Source,Base Year Emissions  a,2019 Emissions,Emissions Trend,Trend Range b,
,(MMT CO2 Eq),,(%),(%),
,,,,Lower Bound,Upper Bound
CO2,"5,113.50","5,255.80",3%,-2%,7%
Fossil Fuel Combustion,"4,731.50","4,856.70",3%,-2%,7%
Non-Energy Use of Fuels,112.8,128.8,14%,-34%,87%
Iron and Steel Production & Metallurgical Coke Production,104.7,41.3,-61%,-70%,-50%
Cement Production,33.5,40.9,22%,8%,40%
Petroleum Systems,9.7,47.3,387%,125%,929%
Natural Gas Systems,32,37.2,16%,-20%,69%
Petrochemical Production,21.6,30.8,42%,31%,55%
Ammonia Production,13,12.3,-6%,-21%,14%
Lime Production,11.7,12.1,4%,1%,7%
Incineration of Waste,8.1,11.5,42%,-3%,108%
Other Process Uses of Carbonates,6.3,7.5,18%,0%,45%
Urea Fertilization,2.4,5.3,121%,27%,282%
Carbon Dioxide Consumption,1.5,4.9,231%,191%,279%
Urea Consumption for Non-Agricultural Purposes,3.8,6.2,64%,34%,104%
Liming,4.7,2.4,-48%,-634%,473%
Ferroalloy Production,2.2,1.6,-26%,-37%,-13%
Soda Ash Production,1.4,1.8,25%,11%,41%
Titanium Dioxide Production,1.2,1.5,23%,3%,47%
Aluminum Production,6.8,1.9,-72%,-74%,-71%
Glass Production,1.5,1.3,-17%,-22%,-11%
Zinc Production,0.6,1,62%,23%,112%
Phosphoric Acid Production,1.5,0.9,-42%,-57%,-21%
Lead Production,0.5,0.5,5%,-15%,28%
Carbide Production and Consumption,0.4,0.2,-53%,-58%,-47%
Abandoned Oil and Gas Wells,+,+,3%,-1354%,1205%
Magnesium Production and Processing,+,+,-1%,-34%,101%
Wood Biomass and Biofuel Consumption c,219.4,316.2,44%,NE,NE
International Bunker Fuels d,103.5,116.1,12%,NE,NE
CH4,776.9,659.7,-15%,-26%,-3%
Enteric Fermentation,164.7,178.6,8%,-20%,47%
Natural Gas Systems,186.9,157.6,-16%,-30%,1%
Landfills,176.6,114.5,-35%,-54%,-7%
Manure Management,37.1,62.4,68%,6%,162%
Coal Mining,96.5,47.4,-51%,-63%,-34%
Petroleum Systems,48.9,39.1,-20%,-55%,43%
Wastewater Treatment,20.2,18.4,-9%,-42%,40%
Rice Cultivation,16,15.1,-6%,-944%,1051%
Stationary Combustion,8.6,8.7,1%,-65%,197%
Abandoned Oil and Gas Wells,6.8,6.6,-3%,-88%,644%
Abandoned Underground Coal Mines,7.2,5.9,-18%,-50%,36%
Mobile Combustion,6.4,2.4,-63%,-65%,-47%
Composting,0.4,2.3,495%,166%,1288%
Field Burning of Agricultural Residues,0.4,0.4,14%,-22%,67%
Petrochemical Production,0.2,0.3,51%,-92%,-72%
Ferroalloy Production,+,+,-34%,-44%,-22%
Carbide Production and Consumption,+,+,-67%,-71%,-62%
Iron and Steel Production & Metallurgical Coke Production,+,+,-64%,-73%,-52%
Incineration of Waste,+,+,-32%,NE,NE
Anerobic Digestion at Biogas Facilities,+,0.2,1126%,NE,NE
International Bunker Fuels d,0.2,0.1,-46%,NE,NE
N2O,452.7,457.1,1%,-27%,43%
Agricultural Soil Management,315.9,344.6,9%,-32%,75%
Stationary Combustion,25.1,24.9,-1%,-45%,82%
Manure Management,14,19.6,40%,-7%,114%
Mobile Combustion,44.7,18,-60%,-68%,-40%
Adipic Acid Production,15.2,5.3,-65%,-67%,-63%
Nitric Acid Production,12.1,10,-18%,-23%,-12%
Wastewater Treatment,18.7,26.4,41%,-57%,307%
N2O from Product Uses,4.2,4.2,+%,-25%,27%
Composting,0.3,2,495%,170%,1229%
"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.7,1.4,-18%,-49%,33%
Incineration of Waste,0.5,0.3,-32%,-86%,224%
Electronics Industry,+,0.2,528%,452%,616%
Field Burning of Agricultural Residues,0.2,0.2,16%,-20%,68%
Petroleum Systems,+,+,179%,32%,498%
Natural Gas Systems,+,+,123%,54%,222%
International Bunker Fuels d,0.9,1,21%,NE,NE
"HFCs, PFCs, SF6, and NF3",99.7,185.6,86%,68%,119%
Substitution of Ozone Depleting Substances,0.2,170.6,74989%,27837%,783953%
Electronics Industry,3.6,4.3,22%,12%,33%
Electrical Transmission and Distribution,23.2,4.2,-82%,-88%,-72%
