Table A-3: U.S. Greenhouse Gas Inventory Source Categories with LULUCF,,,,,
CRF Source/Sink Category,Greenhouse Gas,2019 Emissions (MMT CO2 Eq.),Key Category,ID Critera a,Level in which year(s) b
Energy,,,,,
1.A.3.b CO2 Emissions from Mobile Combustion: Road,CO2,"1,510.50",•,L1 T1 L2 T2,"1990, 2019"
1.A.1 CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,973.5,•,L1 T1 L2 T2,"1990, 2019"
1.A.1 CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,616,•,L1 T1 L2 T2,"1990 1, 2019"
1.A.2 CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,503.3,•,L1 T1 L2 T2,"1990, 2019"
1.A.4.b CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,275.3,•,L1 T1 L2,"1990, 2019"
1.A.2 CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,269.7,•,L1 T1 L2 T2,"1990, 2019"
1.A.4.a CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,192.8,•,L1 T1 L2 T2,"1990, 2019"
1.A.3.a CO2 Emissions from Mobile Combustion: Aviation,CO2,178.5,•,L1 T1 L2,"1990, 2019"
1.A.5 CO2 Emissions from Non-Energy Use of Fuels,CO2,128.8,•,L1 T1 L2 T2,"1990, 2019"
1.A.4.b CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,61.5,•,L1 T1,"1990 1, 2019 1"
1.A.4.a CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,55.3,•,L1 T1,"1990 1, 2019 1"
1.A.3.e CO2 Emissions from Mobile Combustion: Other,CO2,53.7,•,L1 T1,"1990 1, 2019 1"
1.A.2 CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,49.5,•,L1 T1 L2 T2,"1990, 2019 1 "
1.B.2.a CO2 Emissions from Petroleum Systems,CO2,47.3,•,L1 T1 L2 T2,2019
1.B.2.b CO2 Emissions from Natural Gas Systems,CO2,37.2,•,L1,"1990 1, 2019 1"
1.A.3.c CO2 Emissions from Mobile Combustion: Railways,CO2,37.1,•,L1,"1990 1, 2019 1"
1.A.3.d CO2 Emissions from Mobile Combustion: Marine,CO2,32.1,•,L1,"1990 1, 2019 1"
1.A.5 CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,19.5,•,L1,"1990 1, 2019 1"
1.A.1 CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,16.2,•,L1 T1 T2,1990 1
1.A.5 CO2 Emissions from Incineration of Waste,CO2,11.5,,,
1.A.5.b CO2 Emissions from Mobile Combustion: Military,CO2,5.3,•,T1,
1.A.5 CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,2.5,,,
1.A.5 CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,2.5,,,
1.A.4.a CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,1.6,•,T1,
1.A.1 CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,,,
1.B.2 CO2 Emissions from Abandoned Oil and Gas Wells,CO2,+,,,
1.A.4.b CO2 Emissions from Stationary Combustion - Coal - Residential,CO2,0,•,T2,
1.B.2.b CH4 Emissions from Natural Gas Systems,CH4,157.6,•,L1 T1 L2 T2,"1990, 2019"
1.B.1 Fugitive Emissions from Coal Mining,CH4,47.4,•,L1 T1 L2 T2,"1990, 2019 1"
1.B.2.a CH4 Emissions from Petroleum Systems,CH4,39.1,•,L1 T1 L2 T2,"1990, 2019"
1.B.2 CH4 Emissions from Abandoned Oil and Gas Wells,CH4,6.6,•,L2,"1990 2, 2019 2"
1.B.1 Fugitive Emissions from Abandoned Underground Coal Mines,CH4,5.9,,,
1.A.4.b CH4 Emissions from Stationary Combustion - Residential,CH4,4.6,•,L2,"1990 2, 2019 2"
1.A.2 CH4 Emissions from Stationary Combustion - Industrial,CH4,1.5,,,
1.A.4.a CH4 Emissions from Stationary Combustion - Commercial,CH4,1.2,,,
1.A.1 CH4 Emissions from Stationary Combustion - Gas - Electricity Generation,CH4,1.1,,,
1.A.3.e CH4 Emissions from Mobile Combustion: Other,CH4,0.9,,,
1.A.3.b CH4 Emissions from Mobile Combustion: Road,CH4,0.9,,,
1.A.3.d CH4 Emissions from Mobile Combustion: Marine,CH4,0.4,,,
1.A.1 CH4 Emissions from Stationary Combustion - Coal - Electricity Generation,CH4,0.2,,,
1.A.3.c CH4 Emissions from Mobile Combustion: Railways,CH4,0.1,,,
1.A.5 CH4 Emissions from Stationary Combustion - U.S. Territories,CH4,+,,,
1.A.3.a CH4 Emissions from Mobile Combustion: Aviation,CH4,+,,,
1.A.1 CH4 Emissions from Stationary Combustion - Wood - Electricity Generation,CH4,+,,,
1.A.1 CH4 Emissions from Stationary Combustion - Oil - Electricity Generation,CH4,+,,,
1.A.5.b CH4 Emissions from Mobile Combustion: Military,CH4,+,,,
1.A.5 CH4 Emissions from Incineration of Waste,CH4,+,,,
1.A.1 N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,16.7,•,L2,1990 2
1.A.3.b N2O Emissions from Mobile Combustion: Road,N2O,9.3,•,L1 T1 T2,1990 1
1.A.3.e N2O Emissions from Mobile Combustion: Other,N2O,6.5,,,
1.A.1 N2O Emissions from Stationary Combustion - Gas - Electricity Generation,N2O,4.4,,,
1.A.2 N2O Emissions from Stationary Combustion - Industrial,N2O,2.5,,,
1.A.3.a N2O Emissions from Mobile Combustion: Aviation,N2O,1.6,,,
1.A.4.b N2O Emissions from Stationary Combustion - Residential,N2O,0.9,,,
1.A.4.a N2O Emissions from Stationary Combustion - Commercial,N2O,0.3,,,
1.A.5 N2O Emissions from Incineration of Waste,N2O,0.3,,,
1.A.3.c N2O Emissions from Mobile Combustion: Railways,N2O,0.3,,,
1.A.3.d N2O Emissions from Mobile Combustion: Marine,N2O,0.2,,,
1.A.5 N2O Emissions from Stationary Combustion - U.S. Territories,N2O,0.1,,,
1.B.2.a N2O Emissions from Petroleum Systems,N2O,+,,,
1.A.1 N2O Emissions from Stationary Combustion - Wood - Electricity Generation,N2O,+,,,
1.B.2.b N2O Emissions from Natural Gas Systems,N2O,+,,,
1.A.1 N2O Emissions from Stationary Combustion - Oil - Electricity Generation,N2O,+,,,
1.A.5.b N2O Emissions from Mobile Combustion: Military,N2O,+,,,
Industrial Processes and Product Use,,,,,
2.C.1 CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,41.3,•,L1 T1 L2 T2,"1990, 2019?"
2.A.1 CO2 Emissions from Cement Production,CO2,40.9,•,L1 ,"1990 1, 2019 1"
2.B.8 CO2 Emissions from Petrochemical Production,CO2,30.8,•,L1 T1,"1990 1, 2019 1"
2.B.1 CO2 Emissions from Ammonia Production,CO2,12.3,,,
2.A.2 CO2 Emissions from Lime Production,CO2,12.1,,,
2.A.4 CO2 Emissions from Other Process Uses of Carbonates,CO2,7.5,,,
