Table A-32:  Carbon Content Coefficients Used in this Report (MMT Carbon/QBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residential Coal a,b",26.19,26.27,26.38,26.16,26.09,26.13,26.03,25.89,26.06,25.97,26.00,25.99,25.96,26.03,25.89,26.04,26.26,25.91,25.71,25.73,25.75,25.81,25.88,25.90,25.88,25.98,26.01,26.09,26.09,26.11
Commercial Coal a ,26.19,26.27,26.38,26.16,26.09,26.13,26.03,25.89,26.06,25.97,26.00,25.99,25.96,26.03,25.89,26.04,26.26,25.91,25.71,25.73,25.75,25.81,25.88,25.90,25.88,25.98,26.01,26.09,26.09,26.11
Industrial Coking Coal a,25.53,25.54,25.53,25.53,25.56,25.57,25.56,25.59,25.62,25.59,25.63,25.63,25.65,25.63,25.63,25.60,25.60,25.61,25.61,25.58,25.58,25.57,25.57,25.58,25.57,25.57,25.57,25.56,25.59,25.59
Industrial Other Coal a,25.81,25.87,25.86,25.76,25.76,25.79,25.74,25.75,25.78,25.80,25.74,25.65,25.56,25.54,25.55,25.79,25.83,25.81,25.81,25.86,25.86,25.88,25.94,25.93,25.95,26.00,26.03,26.06,26.08,26.07
"Utility Coal a,c",25.94,25.97,25.98,25.88,25.88,25.92,25.92,25.91,25.93,25.96,25.98,25.99,26.04,26.08,26.08,26.08,26.03,26.03,26.04,26.04,26.05,26.05,26.06,26.05,26.04,26.07,26.06,26.08,26.09,26.08
Pipeline Natural Gas d,14.46,14.45,14.45,14.46,14.46,14.47,14.47,14.47,14.45,14.46,14.47,14.46,14.47,14.46,14.47,14.46,14.46,14.46,14.46,14.47,14.48,14.48,14.47,14.46,14.45,14.43,14.43,14.43,14.43,14.43
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asphalt and Road Oil,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55
Aviation Gasoline,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86,18.86
Distillate Fuel Oil No. 2,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.17,20.39,20.36,20.36,20.37,20.39,20.37,20.33,20.25,20.25,20.23,20.24,20.22,20.22,20.23,20.23,20.22,20.21,20.2,20.22,20.22
Jet Fuel a,19.40,19.40,19.39,19.37,19.35,19.34,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70
Kerosene,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96
LPG (Propane),17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15,17.15
HGL (Energy Use) d,17.51,17.50,17.52,17.51,17.52,17.51,17.52,17.52,17.44,17.50,17.52,17.50,17.47,17.47,17.44,17.45,17.43,17.43,17.42,17.31,17.43,17.40,17.41,17.39,17.41,17.43,17.43,17.45,17.45,17.47
HGL (Non-Energy Use) d,17.24,17.24,17.26,17.25,17.27,17.25,17.24,17.24,17.23,17.24,17.22,17.21,17.19,17.21,17.19,17.19,17.15,17.14,17.15,17.09,16.93,16.84,16.86,16.88,16.86,16.89,16.85,16.84,16.82,16.85
