"Table A-41:  Industrial Sector Consumption and Carbon Content Coefficients of Hydrocarbon Gas Liquids, 1990-2019",,,,,,,,,,,,,,
,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Energy Consumption (QBtu),,,,,,,,,,,,,,
Fuel Use,0.96,0.78,1.95,1.00,9.21,9.09,9.26,10.28,9.52,9.65,9.43,9.10,9.85,9.78
  Ethane,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06
  Propane,0.60,0.47,1.19,0.64,6.28,6.28,6.38,7.15,6.42,6.38,6.16,5.92,6.55,6.41
  Butane,0.11,0.07,0.17,0.09,0.50,0.33,0.37,0.57,0.57,0.62,0.41,0.19,0.17,0.25
  Isobutane,0.02,0.04,0.14,0.02,0.12,0.15,0.19,0.28,0.29,0.46,0.60,0.65,0.75,0.88
  Ethylene,+,+, +, +,+,+,+,+,+,+,+,+,+,+
  Propylene,0.21,0.17,0.42,0.23,2.25,2.28,2.28,2.26,2.19,2.18,2.23,2.27,2.29,2.20
  Butylene,+,+,+,+,0.02,+,+,-0.02,0.01,-0.03,-0.01,0.02,0.04,+
  Isobutylene,+,+,+,+,+,0.01,+, (+), (+), (+),+,+, (+),+
Non-Fuel Use,1.88,2.35,2.61,2.48,1.80,1.85,1.88,2.04,2.03,2.10,2.13,2.19,2.51,2.58
  Ethane,0.48,0.61,0.71,0.63,0.88,0.96,0.96,1.01,1.05,1.09,1.15,1.26,1.50,1.56
  Propane,0.89,1.09,1.17,1.21,0.57,0.57,0.57,0.64,0.58,0.57,0.55,0.53,0.59,0.58
  Butane,0.16,0.17,0.17,0.16,0.11,0.07,0.08,0.13,0.13,0.14,0.09,0.04,0.04,0.06
  Isobutane,0.03,0.10,0.14,0.04,0.03,0.03,0.04,0.06,0.07,0.10,0.14,0.15,0.17,0.20
Ethylene,+,+, +,+,0.01,0.01,+,+,+,+,+,+,+,+
  Propylene,0.31,0.38,0.41,0.43,0.20,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.20
  Butylene,+,+,+,+,+,+,+, (+),+ ,-0.01, (+), +,0.01,+
  Isobutylene,+,+,+,+,+,+,+, (+), (+), (+),+,+, (+), +
Carbon Content (MMT C/QBtu),,,,,,,,,,,,,,
Fuel Use,17.51,17.51,17.52,17.45,17.43,17.40,17.41,17.39,17.41,17.43,17.43,17.45,17.45,17.47
Non-Fuel Use,17.24,17.25,17.22,17.19,16.93,16.84,16.86,16.88,16.86,16.89,16.85,16.84,16.82,16.85
,,,,,,,,,,,,,,
Notes: “+” indicates a value less than 0.01 QBtu. Parentheses indicate negative values.,,,,,,,,,,,,,,
Sources: Fuel use of HGL based on data from EIA (2020b). Non-fuel use of HGL from (EIA 2020b). Volumes converted using the energy contents provided in Table A-40. C contents from EPA (2013).,,,,,,,,,,,,,,
