"Table A-44: Carbon Content Coefficients for Coal by Consuming Sector and Coal Rank, 1990 – 2000 (MMT C/QBtu)",,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Consuming Sector,,,,,,,,,,,
Electric Power,25.68,25.69,25.69,26.71,25.72,25.74,25.74,25.76,25.76,25.76,25.76
Industrial Coking ,25.51,25.51,25.51,25.51,25.52,25.53,25.55,25.56,25.56,25.56,25.56
Other Industrial ,25.58,25.59,25.62,25.61,25.63,25.63,25.61,25.63,25.63,25.63,25.63
    Residential/Commercial,25.92,26.00,26.13,25.97,25.95,26.00,25.92,26.00,26.00,26.00,26.00
Coal Rank,,,,,,,,,,,
Anthracite,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13
Bituminous,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37
Sub-bituminous,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24,26.24
Lignite,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62,26.62
"Sources: Emission factors by consuming sector from B.D. Hong and E.R. Slatnick, “Carbon Dioxide Emission Factors for Coal, “U.S. EIA, Quarterly Coal Report, January-March 1994 (Washington, DC, 1994); and emission factors by rank from Science Applications International Corporation, Analysis of the Relationship Between Heat and Carbon Content of U.S. Fuels: Final Task Report, Prepared for the U.S. EIA, Office of Coal, Nuclear, Electric and Alternative Fuels (Washington, DC 1992). ",,,,,,,,,,,
