Table A-51: C Stored and Emitted by Products from Feedstocks in 2019 (MMT CO2 Eq.),,
Product/Waste Type,C Stored,C Emitted
,(MMT CO2 Eq.),(MMT CO2 Eq.)
Industrial Releases,0.1,5.7
  TRI Releases,0.1,1.0
  Industrial VOCs,NA,3.4
  Non-combustion CO,NA,0.5
  Hazardous Waste Incineration,NA,0.9
Energy Recovery,NA,44.4
Products,161.7,12.8
  Plastics,140.3,NA
  Synthetic Rubber,12.9,NA
  Antifreeze and Deicers,NA,1.0
  Abraded Tire Rubber,NA,0.2
  Food Additives,NA,1.1
  Silicones,0.5,NA
  Synthetic Fiber,7.8,NA
  Pesticides,0.2,0.3
"  Soaps, Shampoos, Detergents",NA,4.7
  Solvent VOCs,NA,5.6
Total,161.8,63.0
Note: Totals may not sum due to independent rounding.,,
NA (Not Applicable),,
