Table A-53: Industrial and Solvent NMVOC Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Industrial NMVOCs a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMVOCs (‘000 Short Tons),"1,279",1364.203717,"1,380",1395.80054,1379.115879,1357.547684,932.9456133,939.770127,951,826,802,776,837,832.9542819,828.8192173,824.6037671,878.9077252,933.2116833,987.3195342,1087.921774,1188.524013,1289.126252,1333.014831,1376.90341,1420.791989,1348.991484,1277.190979,1205.390474,1205.390474,1205.390474
Carbon Content (%),85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
Carbon Emitted (MMT CO2 Eq.),3.6,3.9,3.9,3.9,3.9,3.8,2.6,2.7,2.7,2.3,2.3,2.2,2.4,2.4,2.3,2.3,2.5,2.6,2.8,3.1,3.4,3.6,3.8,3.9,4.0,3.8,3.6,3.4,3.4,3.4
Solvent Evaporation b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solvents (‘000 Short Tons) ,"5,750",5782,"5,901",6016,"6,162",6183,"5,477",5621.792963,"5,149","5,037","4,832","5,012","4,278",4267.04969,4256.112549,4245.175409,3937.629885,3630.084362,3298.765746,3136.267971,2973.770196,2811.27242,2891.499991,2971.727561,3051.955131,3025.376861,2998.798592,2972.220322,2972.220322,2972.220322
Carbon Content (%),56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%
Carbon Emitted (MMT CO2 Eq.),10.8,10.8,11.0,11.3,11.5,11.6,10.3,10.5,9.6,9.4,9.0,9.4,8.0,8.0,8.0,7.9,7.4,6.8,6.2,5.9,5.6,5.3,5.4,5.6,5.7,5.7,5.6,5.6,5.6,5.6
"a Includes emissions from chemical and allied products, petroleum and related industries, and other industrial processes categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Includes solvent usage and solvent evaporation emissions from degreasing, graphic arts, dry cleaning, surface coating, other industrial processes, and non-industrial processes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
