Table A-57: Summary of 2018 MECS Data for Other Fuels Used in Manufacturing/Energy Recovery (Trillion Btu),,,,,,
Subsector and Industry,NAICS CODE,Waste Gas a,Waste Oils/Tars b,Refinery Still Gas c,Net Steam d,Other Fuels e
Printing and Related Support,323,0,0,0,0,0
Petroleum and Coal Products,324,0,2,"1,394",191,76
Chemicals,325,402,6,0,310,116
Plastics and Rubber Products,326,0,0,0,0,0
Nonmetallic Mineral Products,327,0,9,0,0,18
Primary Metals,331,3,0,0,10,3
Fabricated Metal Products,332,0,0,0,0,2
Machinery,333,0,0,0,0,1
Computer and Electronic Products,334,0,0,0,0,0
"Electrical Equip., Appliances, Components",335,0,0,0,0,0
Transportation Equipment,336,1,0,0,1,5
Furniture and Related Products,337,0,0,0,0,5
Miscellaneous,339,0,0,0,0,1
Total (Trillion Btu),,406,17,"1,394",511,227
Average C Content (MMT/QBtu),,18.14,20.62,17.51,0,19.37
Fraction Oxidized,,1,1,1,0,1
Total C (MMT),,7.36,0.35,24.41,0.00,4.40
Total C (MMT) (ex. still gas from refining),,7.36,0.35,0.00,0.00,4.40
NA (Not Applicable),,,,,,
a C content: Waste Gas is assumed to be same as naphtha <401 deg. F.,,,,,,
b C content: Waste Oils/Tars is assumed to be same as asphalt/road oil.,,,,,,
"c Refinery ""still gas"" fuel consumption is reported elsewhere in the Inventory and is excluded from the total C content estimate.",,,,,,
d Net steam fuel consumption is reported elsewhere in the Inventory and is excluded from the total C content estimate.,,,,,,
"e C content: ""Other"" is assumed to be the same as petrochemical feedstocks.",,,,,,
