Table A-59: 2019 Plastic Resin Production (MMT dry weight) and C Stored (MMT CO2 Eq.),,
Resin Type,2019 Production a (MMT dry weight),Carbon Stored (MMT CO2 Eq.)
Epoxy,0.2,0.7
Polyester,0.6,1.5
Urea,1.2,1.5
Melamine,0.1,0.1
Phenolic,1.6,4.5
Low-Density Polyethylene (LDPE),3.2,10.1
Linear Low-Density Polyethylene (LLDPE),8.6,27.1
High Density Polyethylene (HDPE),9.4,29.4
Polypropylene (PP),6.7,21.0
Acrylonitrile-butadiene-styrene (ABS),0.5,1.6
Other Styrenics b,0.5,1.7
Polystyrene (PS),1.7,5.6
Nylon,0.4,1.0
Polyvinyl chloride (PVC) c,6.7,9.5
Thermoplastic Polyester,3.1,7.2
All Other (including Polyester (unsaturated)),6.5,17.9
Total,51.1,140.3
Note: Totals may not sum due to independent rounding.,,
"a Production estimates provided by the American Chemistry Council include Canadian production for Urea, Melamine, Phenolic, LDPE, LLDPE, HDPE, PP, ABS, SAN, Other Styrenics, PS, Nylon, PVC, and Thermoplastic Polyester, and Mexican production for PP, ABS, SAN, Other Styrenics, Nylon, and Thermoplastic Polyester. Values have been adjusted to account just for U.S. production.",,
b Includes Styrene-acrylonitrile (SAN).,,
c Includes copolymers.,,
