"Table A-6: 2019 Key Category Approach 1 and Approach 2 Analysis—Level Assessment, without LULUCF",,,,,,
CRF Source/Sink Category,Greenhouse Gas,2019 Estimate (MMT CO2 Eq.),Approach 1 Level Assessment,Cumulative Total,Uncertainty a,Approach 2 Level Assessment
1.A.3.b CO2 Emissions from Mobile Combustion: Road,CO2,"1,510.50",0.23,0.23,6%,0.014
1.A.1 CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,973.5,0.15,0.38,10%,0.014
1.A.1 CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,616,0.09,0.47,5%,0.005
1.A.2 CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,503.3,0.08,0.55,7%,0.006
3.D.1 Direct N2O Emissions from Agricultural Soil Management,N2O,290.4,0.04,0.59,31%,0.014
1.A.4.b CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,275.3,0.04,0.64,7%,0.003
1.A.2 CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,269.7,0.04,0.68,20%,0.008
1.A.4.a CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,192.8,0.03,0.71,7%,0.002
1.A.3.a CO2 Emissions from Mobile Combustion: Aviation,CO2,178.5,0.03,0.73,6%,0.002
3.A.1 CH4 Emissions from Enteric Fermentation: Cattle,CH4,172.3,0.03,0.76,18%,0.005
1.B.2.b CH4 Emissions from Natural Gas Systems,CH4,157.6,0.02,0.78,15%,0.004
2.F.1 Emissions from Substitutes for Ozone Depleting Substances: Refrigeration and Air conditioning,"HFCs, PFCs",133,0.02,0.8,14%,0.003
1.A.5 CO2 Emissions from Non-Energy Use of Fuels,CO2,128.8,0.02,0.82,45%,0.009
5.A CH4 Emissions from Landfills,CH4,114.5,0.02,0.84,22%,0.004
1.A.4.b CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,61.5,0.01,0.85,6%,0.001
1.A.4.a CO2 Emissions from Stationary Combustion - Oil - Commercial,CO2,55.3,0.01,0.86,5%,<0.001
3.D.2 Indirect N2O Emissions from Applied Nitrogen,N2O,54.2,0.01,0.87,154%,0.013
1.A.3.e CO2 Emissions from Mobile Combustion: Other,CO2,53.7,0.01,0.88,6%,0.001
1.A.2 CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,49.5,0.01,0.88,16%,0.001
1.B.1 Fugitive Emissions from Coal Mining,CH4,47.4,0.01,0.89,20%,0.001
1.B.2.a CO2 Emissions from Petroleum Systems,CO2,47.3,0.01,0.9,41%,0.003
2.C.1 CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,41.3,0.01,0.9,19%,0.001
2.A.1 CO2 Emissions from Cement Production,CO2,40.9,0.01,0.91,6%,<0.001
1.B.2.a CH4 Emissions from Petroleum Systems,CH4,39.1,0.01,0.92,29%,0.002
1.B.2.b CO2 Emissions from Natural Gas Systems,CO2,37.2,0.01,0.92,19%,0.001
1.A.3.c CO2 Emissions from Mobile Combustion: Railways,CO2,37.1,0.01,0.93,6%,<0.001
3.B.1 CH4 Emissions from Manure Management: Cattle,CH4,35.4,0.01,0.93,20%,0.001
1.A.3.d CO2 Emissions from Mobile Combustion: Marine,CO2,32.1,<0.01,0.94,6%,<0.001
2.B.8 CO2 Emissions from Petrochemical Production,CO2,30.8,<0.01,0.94,6%,<0.001
3.B.4 CH4 Emissions from Manure Management: Other Livestock,CH4,26.9,<0.01,0.95,20%,0.001
5.D N2O Emissions from Wastewater Treatment,N2O,26,<0.01,0.95,209%,0.008
1.A.5 CO2 Emissions from Stationary Combustion - Oil - U.S. Territories,CO2,19.5,<0.01,0.95,11%,<0.001
5.D CH4 Emissions from Wastewater Treatment,CH4,18.4,<0.01,0.96,38%,0.001
1.A.1 N2O Emissions from Stationary Combustion - Coal - Electricity Generation,N2O,16.7,<0.01,0.96,48%,0.001
2.F.4 Emissions from Substitutes for Ozone Depleting Substances: Aerosols,"HFCs, PFCs",16.3,<0.01,0.96,65%,0.002
1.A.1 CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,16.2,<0.01,0.96,8%,<0.001
2.F.2 Emissions from Substitutes for Ozone Depleting Substances: Foam Blowing Agents,"HFCs, PFCs",16.1,<0.01,0.97,9%,<0.001
3.B.1 N2O Emissions from Manure Management: Cattle,N2O,15.4,<0.01,0.97,24%,0.001
3.C CH4 Emissions from Rice Cultivation,CH4,15.1,<0.01,0.97,149%,0.003
2.B.1 CO2 Emissions from Ammonia Production,CO2,12.3,<0.01,0.97,11%,<0.001
2.A.2 CO2 Emissions from Lime Production,CO2,12.1,<0.01,0.97,2%,<0.001
5.C.1 CO2 Emissions from Incineration of Waste,CO2,11.5,<0.01,0.98,27%,<0.001
2.B.2 N2O Emissions from Nitric Acid Production,N2O,10,<0.01,0.98,5%,<0.001
1.A.3.b N2O Emissions from Mobile Combustion: Road,N2O,9.3,<0.01,0.98,19%,<0.001
2.A.4 CO2 Emissions from Other Process Uses of Carbonates,CO2,7.5,<0.01,0.98,15%,<0.001
1.B.2 CH4 Emissions from Abandoned Oil and Gas Wells,CH4,6.6,<0.01,0.98,219%,0.002
1.A.3.e N2O Emissions from Mobile Combustion: Other,N2O,6.5,<0.01,0.98,40%,<0.001
3.A.4 CH4 Emissions from Enteric Fermentation: Other Livestock,CH4,6.3,<0.01,0.98,18%,<0.001
2.B.10 CO2 Emissions from Urea Consumption for Non-Ag Purposes,CO2,6.2,<0.01,0.98,14%,<0.001
1.B.1 Fugitive Emissions from Abandoned Underground Coal Mines,CH4,5.9,<0.01,0.99,22%,<0.001
3.H CO2 Emissions from Urea Fertilization,CO2,5.3,<0.01,0.99,43%,<0.001
1.A.5.b CO2 Emissions from Mobile Combustion: Military,CO2,5.3,<0.01,0.99,6%,<0.001
2.B.3 N2O Emissions from Adipic Acid Production,N2O,5.3,<0.01,0.99,5%,<0.001
2.B.10 CO2 Emissions from Carbon Dioxide Consumption,CO2,4.9,<0.01,0.99,5%,<0.001
1.A.4.b CH4 Emissions from Stationary Combustion - Residential,CH4,4.6,<0.01,0.99,235%,0.002
"2.E PFC, HFC, SF6, and NF3 Emissions from Electronics Industry",HiGWPs,4.4,<0.01,0.99,6%,<0.001
1.A.1 N2O Emissions from Stationary Combustion - Gas - Electricity Generation,N2O,4.4,<0.01,0.99,47%,<0.001
2.G.1 SF6 Emissions from Electrical Transmission and Distribution,SF6,4.2,<0.01,0.99,18%,<0.001
2.G.3 N2O Emissions from Product Uses,N2O,4.2,<0.01,0.99,24%,<0.001
3.B.4 N2O Emissions from Manure Management: Other Livestock,N2O,4.2,<0.01,0.99,24%,<0.001
2.B.9 HFC-23 Emissions from HCFC-22 Production,HFCs,3.7,<0.01,0.99,10%,<0.001
2.F.3 Emissions from Substitutes for Ozone Depleting Substances: Fire Protection,"HFCs, PFCs",2.8,<0.01,0.99,17%,<0.001
1.A.5 CO2 Emissions from Stationary Combustion - Gas - U.S. Territories,CO2,2.5,<0.01,0.99,17%,<0.001
1.A.5 CO2 Emissions from Stationary Combustion - Coal - U.S. Territories,CO2,2.5,<0.01,0.99,19%,<0.001
1.A.2 N2O Emissions from Stationary Combustion - Industrial,N2O,2.5,<0.01,0.99,201%,0.001
3.G CO2 Emissions from Liming,CO2,2.4,<0.01,0.99,111%,<0.001
5.B.1 CH4 Emissions from Composting,CH4,2.3,<0.01,1,50%,<0.001
5.B.1 N2O Emissions from Composting,N2O,2,<0.01,1,50%,<0.001
2.F.5 Emissions from Substitutes for Ozone Depleting Substances: Solvents,"HFCs, PFCs",2,<0.01,1,24%,<0.001
2.C.3 CO2 Emissions from Aluminum Production ,CO2,1.9,<0.01,1,2%,<0.001
2.B.7 CO2 Emissions from Soda Ash Production,CO2,1.8,<0.01,1,9%,<0.001
2.C.3 PFC Emissions from Aluminum Production,PFCs,1.8,<0.01,1,7%,<0.001
1.A.3.a N2O Emissions from Mobile Combustion: Aviation,N2O,1.6,<0.01,1,66%,<0.001
1.A.4.a CO2 Emissions from Stationary Combustion - Coal - Commercial,CO2,1.6,<0.01,1,15%,<0.001
2.C.2 CO2 Emissions from Ferroalloy Production,CO2,1.6,<0.01,1,12%,<0.001
1.A.2 CH4 Emissions from Stationary Combustion - Industrial,CH4,1.5,<0.01,1,48%,<0.001
2.B.6 CO2 Emissions from Titanium Dioxide Production,CO2,1.5,<0.01,1,13%,<0.001
"2.B.4 N2O Emissions from Caprolactam, Glyoxal, and Glyoxylic Acid Production",N2O,1.4,<0.01,1,32%,<0.001
2.A.3 CO2 Emissions from Glass Production,CO2,1.3,<0.01,1,4%,<0.001
1.A.4.a CH4 Emissions from Stationary Combustion - Commercial,CH4,1.2,<0.01,1,141%,<0.001
1.A.1 CH4 Emissions from Stationary Combustion - Gas - Electricity Generation,CH4,1.1,<0.01,1,2%,<0.001
2.C.6 CO2 Emissions from Zinc Production,CO2,1,<0.01,1,21%,<0.001
1.A.3.e CH4 Emissions from Mobile Combustion: Other,CH4,0.9,<0.01,1,86%,<0.001
1.A.3.b CH4 Emissions from Mobile Combustion: Road,CH4,0.9,<0.01,1,46%,<0.001
1.A.4.b N2O Emissions from Stationary Combustion - Residential,N2O,0.9,<0.01,1,219%,<0.001
2.C.4 SF6 Emissions from Magnesium Production and Processing,SF6,0.9,<0.01,1,13%,<0.001
2.B.10 CO2 Emissions from Phosphoric Acid Production,CO2,0.9,<0.01,1,21%,<0.001
2.C.5 CO2 Emissions from Lead Production,CO2,0.5,<0.01,1,16%,<0.001
3.F CH4 Emissions from Field Burning of Agricultural Residues,CH4,0.4,<0.01,1,18%,<0.001
1.A.3.d CH4 Emissions from Mobile Combustion: Marine,CH4,0.4,<0.01,1,38%,<0.001
1.A.1 CO2 Emissions from Stationary Combustion - Geothermal Energy,CO2,0.4,<0.01,1,NA,<0.001
1.A.4.a N2O Emissions from Stationary Combustion - Commercial,N2O,0.3,<0.01,1,174%,<0.001
2.B.8 CH4 Emissions from Petrochemical Production,CH4,0.3,<0.01,1,57%,<0.001
