Table A-60: Assigned C Contents of Plastic Resins (% by weight),,
Resin Type,C Content,Source of C Content Assumption
Epoxy,76%,Typical epoxy resin made from epichlorhydrin and bisphenol A
Polyester (Unsaturated),63%,Poly (ethylene terephthalate) (PET)
Urea,34%,"50% carbamal, 50% N-(hydroxymethyl) urea a"
Melamine,29%,Trimethylol melaminea
Phenolic,77%,Phenol
Low-Density Polyethylene (LDPE),86%,Polyethylene
Linear Low-Density Polyethylene (LLDPE),86%,Polyethylene
High Density Polyethylene (HDPE),86%,Polyethylene
Polypropylene (PP),86%,Polypropylene
Acrylonitrile-Butadiene-Styrene (ABS),85%,"50% styrene, 25% acrylonitrile, 25% butadiene"
Styrene-Acrylonitrile (SAN),80%,"50% styrene, 50% acrylonitrile"
Other Styrenics,92%,Polystyrene
Polystyrene (PS),92%,Polystyrene
Nylon,65%,Average of nylon resins (see Table A-)
Polyvinyl Chloride (PVC),38%,Polyvinyl chloride
Thermoplastic Polyester,63%,Polyethylene terephthalate
All Other,75%,Weighted average of other resin production
a Does not include alcoholic hydrogens.,,
