Table A-73:  Fuel Consumption by Stationary Combustion for Calculating CH4 and N2O Emissions (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Coal,"19,637","19,553","19,641","20,435","20,816","20,912","21,351","21,902","22,247","22,181","23,087","22,418","22,370","22,602","22,651","22,966","22,481","22,743","22,258","19,705","20,733","19,535","16,941","17,828","17,806","15,455","14,268","13,772","13,155","11,115"
Residential,31,25,26,26,21,17,17,16,12,14,11,12,12,12,11,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0
Commercial,124,116,117,117,118,117,122,129,93,103,92,97,90,82,103,97,65,70,81,73,70,62,44,41,40,31,24,21,19,17
Industrial,"1,668","1,630","1,585","1,615","1,625","1,557","1,484","1,486","1,499","1,401","1,362","1,384","1,270","1,275","1,286","1,246","1,220","1,170","1,121",918,993,906,823,837,833,734,662,614,569,517
Electric Power,"17,807","17,777","17,910","18,673","19,048","19,216","19,724","20,266","20,637","20,659","21,618","20,920","20,987","21,199","21,219","21,582","21,153","21,458","21,020","18,677","19,633","18,531","16,038","16,919","16,889","14,645","13,547","13,110","12,540","10,553"
U.S. Territories a,5,5,4,4,5,5,5,5,5,5,5,4,11,34,32,33,37,37,37,37,37,37,37,31,44,45,35,27,27,27
Petroleum,"6,089","5,844","5,929","5,694","5,743","5,627","6,114","6,125","6,002","5,918","6,486","7,009","6,405","6,734","6,860","6,758","6,392","6,306","5,483","4,950","5,035","4,776","4,457","4,549","4,137","4,614","4,265","4,017","4,132","4,140"
Residential,"1,376","1,382","1,367","1,349","1,304","1,259","1,395","1,332","1,205","1,340","1,425","1,461","1,357","1,464","1,472","1,366","1,196","1,206","1,192","1,127","1,103","1,034",833,917,"1,003",939,799,766,944,904
Commercial,"1,023","1,012",890,784,777,724,760,712,666,640,767,762,695,823,809,761,718,735,685,728,698,670,551,581,558,938,834,809,733,787
Industrial,"2,599","2,361","2,558","2,399","2,460","2,460","2,767","2,665","2,419","2,185","2,449","2,805","2,626","2,706","2,850","2,915","3,209","3,118","2,627","2,235","2,412","2,407","2,413","2,568","2,124","2,261","2,204","2,101","2,093","2,137"
Electric Power,797,796,801,836,852,860,883,"1,100","1,403","1,459","1,269","1,279","1,074","1,043","1,006","1,003",590,618,488,383,412,273,288,185,157,173,159,71,93,42
U.S. Territories a,295,294,313,326,349,324,310,317,308,293,575,701,654,697,724,712,680,628,491,477,410,392,373,299,296,304,268,269,269,269
Natural Gas,"17,255","17,666","18,194","18,736","18,756","19,340","20,236","20,135","19,843","19,783","20,923","20,226","20,909","20,895","21,151","20,937","20,624","21,998","22,245","21,892","22,913","23,315","24,605","25,130","25,924","26,536","26,565","26,137","28,943","29,965"
Residential,"4,487","4,667","4,805","5,058","4,960","4,954","5,354","5,093","4,646","4,835","5,105","4,889","4,995","5,209","4,981","4,946","4,476","4,835","5,010","4,883","4,878","4,805","4,242","5,023","5,242","4,777","4,506","4,563","5,174","5,205"
Commercial,"2,680","2,795","2,871","2,920","2,962","3,096","3,226","3,285","3,083","3,115","3,252","3,097","3,212","3,261","3,201","3,073","2,902","3,085","3,228","3,187","3,165","3,216","2,960","3,380","3,572","3,316","3,224","3,273","3,638","3,645"
Industrial,"7,713","7,831","8,129","8,266","8,292","8,726","9,024","9,036","8,829","8,429","8,659","7,952","8,087","7,846","7,915","7,331","7,324","7,503","7,533","7,068","7,685","7,871","8,196","8,513","8,818","8,679","8,769","8,872","9,335","9,515"
Electric Power,"2,376","2,372","2,390","2,491","2,542","2,564","2,632","2,720","3,285","3,403","3,894","4,266","4,591","4,551","5,030","5,562","5,896","6,548","6,445","6,728","7,157","7,396","9,158","8,156","8,231","9,707","10,003","9,381","10,747","11,552"
U.S. Territories a,0,0,0,0,0,0,0,0,0,0,13,23,23,27,25,24,26,27,29,27,28,27,49,58,61,57,64,48,48,48
Wood,"2,095","2,095","2,180","2,117","2,179","2,252","2,307","2,242","2,056","2,085","2,138","1,889","1,854","1,844","1,967","1,963","1,934","1,926","1,908","1,778","2,046","2,055","1,989","2,160","2,209","2,127","2,057","2,014","2,105","2,094"
Residential,580,610,640,550,520,520,540,430,380,390,420,370,380,400,410,430,380,420,470,504,541,524,438,572,579,513,442,425,517,529
Commercial,66,68,72,76,72,72,76,73,64,67,71,67,69,71,70,70,65,70,73,73,72,69,61,70,76,79,84,84,84,84
Industrial,"1,442","1,410","1,461","1,484","1,580","1,652","1,683","1,731","1,603","1,620","1,636","1,443","1,396","1,363","1,476","1,452","1,472","1,413","1,339","1,178","1,409","1,438","1,462","1,489","1,495","1,476","1,474","1,442","1,438","1,413"
Electric Power,7,7,7,7,8,8,8,8,8,9,11,9,9,10,11,11,17,23,27,23,25,24,28,30,60,59,57,62,66,68
U.S. Territories,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a U.S. Territories coal is assumed to be primarily consumed in the electric power sector, natural gas in the industrial sector, and petroleum in the transportation sector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
