Table A-77:  CO Emissions from Stationary Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Electric Power,329,317,318,329,336,337,369,384,410,450,439,439,594,591,586,582,609,637,660,676,693,710,694,678,661,618,575,532,532,532
Coal,213,212,214,224,224,227,228,233,220,187,221,220,298,296,294,292,305,319,330,339,347,356,348,340,331,310,288,267,267,267
Fuel Oil,18,17,14,15,13,9,11,13,17,36,27,28,38,37,37,37,38,40,42,43,44,45,44,43,42,39,36,34,34,34
Natural gas,46,46,47,45,48,49,72,76,88,151,96,92,125,124,123,122,128,134,138,142,145,149,146,142,139,130,121,112,112,112
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,NA,NA,NA,NA,NA,NA,7,8,30,24,31,32,44,43,43,43,45,47,48,50,51,52,51,50,48,45,42,39,39,39
Internal Combustion,52,41,43,46,50,52,52,54,55,52,63,67,91,90,90,89,93,97,101,103,106,108,106,104,101,94,88,81,81,81
Industrial,797,835,866,946,944,958,"1,078","1,055","1,044","1,100","1,106","1,137","1,150","1,116","1,081","1,045",968,892,815,834,853,872,861,851,840,806,771,737,737,737
Coal,95,92,92,92,91,88,100,99,96,114,118,125,127,123,119,115,107,98,90,92,94,96,95,94,93,89,85,81,81,81
Fuel Oil,67,54,58,60,60,64,49,47,46,54,48,45,46,44,43,42,39,35,32,33,34,35,34,34,33,32,31,29,29,29
Natural gas,205,257,272,292,306,313,307,307,305,350,355,366,370,359,348,336,312,287,262,268,274,281,277,274,270,259,248,237,237,237
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,253,242,239,259,260,270,316,302,303,286,300,321,325,316,306,295,274,252,230,236,241,247,244,241,238,228,218,208,208,208
Internal Combustion,177,189,205,244,228,222,305,299,294,296,285,279,282,274,266,257,238,219,200,205,209,214,212,209,206,198,189,181,181,181
Commercial,205,196,204,207,212,211,122,126,122,151,151,154,177,173,169,166,156,146,137,138,140,142,134,127,120,124,128,133,133,133
Coal,13,13,13,14,13,14,13,13,14,16,14,13,15,15,15,14,14,13,12,12,12,12,12,11,10,11,11,12,12,12
Fuel Oil,16,16,16,16,16,17,17,18,15,17,17,17,20,19,19,19,18,16,15,16,16,16,15,14,13,14,14,15,15,15
Natural gas,40,40,46,48,49,49,58,59,57,81,83,84,97,95,93,91,86,80,75,76,77,78,74,70,66,68,71,73,73,73
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,136,128,128,129,134,132,34,36,36,36,36,38,44,43,42,41,39,37,34,35,35,35,34,32,30,31,32,33,33,33
Residential,"3,668","3,965","4,195","3,586","3,515","3,877","2,364","2,362","2,353","3,323","2,644","2,648","3,044","2,982","2,919","2,856","2,690","2,524","2,357","2,387","2,416","2,446","2,319","2,192","2,065","2,140","2,215","2,291","2,291","2,291"
Coal b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuel Oil b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Natural Gas b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood,"3,430","3,710","3,930","3,337","3,272","3,629","2,132","2,133","2,133","3,094","2,416","2,424","2,787","2,730","2,673","2,615","2,463","2,310","2,158","2,185","2,212","2,239","2,123","2,007","1,890","1,959","2,028","2,097","2,097","2,097"
Other Fuels a,238,255,265,249,243,248,231,229,220,229,228,224,257,252,247,241,227,213,199,202,204,207,196,185,174,181,187,193,193,193
Total,"5,000","5,313","5,583","5,069","5,007","5,383","3,933","3,927","3,928","5,024","4,340","4,377","4,965","4,862","4,756","4,648","4,423","4,198","3,969","4,036","4,103","4,170","4,009","3,847","3,686","3,688","3,690","3,692","3,692","3,692"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Other Fuels include LPG, waste oil, coke oven gas, coke, and non-residential wood (EPA 2019).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Residential coal, fuel oil, and natural gas emissions are included in the Other Fuels category (EPA 2019).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
