Table A-78:  NMVOC Emissions from Stationary Combustion (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Electric Power,43,40,40,41,41,40,44,47,51,49,56,55,45,45,44,44,42,41,40,39,38,37,36,35,34,33,31,29,29,29
Coal,24,24,25,26,26,26,25,26,26,25,27,26,21,21,21,21,20,20,19,18,18,18,17,17,16,16,15,14,14,14
Fuel Oil,5,5,4,4,4,2,3,4,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
Natural Gas,2,2,2,2,2,2,7,7,9,9,12,12,10,10,10,10,9,9,9,9,8,8,8,8,8,7,7,6,6,6
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,NA,NA,NA,NA,NA,NA,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Internal Combustion,11,9,9,9,9,9,9,10,10,10,11,10,9,9,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6
Industrial,165,178,170,169,178,187,163,160,159,156,157,159,138,132,126,120,113,105,97,99,100,101,101,100,99,100,101,101,101,101
Coal,7,5,7,5,7,5,6,6,6,9,9,10,9,9,8,8,7,7,6,6,7,7,7,7,7,7,7,7,7,7
Fuel Oil,11,10,11,11,11,11,8,7,7,10,9,9,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5
Natural Gas,52,54,48,46,57,66,54,54,53,52,53,54,47,45,43,41,38,36,33,33,34,34,34,34,34,34,34,34,34,34
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,46,47,45,46,45,45,33,31,31,26,27,29,25,24,23,22,21,19,18,18,18,19,19,18,18,18,19,19,19,19
Internal Combustion,49,61,60,60,58,60,63,62,61,60,58,57,49,47,45,43,40,37,35,35,36,36,36,36,35,36,36,36,36,36
Commercial,18,18,20,22,21,21,22,22,21,25,28,29,61,54,48,33,34,35,36,38,40,42,40,39,35,36,36,47,47,47
Coal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,+,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Fuel Oil,3,2,3,3,3,3,3,3,3,3,4,4,6,5,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
Natural Gas,7,8,9,10,10,10,13,13,12,11,14,14,23,18,14,9,8,7,6,7,7,7,7,6,6,6,6,6,6,6
Wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Fuels a,8,7,7,8,8,8,5,5,5,10,9,10,31,30,30,22,24,26,28,29,31,32,31,31,28,28,28,40,40,40
Residential,686,739,782,670,657,725,789,788,786,815,837,836,"1,341","1,067",793,518,465,411,358,378,399,419,389,358,327,324,322,319,319,319
Coal b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuel Oil b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Natural Gas b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wood,651,704,746,633,621,688,756,756,756,794,809,809,"1,297","1,032",767,502,450,398,346,366,386,406,376,346,317,314,311,308,308,308
Other Fuels a,35,35,36,36,36,37,33,32,30,21,27,27,43,35,26,17,15,13,12,12,13,14,13,12,11,11,10,10,10,10
Total,912,975,"1,012",901,897,973,"1,018","1,017","1,017","1,045","1,077","1,080","1,585","1,298","1,011",716,654,593,531,553,576,599,566,532,497,493,489,496,496,496
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a “Other Fuels” include LPG, waste oil, coke oven gas, coke, and non-residential wood (EPA 2019).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Residential coal, fuel oil, and natural gas emissions are included in the “Other Fuels” category (EPA 2019).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
