Table A-79:  Fuel Consumption by Fuel and Vehicle Type (million gallons unless otherwise specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009 a,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Motor Gasoline b,c","107,651","105,960","108,929","110,739","112,574","114,119","116,772","118,154","121,536","125,610","125,232","126,094","128,700","129,247","130,961","129,811","127,986","127,269","121,490","120,888","119,829","117,229","116,810","116,960","121,472","120,631","123,482","123,079","124,886","123,709"
  Passenger Cars,"67,846","63,343","63,973","64,623","65,408","65,554","66,680","66,656","68,864","70,681","70,380","70,930","72,343","70,095","69,697","71,909","68,978","86,228","82,317","81,706","81,012","80,445","80,326","80,369","82,325","82,532","83,979","83,898","85,233","84,495"
  Light-Duty Trucks,"33,745","36,609","39,042","40,339","41,353","42,806","44,412","45,890","47,004","49,187","49,046","49,483","50,644","54,003","56,086","52,317","53,394","33,995","32,138","32,591","32,376","30,780","30,459","30,510","32,938","31,959","33,214","32,793","33,114","32,909"
  Motorcycles,189,183,189,193,200,193,190,194,199,205,203,187,184,179,188,177,204,459,473,455,400,390,447,426,425,413,430,421,427,407
  Buses,38,37,37,39,40,40,40,40,40,43,42,39,37,35,48,40,40,77,79,82,80,78,90,93,101,99,99,107,119,114
  Medium- and Heavy-Duty Trucks,"4,230","4,183","4,080","3,946","3,973","3,928","3,842","3,767","3,822","3,883","3,956","3,852","3,900","3,358","3,387","3,819","3,859","5,025","5,072","4,672","4,646","4,267","4,245","4,341","4,486","4,432","4,556","4,648","4,774","4,564"
  Recreational Boats d,"1,604","1,605","1,607","1,598","1,599","1,598","1,607","1,606","1,607","1,610","1,606","1,603","1,593","1,577","1,555","1,550","1,511","1,485","1,410","1,382","1,315","1,270","1,243","1,220","1,196","1,197","1,205","1,211","1,218","1,220"
"Distillate Fuel Oil (Diesel Fuel) b,c","25,631","24,873","26,431","28,044","30,189","31,605","33,160","34,625","35,728","37,863","39,241","39,058","40,348","41,177","42,668","44,659","45,848","46,432","44,032","39,618","41,309","41,646","41,540","41,850","43,283","44,491","44,193","45,585","46,697","46,784"
  Passenger Cars,771,678,712,812,831,765,657,593,546,427,356,357,364,412,419,414,403,403,363,352,366,393,396,391,401,415,414,419,424,444
  Light-Duty Trucks,"1,119","1,108","1,225","1,317","1,365","1,452","1,529","1,586","1,682","1,847","1,961","2,029","2,133","2,652","2,822","2,518","2,611","1,327","1,184","1,173","1,222","1,258","1,256","1,241","1,340","1,345","1,370","1,370","1,379","1,447"
  Buses,781,717,752,818,857,851,884,901,922,"1,034",997,906,860,930,"1,316","1,030","1,034","1,520","1,437","1,326","1,320","1,398","1,497","1,495","1,629","1,656","1,620","1,743","1,860","1,877"
