"Table A-8: 1990-2019 Key Category Approach 1 and 2 Analysis—Trend Assessment, without LULUCF",,,,,,,
CRF Source/Sink Category,Greenhouse Gas,1990 Estimate (MMT CO2 Eq.),2019 Estimate (MMT CO2 Eq.),Approach 1 Trend Assessment,Approach 2 Trend Assessment,% Contribution to Trend,Cumulative Total
1.A.1 CO2 Emissions from Stationary Combustion - Coal - Electricity Generation,CO2,"1,546.50",973.5,0.09,0.009,23.1,23
1.A.1 CO2 Emissions from Stationary Combustion - Gas - Electricity Generation,CO2,175.4,616,0.07,0.003,16.8,40
1.A.3.b CO2 Emissions from Mobile Combustion: Road,CO2,"1,157.40","1,510.50",0.05,0.003,12.8,53
2.F.1 Emissions from Substitutes for Ozone Depleting Substances: Refrigeration and Air conditioning,"HFCs, PFCs",+,133.4,0.02,0.003,5.1,58
1.A.2 CO2 Emissions from Stationary Combustion - Coal - Industrial,CO2,157.8,49.5,0.02,0.003,4.3,62
1.A.2 CO2 Emissions from Stationary Combustion - Gas - Industrial,CO2,408.8,503.3,0.01,0.001,3.4,65
1.A.1 CO2 Emissions from Stationary Combustion - Oil - Electricity Generation,CO2,97.5,16.2,0.01,0.001,3.2,69
2.C.1 CO2 Emissions from Iron and Steel Production & Metallurgical Coke Production,CO2,104.7,41.3,0.01,0.002,2.5,71
5.A CH4 Emissions from Landfills,CH4,176.6,114.5,0.01,0.002,2.5,74
1.B.1 Fugitive Emissions from Coal Mining,CH4,96.5,47.4,0.01,0.002,2,76
1.A.4.a CO2 Emissions from Stationary Combustion - Gas - Commercial,CO2,142,192.8,0.01,0.001,1.9,77
2.B.9 HFC-23 Emissions from HCFC-22 Production,HFCs,46.1,3.7,0.01,0.001,1.7,79
1.A.4.b CO2 Emissions from Stationary Combustion - Oil - Residential,CO2,97.8,61.5,0.01,<0.001,1.5,81
1.B.2.a CO2 Emissions from Petroleum Systems,CO2,9.7,47.3,0.01,0.002,1.4,82
1.A.4.b CO2 Emissions from Stationary Combustion - Gas - Residential,CO2,237.8,275.3,0.01,<0.001,1.3,83
1.B.2.b CH4 Emissions from Natural Gas Systems,CH4,186.9,157.6,0.01,0.001,1.3,85
1.A.3.b N2O Emissions from Mobile Combustion: Road,N2O,37.7,9.3,<0.01,0.001,1.1,86
1.A.2 CO2 Emissions from Stationary Combustion - Oil - Industrial,CO2,287.2,269.7,<0.01,0.001,0.9,87
