Table A-80:  Energy Consumption by Fuel and Vehicle Type (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009 a,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Motor Gasoline b,c","13,464","13,253","13,624","13,850","14,080","14,273","14,605","14,778","15,201","15,710","15,663","15,771","16,097","16,165","16,379","16,236","16,007","15,824","15,105","15,030","14,899","14,576","14,523","14,542","15,103","14,999","15,353","15,303","15,528","15,381"
  Passenger Cars,"8,486","7,922","8,001","8,083","8,181","8,199","8,340","8,337","8,613","8,840","8,803","8,871","9,048","8,767","8,717","8,994","8,627","10,721","10,235","10,159","10,073","10,002","9,987","9,993","10,236","10,261","10,441","10,431","10,597","10,505"
  Light-Duty Trucks,"4,221","4,579","4,883","5,045","5,172","5,354","5,555","5,740","5,879","6,152","6,134","6,189","6,334","6,754","7,015","6,543","6,678","4,227","3,996","4,052","4,025","3,827","3,787","3,793","4,095","3,974","4,130","4,077","4,117","4,092"
  Motorcycles,24,23,24,24,25,24,24,24,25,26,25,23,23,22,24,22,26,57,59,57,50,49,56,53,53,51,53,52,53,51
  Buses,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,10,10,10,10,10,11,12,13,12,12,13,15,14
  Medium- and Heavy-Duty Trucks,529,523,510,493,497,491,481,471,478,486,495,482,488,420,424,478,483,625,631,581,578,531,528,540,558,551,566,578,594,567
  Recreational Boats d,201,201,201,200,200,200,201,201,201,201,201,201,199,197,194,194,189,185,175,172,163,158,155,152,149,149,150,151,151,152
"Distillate Fuel Oil (Diesel Fuel) b,c","3,555","3,450","3,666","3,889","4,187","4,383","4,599","4,802","4,955","5,251","5,442","5,417","5,596","5,711","5,918","6,194","6,359","6,440","6,107","5,495","5,729","5,776","5,761","5,804","6,003","6,170","6,129","6,322","6,476","6,489"
  Passenger Cars,107,94,99,113,115,106,91,82,76,59,49,50,51,57,58,57,56,56,50,49,51,55,55,54,56,58,57,58,59,62
  Light-Duty Trucks,155,154,170,183,189,201,212,220,233,256,272,281,296,368,391,349,362,184,164,163,170,174,174,172,186,186,190,190,191,201
  Buses,108,99,104,113,119,118,123,125,128,143,138,126,119,129,183,143,143,211,199,184,183,194,208,207,226,230,225,242,258,260
  Medium- and Heavy-Duty Trucks,"2,576","2,517","2,666","2,851","3,066","3,223","3,396","3,596","3,766","3,999","4,186","4,178","4,357","4,374","4,521","4,876","5,006","5,204","4,956","4,460","4,652","4,625","4,642","4,683","4,840","4,947","4,984","5,152","5,272","5,325"
  Recreational Boats,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,37,37,36,35,35,34,34,36,37,37,38,39
  Ships and Non-Recreational Boats,91,97,125,115,145,161,194,194,164,185,190,174,168,166,115,113,107,117,115,116,112,149,115,117,100,178,148,136,127,102
  Rail e,480,451,465,478,515,536,546,547,551,572,569,571,567,579,611,617,647,630,585,486,525,543,532,537,562,536,489,507,531,500
