Table A-85:  Detailed Vehicle Miles Traveled for Alternative Fuel On-Road Vehicles (10^6 Miles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Light-Duty Cars,3.7,13.3,31.8,43.7,62.9,60.2,58.5,60.3,59.8,70.7,105.8,136.6,200.8,144,173.6,177.8,206.3,219.9,217.1,227.6,232.6,524.5,911.3,"1,801.30","2,727.20","3,727.40","4,929.80","6,208.70","9,056.10","11,725.70"
   Methanol-Flex Fuel ICE,0,9.5,23.1,35,52.3,45.9,41,36.5,28.9,26,14.3,10.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ethanol-Flex Fuel ICE,0,0,+,0.1,0.1,0.3,1.1,2,2.7,6.3,19.6,23.8,29.1,33,39.7,47.9,55.5,68.3,79,90.3,114.8,111.2,139.8,163,127.2,110.4,124.5,87,85.6,70.5
   CNG ICE,+,+,+,+,+,0.1,0.2,0.7,1.5,2.9,5.2,8.5,11.6,13.7,16.3,14.9,13.6,13.2,11.7,10.8,10.1,10.8,11.1,12.1,11.6,11.7,13.7,12.9,14,14
   CNG Bi-fuel,+,+,+,+,+,0.2,0.7,2.1,4.7,9.4,16.9,27.7,37.8,44.7,50.2,38.1,23.7,18,12.1,9.3,7.4,6.6,4.1,3.2,2.3,1.7,1.4,1.5,1.8,2.2
   LPG ICE,1.1,1.1,1,1.3,1.2,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.2,0.3,0.1,0.1,1.5,1.5,1.5,0,0.1,0.1,0.3,3.1,7.6,6.1,0.9,0.5,0.2
   LPG Bi-fuel,2.7,2.7,2.4,3.1,3,2.8,3,3,3.1,2.7,2.8,2.9,3,3.1,7.4,3.1,3.5,1.6,1.5,1.7,1.2,0.3,0.2,0.2,0.1,0.1,0.1,0,0,0
   Biodiesel (BD100),0,0,0,0,0,0,0,0,0,0,1.1,2.2,3.2,2.3,4.3,14,38.5,46.2,35.6,41.5,34.3,127.1,156.6,274.1,298,337.5,501.3,512.1,521.2,507.9
   NEVs,0,0,5.1,4.1,6.1,9.4,11,14.4,17.1,21.7,43.6,57.9,103.6,42,53.2,58.1,69.4,69.8,73.7,71.2,61.5,102.9,98.9,103.8,113.2,124.3,83.8,89.9,86.4,80.2
   Electric Vehicle,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,1.3,1.7,3,4,2.2,1.6,1.9,1.3,1.9,1.2,1.3,113.8,263.5,768.6,"1,438.80","2,200.30","2,921.40","3,810.80","6,097.10","8,488.80"
