"Table A-88:  VMT Distribution by Vehicle Age and Vehicle/Fuel Type, a 2019",,,,,,,
,,,,,,,
Vehicle Age,LDGV,LDGT,HDGV,LDDV,LDDT,HDDV,MC
0,8.78%,9.73%,10.65%,11.25%,9.97%,9.08%,24.91%
1,8.57%,9.63%,10.69%,10.97%,9.86%,8.95%,13.26%
2,8.50%,9.43%,10.45%,10.89%,9.64%,8.56%,9.96%
3,8.26%,9.15%,10.35%,10.57%,9.35%,8.47%,7.64%
4,7.82%,8.46%,9.41%,10.01%,8.64%,7.72%,6.01%
5,7.44%,7.67%,8.11%,9.52%,7.82%,6.62%,4.91%
6,6.84%,6.84%,6.73%,8.76%,6.98%,5.49%,3.96%
7,6.30%,6.08%,5.70%,8.10%,6.23%,4.85%,3.25%
8,3.71%,3.77%,2.75%,4.76%,3.95%,3.37%,2.41%
9,3.96%,3.08%,1.54%,4.36%,2.13%,2.14%,2.04%
10,3.40%,2.12%,1.29%,2.71%,1.75%,2.65%,1.98%
11,4.04%,3.33%,2.47%,0.23%,3.92%,2.61%,3.31%
12,4.13%,3.16%,1.85%,0.15%,3.19%,6.74%,2.80%
13,3.46%,2.90%,2.49%,2.58%,3.67%,4.66%,2.52%
14,2.94%,2.71%,1.60%,1.52%,2.86%,3.87%,2.10%
15,2.30%,2.40%,1.81%,0.77%,2.26%,2.12%,1.71%
16,1.98%,1.93%,1.30%,0.84%,1.83%,1.72%,1.41%
17,1.61%,1.65%,1.23%,0.75%,1.40%,1.21%,1.19%
18,1.27%,1.30%,0.91%,0.41%,1.42%,1.45%,0.97%
19,1.11%,1.09%,1.92%,0.31%,0.68%,2.14%,0.75%
20,0.78%,0.85%,1.68%,0.16%,0.89%,1.51%,0.55%
21,0.58%,0.62%,0.64%,0.14%,0.31%,0.97%,0.45%
22,0.48%,0.51%,1.04%,0.05%,0.36%,0.66%,0.42%
23,0.37%,0.35%,0.57%,0.05%,0.26%,0.61%,0.35%
24,0.35%,0.32%,0.78%,0.04%,0.18%,0.60%,0.25%
25,0.26%,0.27%,0.53%,0.00%,0.10%,0.38%,0.27%
26,0.21%,0.19%,0.42%,0.02%,0.11%,0.25%,0.20%
27,0.17%,0.14%,0.25%,0.02%,0.10%,0.16%,0.15%
28,0.14%,0.12%,0.20%,0.04%,0.06%,0.13%,0.12%
29,0.11%,0.10%,0.24%,0.01%,0.04%,0.13%,0.09%
30,0.15%,0.10%,0.41%,0.01%,0.04%,0.18%,0.07%
Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Note: Estimated by weighting data by data in Table A-87. This year’s Inventory includes updated vehicle population data based on the MOVES2014b model that affects this distribution.,,,,,,,
"a The following abbreviations correspond to vehicle types: LDGV (light-duty gasoline vehicles), LDGT (light-duty gasoline trucks), HDGV (heavy-duty gasoline vehicles), LDDV (light-duty diesel vehicles), LDDT (light-duty diesel trucks), HDDV (heavy-duty diesel vehicles), and MC (motorcycles).",,,,,,,
