Table A-89:  Fuel Consumption for Non-Road Sources by Fuel Type (million gallons unless otherwise noted) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Type/Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aircraft a,"19,560","17,929","17,703","17,863","18,641","18,320","19,244","19,247","19,614","20,065","20,304","19,745","19,284","18,640","19,407","19,714","18,973","18,670","17,984","16,030","15,762","15,262","14,914","15,274","15,397","16,338","17,198","17,790","17,860","18,431"
  Aviation Gasoline,374,347,342,319,317,329,311,330,295,326,302,291,281,251,260,294,278,263,235,221,225,225,209,186,181,176,170,174,186,195
  Jet Fuel,"19,186","17,582","17,361","17,544","18,324","17,991","18,933","18,917","19,318","19,740","20,002","19,454","19,004","18,389","19,147","19,420","18,695","18,407","17,749","15,809","15,537","15,036","14,705","15,088","15,217","16,162","17,028","17,616","17,674","18,236"
  Commercial Aviation b    ,"11,569","10,761","10,986","11,329","11,841","12,136","12,492","12,937","12,602","13,726","14,672","13,121","12,774","12,943","13,147","13,976","14,426","14,708","13,400","12,588","11,931","12,067","11,932","12,031","12,131","12,534","12,674","13,475","13,650","14,132"
Ships and Boats ,"4,826","4,369","5,726","5,451","5,616","5,932","5,699","4,514","3,914","4,714","6,544","4,526","4,937","4,188","4,390","4,847","5,094","5,570","4,778","4,201","4,693","4,833","4,239","4,175","3,191","3,652","4,235","4,469","4,190","4,074"
  Diesel,"1,156","1,203","1,383","1,321","1,542","1,661","1,902","1,906","1,688","1,838","1,882","1,761","1,724","1,842","1,479","1,468","1,409","1,365","1,384","1,395","1,361","1,641","1,389","1,414","1,284","1,881","1,680","1,593","1,525","1,342"
  Gasoline,"1,611","1,614","1,617","1,620","1,623","1,626","1,629","1,632","1,635","1,638","1,636","1,633","1,626","1,616","1,598","1,599","1,571","1,558","1,514","1,498","1,446","1,401","1,372","1,349","1,323","1,325","1,335","1,344","1,352","1,355"
  Residual,"2,060","1,553","2,727","2,510","2,451","2,646","2,168",976,592,"1,238","3,027","1,131","1,587",730,"1,313","1,781","2,114","2,647","1,880","1,308","1,886","1,791","1,477","1,413",584,445,"1,219","1,532","1,313","1,377"
Construction/Mining Equipment c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Diesel,"4,317","4,397","4,478","4,558","4,638","4,718","4,799","4,879","4,959","5,039","5,181","5,414","5,599","5,999","6,335","6,667","6,708","6,488","6,175","5,885","5,727","5,650","5,533","5,447","5,313","5,200","5,483","5,978","6,262","6,464"
  Gasoline,472,442,428,401,429,437,441,459,393,337,357,677,705,750,792,746,737,613,610,583,678,634,651,"1,100",710,367,375,375,385,387
