Table A-95:  Emission Factors for N2O for Alternative Fuel Vehicles (g/mi) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Light-Duty Cars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Methanol-Flex Fuel ICE,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   Ethanol-Flex Fuel ICE,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   CNG ICE,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   CNG Bi-fuel,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   LPG ICE,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   LPG Bi-fuel,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.024,0.025,0.026,0.027,0.025,0.024,0.022,0.021,0.019,0.017,0.014,0.012,0.010,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.005
   Biodiesel (BD100),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004,0.008,0.012,0.015,0.019,0.019,0.019,0.019,0.019
Light-Duty Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Ethanol-Flex Fuel ICE,0.068,0.068,0.068,0.069,0.069,0.069,0.069,0.070,0.071,0.072,0.072,0.069,0.065,0.061,0.057,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.012,0.011,0.009
   CNG ICE,0.041,0.041,0.041,0.041,0.041,0.041,0.045,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.054,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.012,0.011,0.009
   CNG Bi-fuel,0.041,0.041,0.041,0.041,0.041,0.041,0.045,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.054,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.012,0.011,0.009
   LPG ICE,0.041,0.041,0.041,0.041,0.041,0.041,0.045,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.054,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.014,0.013,0.012
   LPG Bi-fuel,0.041,0.041,0.041,0.041,0.041,0.041,0.045,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.054,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.014,0.013,0.012
   LNG,0.041,0.041,0.041,0.041,0.041,0.041,0.045,0.048,0.051,0.055,0.058,0.057,0.056,0.055,0.054,0.054,0.046,0.039,0.031,0.024,0.016,0.016,0.016,0.016,0.016,0.016,0.014,0.012,0.011,0.009
   Biodiesel (BD100),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.009,0.013,0.017,0.021,0.021,0.021,0.021,0.021
Medium Duty Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   CNG ICE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   CNG Bi-fuel,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   LPG ICE,0.055,0.055,0.055,0.055,0.055,0.055,0.058,0.061,0.064,0.067,0.069,0.071,0.073,0.075,0.077,0.079,0.070,0.061,0.052,0.043,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
   LPG Bi-fuel,0.055,0.055,0.055,0.055,0.055,0.055,0.058,0.061,0.064,0.067,0.069,0.071,0.073,0.075,0.077,0.079,0.070,0.061,0.052,0.043,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
   LNG,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   Biodiesel (BD100),0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.011,0.019,0.027,0.035,0.043,0.043,0.043,0.043,0.043
Heavy-Duty Trucks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Neat Methanol ICE,0.040,0.040,0.040,0.040,0.040,0.040,0.042,0.044,0.045,0.047,0.049,0.051,0.054,0.056,0.059,0.062,0.055,0.048,0.041,0.034,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
   Neat Ethanol ICE,0.040,0.040,0.040,0.040,0.040,0.040,0.042,0.044,0.045,0.047,0.049,0.051,0.054,0.056,0.059,0.062,0.055,0.048,0.041,0.034,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
   CNG ICE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   LPG ICE,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.047,0.047,0.048,0.049,0.051,0.053,0.055,0.057,0.059,0.052,0.046,0.039,0.032,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
   LPG Bi-fuel,1.229,0.992,0.756,0.519,0.282,0.045,0.046,0.047,0.047,0.048,0.049,0.051,0.053,0.055,0.057,0.059,0.052,0.046,0.039,0.032,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
   LNG,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   Biodiesel (BD100),0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.010,0.018,0.027,0.035,0.043,0.043,0.043,0.043,0.043
Buses ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Neat Methanol ICE,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.050,0.053,0.055,0.058,0.061,0.064,0.067,0.070,0.072,0.064,0.056,0.048,0.040,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
   Neat Ethanol ICE,0.045,0.045,0.045,0.045,0.045,0.045,0.048,0.050,0.053,0.055,0.058,0.061,0.064,0.067,0.070,0.072,0.064,0.056,0.048,0.040,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
   CNG ICE,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   LPG ICE,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.054,0.055,0.057,0.058,0.060,0.063,0.065,0.067,0.069,0.062,0.054,0.046,0.038,0.030,0.028,0.025,0.022,0.020,0.017,0.017,0.017,0.017,0.017
   LNG,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
   Biodiesel (BD100),0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.011,0.019,0.027,0.035,0.043,0.043,0.043,0.043,0.043
"Note: When driven in all-electric mode, plug-in electric vehicles have zero tailpipe emissions. Therefore, emissions factors for battery electric vehicle (BEVs) and the electric portion of plug-in hybrid electric vehicles (PHEVs) are not included in this table.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Developed by ICF (Browning 2017) using ANL (2020).   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
