Table A-96:  Emission Factors for CH4 for Alternative Fuel Vehicles (g/mi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Light-Duty Cars ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methanol-Flex Fuel ICE,0.034,0.034,0.034,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.014,0.014,0.015,0.015,0.014,0.013,0.011,0.010,0.009,0.008,0.008,0.008,0.008
Ethanol-Flex Fuel ICE,0.034,0.034,0.034,0.034,0.034,0.034,0.031,0.028,0.025,0.022,0.019,0.017,0.016,0.015,0.014,0.013,0.013,0.014,0.014,0.015,0.015,0.014,0.013,0.011,0.010,0.009,0.008,0.008,0.008,0.008
CNG ICE,0.489,0.489,0.489,0.489,0.489,0.489,0.441,0.393,0.345,0.297,0.249,0.230,0.212,0.194,0.175,0.157,0.156,0.155,0.154,0.153,0.153,0.139,0.126,0.113,0.100,0.086,0.085,0.083,0.082,0.081
CNG Bi-fuel,0.489,0.489,0.489,0.489,0.489,0.489,0.441,0.393,0.345,0.297,0.249,0.230,0.212,0.194,0.175,0.157,0.156,0.155,0.154,0.153,0.153,0.139,0.126,0.113,0.100,0.086,0.085,0.083,0.082,0.081
LPG ICE,0.049,0.049,0.049,0.049,0.049,0.049,0.044,0.039,0.034,0.030,0.025,0.023,0.021,0.019,0.018,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.013,0.011,0.010,0.009,0.008,0.008,0.008,0.008
LPG Bi-fuel,0.049,0.049,0.049,0.049,0.049,0.049,0.044,0.039,0.034,0.030,0.025,0.023,0.021,0.019,0.018,0.016,0.016,0.016,0.015,0.015,0.015,0.014,0.013,0.011,0.010,0.009,0.008,0.008,0.008,0.008
Biodiesel (BD100),0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007,0.013,0.018,0.024,0.030,0.019,0.030,0.030,0.030
Light-Duty Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol-Flex Fuel ICE,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.052,0.053,0.053,0.049,0.045,0.041,0.037,0.033,0.033,0.033,0.033,0.033,0.033,0.029,0.025,0.021,0.017,0.013,0.013,0.013,0.012,0.012
CNG ICE,0.728,0.728,0.727,0.726,0.725,0.725,0.722,0.719,0.715,0.712,0.709,0.651,0.592,0.533,0.475,0.416,0.399,0.383,0.366,0.349,0.332,0.292,0.251,0.210,0.170,0.129,0.127,0.125,0.123,0.121
CNG Bi-fuel,0.728,0.728,0.727,0.726,0.725,0.725,0.722,0.719,0.715,0.712,0.709,0.651,0.592,0.533,0.475,0.416,0.399,0.383,0.366,0.349,0.332,0.292,0.251,0.210,0.170,0.129,0.127,0.125,0.123,0.121
LPG ICE,0.073,0.073,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.071,0.071,0.065,0.059,0.053,0.047,0.042,0.040,0.038,0.037,0.035,0.033,0.029,0.025,0.021,0.017,0.013,0.013,0.013,0.012,0.012
LPG Bi-fuel,0.073,0.073,0.073,0.073,0.073,0.072,0.072,0.072,0.072,0.071,0.071,0.065,0.059,0.053,0.047,0.042,0.040,0.038,0.037,0.035,0.033,0.029,0.025,0.021,0.017,0.013,0.013,0.013,0.012,0.012
LNG,0.728,0.728,0.727,0.726,0.725,0.725,0.722,0.719,0.715,0.712,0.709,0.651,0.592,0.533,0.475,0.416,0.399,0.383,0.366,0.349,0.332,0.292,0.251,0.210,0.170,0.129,0.127,0.125,0.123,0.121
Biodiesel (BD100),0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.007,0.012,0.018,0.023,0.029,0.029,0.029,0.029,0.029
Medium Duty Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNG ICE,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.800,6.280,5.760,5.240,4.720,4.200,4.200,4.200,4.200,4.200
